,stco,geoid,name,2000,2010
90,34003,3400321300,"Elmwood Park borough, Bergen County, New Jersey",18925,19403
91,34003,3400321450,"Emerson borough, Bergen County, New Jersey",7197,7401
92,34003,3400321480,"Englewood city, Bergen County, New Jersey",26203,27147
93,34003,3400321510,"Englewood Cliffs borough, Bergen County, New Jersey",5322,5281
94,34003,3400322470,"Fair Lawn borough, Bergen County, New Jersey",31637,32457
95,34003,3400322560,"Fairview borough, Bergen County, New Jersey",13255,13835
96,34003,3400324420,"Fort Lee borough, Bergen County, New Jersey",35461,35345
97,34003,3400324990,"Franklin Lakes borough, Bergen County, New Jersey",10422,10590
98,34003,3400325770,"Garfield city, Bergen County, New Jersey",29786,30487
99,34003,3400326640,"Glen Rock borough, Bergen County, New Jersey",11546,11601
100,34003,3400328680,"Hackensack city, Bergen County, New Jersey",42677,43010
101,34003,3400330150,"Harrington Park borough, Bergen County, New Jersey",4740,4664
102,34003,3400330420,"Hasbrouck Heights borough, Bergen County, New Jersey",11662,11842
103,34003,3400330540,"Haworth borough, Bergen County, New Jersey",3390,3382
104,34003,3400331920,"Hillsdale borough, Bergen County, New Jersey",10087,10219
105,34003,3400332310,"Ho-Ho-Kus borough, Bergen County, New Jersey",4060,4078
106,34003,3400340020,"Leonia borough, Bergen County, New Jersey",8914,8937
107,34003,3400340680,"Little Ferry borough, Bergen County, New Jersey",10800,10626
108,34003,3400341100,"Lodi borough, Bergen County, New Jersey",23971,24136
109,34003,3400342090,"Lyndhurst township, Bergen County, New Jersey",19383,20554
110,34003,3400342750,"Mahwah township, Bergen County, New Jersey",24062,25890
111,34003,3400344880,"Maywood borough, Bergen County, New Jersey",9523,9555
112,34003,3400346110,"Midland Park borough, Bergen County, New Jersey",6947,7128
113,34003,3400347610,"Montvale borough, Bergen County, New Jersey",7034,7844
114,34003,3400347700,"Moonachie borough, Bergen County, New Jersey",2754,2708
115,34003,3400351660,"New Milford borough, Bergen County, New Jersey",16400,16341
116,34003,3400352320,"North Arlington borough, Bergen County, New Jersey",15181,15392
117,34003,3400353430,"Northvale borough, Bergen County, New Jersey",4460,4640
118,34003,3400353610,"Norwood borough, Bergen County, New Jersey",5751,5711
119,34003,3400353850,"Oakland borough, Bergen County, New Jersey",12466,12754
120,34003,3400354870,"Old Tappan borough, Bergen County, New Jersey",5482,5750
121,34003,3400354990,"Oradell borough, Bergen County, New Jersey",8047,7978
122,34003,3400355770,"Palisades Park borough, Bergen County, New Jersey",17073,19622
123,34003,3400355950,"Paramus borough, Bergen County, New Jersey",25737,26342
124,34003,3400356130,"Park Ridge borough, Bergen County, New Jersey",8708,8645
125,34003,3400361680,"Ramsey borough, Bergen County, New Jersey",14351,14473
126,34003,3400362910,"Ridgefield borough, Bergen County, New Jersey",10830,11032
127,34003,3400362940,"Ridgefield Park village, Bergen County, New Jersey",12873,12729
128,34003,3400363000,"Ridgewood village, Bergen County, New Jersey",24936,24958
129,34003,3400363360,"River Edge borough, Bergen County, New Jersey",10946,11340
130,34003,3400363690,"River Vale township, Bergen County, New Jersey",9449,9659
131,34003,3400363990,"Rochelle Park township, Bergen County, New Jersey",5528,5530
132,34003,3400364170,"Rockleigh borough, Bergen County, New Jersey",391,531
133,34003,3400365280,"Rutherford borough, Bergen County, New Jersey",18110,18061
134,34003,3400365340,"Saddle Brook township, Bergen County, New Jersey",13155,13659
135,34003,3400365400,"Saddle River borough, Bergen County, New Jersey",3201,3152
136,34003,3400368970,"South Hackensack township, Bergen County, New Jersey",2249,2378
137,34003,3400372360,"Teaneck township, Bergen County, New Jersey",39260,39776
138,34003,3400372420,"Tenafly borough, Bergen County, New Jersey",13806,14488
139,34003,3400372480,"Teterboro borough, Bergen County, New Jersey",18,67
140,34003,3400375140,"Upper Saddle River borough, Bergen County, New Jersey",7741,8208
141,34003,3400376400,"Waldwick borough, Bergen County, New Jersey",9622,9625
142,34003,3400376490,"Wallington borough, Bergen County, New Jersey",11583,11335
143,34003,3400377135,"Washington township, Bergen County, New Jersey",8938,9102
144,34003,3400380270,"Westwood borough, Bergen County, New Jersey",10999,10908
145,34003,3400382300,"Woodcliff Lake borough, Bergen County, New Jersey",5745,5730
146,34003,3400382570,"Wood-Ridge borough, Bergen County, New Jersey",7644,7626
147,34003,3400383050,"Wyckoff township, Bergen County, New Jersey",16508,16696
148,34013,3401304695,"Belleville township, Essex County, New Jersey",35928,35926
149,34013,3401306260,"Bloomfield township, Essex County, New Jersey",47683,47315
150,34013,3401309250,"Caldwell borough, Essex County, New Jersey",7584,7822
151,34013,3401311200,"Cedar Grove township, Essex County, New Jersey",12300,12411
152,34013,3401313045,"City of Orange township, Essex County, New Jersey",32868,30134
153,34013,3401319390,"East Orange city, Essex County, New Jersey",69824,64270
154,34013,3401321840,"Essex Fells borough, Essex County, New Jersey",2162,2113
155,34013,3401322385,"Fairfield township, Essex County, New Jersey",7063,7466
156,34013,3401326610,"Glen Ridge borough, Essex County, New Jersey",7271,7527
157,34013,3401334450,"Irvington township, Essex County, New Jersey",60695,53926
158,34013,3401340890,"Livingston township, Essex County, New Jersey",27391,29366
159,34013,3401343800,"Maplewood township, Essex County, New Jersey",23868,23867
160,34013,3401346380,"Millburn township, Essex County, New Jersey",19765,20149
161,34013,3401347500,"Montclair township, Essex County, New Jersey",38977,37669
162,34013,3401351000,"Newark city, Essex County, New Jersey",273546,277140
