,id,stco,name,yr,P_AsianO18,P_BlackO18,P_HispO18,P_NonHispO18,P_O18,P_OtherO18,P_TwoO18,P_WhiteO18,geotype,subreg
350,3401736000,34017,"Jersey City city, Hudson County, New Jersey",2000,60524,89302,93526,267778,361304,4002,13762,100188,municipality,INJ
351,3401736000,34017,"Jersey City city, Hudson County, New Jersey",2010,48611,43813,49754,145495,195249,2231,3973,46867,municipality,INJ
352,3401736510,34017,"Kearny town, Hudson County, New Jersey",2000,3538,2732,16366,47262,63628,596,1418,38978,municipality,INJ
353,3401736510,34017,"Kearny town, Hudson County, New Jersey",2010,1435,1570,12087,20166,32253,438,405,16318,municipality,INJ
354,3401752470,34017,"North Bergen township, Hudson County, New Jersey",2000,5732,1386,49574,40200,89774,406,1966,30710,municipality,INJ
355,3401752470,34017,"North Bergen township, Hudson County, New Jersey",2010,3200,860,31829,15881,47710,203,433,11185,municipality,INJ
356,3401766570,34017,"Secaucus town, Hudson County, New Jersey",2000,2776,1068,2822,22910,25732,54,342,18670,municipality,INJ
357,3401766570,34017,"Secaucus town, Hudson County, New Jersey",2010,2536,441,2217,10908,13125,32,163,7736,municipality,INJ
358,3401774630,34017,"Union City city, Hudson County, New Jersey",2000,2106,1304,82210,18024,100234,256,696,13662,municipality,INJ
359,3401774630,34017,"Union City city, Hudson County, New Jersey",2010,1233,883,42570,8122,50692,150,245,5611,municipality,INJ
360,3401777930,34017,"Weehawken township, Hudson County, New Jersey",2000,1054,552,8374,14156,22530,104,380,12066,municipality,INJ
361,3401777930,34017,"Weehawken township, Hudson County, New Jersey",2010,871,359,3947,6563,10510,42,116,5175,municipality,INJ
362,3401779610,34017,"West New York town, Hudson County, New Jersey",2000,2212,1088,55330,15794,71124,184,784,11526,municipality,INJ
363,3401779610,34017,"West New York town, Hudson County, New Jersey",2010,2474,769,30029,9235,39264,112,260,5620,municipality,INJ
364,3401900550,34019,"Alexandria township, Hunterdon County, New Jersey",2000,40,48,108,6648,6756,18,30,6512,municipality,ONJ
365,3401900550,34019,"Alexandria township, Hunterdon County, New Jersey",2010,65,69,102,3575,3677,7,13,3421,municipality,ONJ
366,3401905650,34019,"Bethlehem township, Hunterdon County, New Jersey",2000,46,40,82,5304,5386,10,4,5204,municipality,ONJ
367,3401905650,34019,"Bethlehem township, Hunterdon County, New Jersey",2010,48,25,104,2775,2879,5,14,2683,municipality,ONJ
368,3401906370,34019,"Bloomsbury borough, Hunterdon County, New Jersey",2000,0,6,12,1232,1244,2,4,1220,municipality,ONJ
369,3401906370,34019,"Bloomsbury borough, Hunterdon County, New Jersey",2010,12,8,23,612,635,0,1,591,municipality,ONJ
370,3401909280,34019,"Califon borough, Hunterdon County, New Jersey",2000,16,0,6,1538,1544,0,8,1514,municipality,ONJ
371,3401909280,34019,"Califon borough, Hunterdon County, New Jersey",2010,8,3,5,768,773,1,9,747,municipality,ONJ
372,3401913720,34019,"Clinton town, Hunterdon County, New Jersey",2000,130,46,170,3706,3876,16,20,3494,municipality,ONJ
373,3401913720,34019,"Clinton town, Hunterdon County, New Jersey",2010,135,25,133,1880,2013,3,16,1701,municipality,ONJ
374,3401913750,34019,"Clinton township, Hunterdon County, New Jersey",2000,448,1652,846,18272,19118,62,126,15984,municipality,ONJ
375,3401913750,34019,"Clinton township, Hunterdon County, New Jersey",2010,388,682,600,9636,10236,32,89,8445,municipality,ONJ
376,3401917170,34019,"Delaware township, Hunterdon County, New Jersey",2000,72,28,64,6794,6858,8,18,6668,municipality,ONJ
377,3401917170,34019,"Delaware township, Hunterdon County, New Jersey",2010,31,21,73,3575,3648,6,21,3496,municipality,ONJ
378,3401918820,34019,"East Amwell township, Hunterdon County, New Jersey",2000,62,18,76,6580,6656,6,38,6456,municipality,ONJ
379,3401918820,34019,"East Amwell township, Hunterdon County, New Jersey",2010,42,24,72,3058,3130,5,20,2967,municipality,ONJ
380,3401923700,34019,"Flemington borough, Hunterdon County, New Jersey",2000,194,160,660,5874,6534,32,56,5432,municipality,ONJ
381,3401923700,34019,"Flemington borough, Hunterdon County, New Jersey",2010,198,112,862,2697,3559,9,35,2343,municipality,ONJ
382,3401924870,34019,"Franklin township, Hunterdon County, New Jersey",2000,42,16,84,4404,4488,8,16,4322,municipality,ONJ
383,3401924870,34019,"Franklin township, Hunterdon County, New Jersey",2010,28,13,65,2342,2407,7,4,2290,municipality,ONJ
384,3401925350,34019,"Frenchtown borough, Hunterdon County, New Jersey",2000,28,10,58,2248,2306,6,8,2196,municipality,ONJ
385,3401925350,34019,"Frenchtown borough, Hunterdon County, New Jersey",2010,8,8,44,1042,1086,1,5,1020,municipality,ONJ
386,3401926550,34019,"Glen Gardner borough, Hunterdon County, New Jersey",2000,48,26,92,2750,2842,8,20,2648,municipality,ONJ
387,3401926550,34019,"Glen Gardner borough, Hunterdon County, New Jersey",2010,27,21,69,1272,1341,1,13,1210,municipality,ONJ
388,3401929460,34019,"Hampton borough, Hunterdon County, New Jersey",2000,20,140,76,2220,2296,2,22,2036,municipality,ONJ
389,3401929460,34019,"Hampton borough, Hunterdon County, New Jersey",2010,25,21,48,1051,1099,7,8,990,municipality,ONJ
390,3401931320,34019,"High Bridge borough, Hunterdon County, New Jersey",2000,68,40,96,5368,5464,18,24,5218,municipality,ONJ
391,3401931320,34019,"High Bridge borough, Hunterdon County, New Jersey",2010,85,29,130,2633,2763,2,17,2500,municipality,ONJ
392,3401932460,34019,"Holland township, Hunterdon County, New Jersey",2000,22,32,122,7590,7712,10,24,7502,municipality,ONJ
393,3401932460,34019,"Holland township, Hunterdon County, New Jersey",2010,26,21,88,3927,4015,7,11,3862,municipality,ONJ
394,3401937065,34019,"Kingwood township, Hunterdon County, New Jersey",2000,42,24,78,5422,5500,4,32,5320,municipality,ONJ
395,3401937065,34019,"Kingwood township, Hunterdon County, New Jersey",2010,28,18,64,2893,2957,5,27,2815,municipality,ONJ
396,3401938610,34019,"Lambertville city, Hunterdon County, New Jersey",2000,48,116,184,6364,6548,20,46,6134,municipality,ONJ
397,3401938610,34019,"Lambertville city, Hunterdon County, New Jersey",2010,43,59,277,3095,3372,4,19,2970,municipality,ONJ
398,3401939630,34019,"Lebanon borough, Hunterdon County, New Jersey",2000,48,10,32,1584,1616,4,4,1518,municipality,ONJ
399,3401939630,34019,"Lebanon borough, Hunterdon County, New Jersey",2010,55,16,51,1021,1072,3,13,934,municipality,ONJ
400,3401939660,34019,"Lebanon township, Hunterdon County, New Jersey",2000,72,64,142,8522,8664,14,40,8332,municipality,ONJ
401,3401939660,34019,"Lebanon township, Hunterdon County, New Jersey",2010,62,85,146,4951,5097,22,33,4749,municipality,ONJ
402,3401946260,34019,"Milford borough, Hunterdon County, New Jersey",2000,6,2,36,1748,1784,2,8,1730,municipality,ONJ
403,3401946260,34019,"Milford borough, Hunterdon County, New Jersey",2010,7,2,21,958,979,3,4,942,municipality,ONJ
404,3401961920,34019,"Raritan township, Hunterdon County, New Jersey",2000,984,316,758,27262,28020,32,212,25718,municipality,ONJ
405,3401961920,34019,"Raritan township, Hunterdon County, New Jersey",2010,955,310,745,15635,16380,22,95,14253,municipality,ONJ
406,3401962250,34019,"Readington township, Hunterdon County, New Jersey",2000,580,180,458,22778,23236,28,114,21876,municipality,ONJ
407,3401962250,34019,"Readington township, Hunterdon County, New Jersey",2010,425,141,445,11631,12076,15,70,10980,municipality,ONJ
408,3401970980,34019,"Stockton borough, Hunterdon County, New Jersey",2000,6,0,6,876,882,0,2,868,municipality,ONJ
409,3401970980,34019,"Stockton borough, Hunterdon County, New Jersey",2010,4,0,3,430,433,0,1,425,municipality,ONJ
410,3401972510,34019,"Tewksbury township, Hunterdon County, New Jersey",2000,142,34,106,8076,8182,12,30,7858,municipality,ONJ
411,3401972510,34019,"Tewksbury township, Hunterdon County, New Jersey",2010,120,38,137,4339,4476,8,23,4150,municipality,ONJ
412,3401974420,34019,"Union township, Hunterdon County, New Jersey",2000,142,1562,560,9400,9960,22,92,7582,municipality,ONJ
413,3401974420,34019,"Union township, Hunterdon County, New Jersey",2010,173,486,303,4519,4822,13,38,3809,municipality,ONJ
414,3401978230,34019,"West Amwell township, Hunterdon County, New Jersey",2000,28,28,30,3728,3758,4,16,3652,municipality,ONJ
415,3401978230,34019,"West Amwell township, Hunterdon County, New Jersey",2010,41,480,161,3046,3207,3,25,2497,municipality,ONJ
416,3402119780,34021,"East Windsor township, Mercer County, New Jersey",2000,3514,3066,5030,32840,37870,124,388,25748,municipality,ONJ
417,3402119780,34021,"East Windsor township, Mercer County, New Jersey",2010,3434,1678,3687,16931,20618,60,247,11512,municipality,ONJ
418,3402122185,34021,"Ewing township, Mercer County, New Jersey",2000,1332,13066,2388,56138,58526,142,698,40900,municipality,ONJ
419,3402122185,34021,"Ewing township, Mercer County, New Jersey",2010,1300,7390,1943,28003,29946,116,386,18811,municipality,ONJ
420,3402129310,34021,"Hamilton township, Mercer County, New Jersey",2000,3228,9502,5808,128010,133818,270,1492,113518,municipality,ONJ
421,3402129310,34021,"Hamilton township, Mercer County, New Jersey",2010,2238,7105,6380,63360,69740,170,631,53216,municipality,ONJ
422,3402131620,34021,"Hightstown borough, Mercer County, New Jersey",2000,180,600,1602,6482,8084,24,102,5576,municipality,ONJ
423,3402131620,34021,"Hightstown borough, Mercer County, New Jersey",2010,160,307,1184,2997,4181,16,46,2468,municipality,ONJ
424,3402133150,34021,"Hopewell borough, Mercer County, New Jersey",2000,22,34,68,2938,3006,16,18,2848,municipality,ONJ
425,3402133150,34021,"Hopewell borough, Mercer County, New Jersey",2010,10,24,54,1406,1460,4,8,1360,municipality,ONJ
426,3402133180,34021,"Hopewell township, Mercer County, New Jersey",2000,886,1684,548,23118,23666,50,122,20376,municipality,ONJ
427,3402133180,34021,"Hopewell township, Mercer County, New Jersey",2010,1029,269,361,12367,12728,16,96,10957,municipality,ONJ
428,3402139510,34021,"Lawrence township, Mercer County, New Jersey",2000,3370,3864,1922,43750,45672,248,438,35830,municipality,ONJ
429,3402139510,34021,"Lawrence township, Mercer County, New Jersey",2010,3542,2671,1752,25028,26780,89,378,18348,municipality,ONJ
430,3402157600,34021,"Pennington borough, Mercer County, New Jersey",2000,36,112,40,3804,3844,8,14,3634,municipality,ONJ
431,3402157600,34021,"Pennington borough, Mercer County, New Jersey",2010,24,34,21,1882,1903,2,8,1814,municipality,ONJ
432,3402160900,34021,"Princeton borough, Mercer County, New Jersey",2000,4506,2822,2812,46978,49790,202,790,38658,municipality,ONJ
433,3402160900,34021,"Princeton borough, Mercer County, New Jersey",2010,3359,1294,1838,21539,23377,92,454,16340,municipality,ONJ
434,3402163850,34021,"Robbinsville township, Mercer County, New Jersey",2000,604,442,368,14812,15180,36,98,13632,municipality,ONJ
435,3402163850,34021,"Robbinsville township, Mercer County, New Jersey",2010,1142,303,375,9347,9722,21,77,7804,municipality,ONJ
436,3402174000,34021,"Trenton city, Mercer County, New Jersey",2000,982,58862,25046,98468,123514,488,1874,36262,municipality,ONJ
437,3402174000,34021,"Trenton city, Mercer County, New Jersey",2010,669,31078,20430,43205,63635,239,801,10418,municipality,ONJ
438,3402180240,34021,"West Windsor township, Mercer County, New Jersey",2000,6822,772,1144,28734,29878,58,238,20844,municipality,ONJ
439,3402180240,34021,"West Windsor township, Mercer County, New Jersey",2010,6951,658,788,18653,19441,48,234,10762,municipality,ONJ
440,3402310750,34023,"Carteret borough, Middlesex County, New Jersey",2000,2356,2318,6460,24502,30962,108,436,19284,municipality,INJ
441,3402310750,34023,"Carteret borough, Middlesex County, New Jersey",2010,3127,2026,4880,12173,17053,109,254,6657,municipality,INJ
442,3402315550,34023,"Cranbury township, Middlesex County, New Jersey",2000,312,116,62,4428,4490,4,42,3954,municipality,INJ
443,3402315550,34023,"Cranbury township, Middlesex County, New Jersey",2010,356,94,68,2738,2806,2,23,2263,municipality,INJ
444,3402318490,34023,"Dunellen borough, Middlesex County, New Jersey",2000,358,324,1378,8870,10248,20,66,8102,municipality,INJ
445,3402318490,34023,"Dunellen borough, Middlesex County, New Jersey",2010,248,391,1351,4161,5512,12,49,3461,municipality,INJ
446,3402319000,34023,"East Brunswick township, Middlesex County, New Jersey",2000,10674,1844,2720,66456,69176,114,968,52856,municipality,INJ
447,3402319000,34023,"East Brunswick township, Middlesex County, New Jersey",2010,7745,1254,2186,33865,36051,108,389,24369,municipality,INJ
448,3402320230,34023,"Edison township, Middlesex County, New Jersey",2000,42268,9420,8668,142062,150730,476,2178,87720,municipality,INJ
449,3402320230,34023,"Edison township, Middlesex County, New Jersey",2010,31601,4955,5747,71561,77308,240,1342,33423,municipality,INJ
450,3402330840,34023,"Helmetta borough, Middlesex County, New Jersey",2000,66,60,134,2710,2844,4,16,2564,municipality,INJ
451,3402330840,34023,"Helmetta borough, Middlesex County, New Jersey",2010,80,54,109,1616,1725,5,15,1462,municipality,INJ
452,3402331470,34023,"Highland Park borough, Middlesex County, New Jersey",2000,3050,1552,1590,20320,21910,104,370,15244,municipality,INJ
453,3402331470,34023,"Highland Park borough, Middlesex County, New Jersey",2010,2014,792,900,10125,11025,41,162,7116,municipality,INJ
454,3402334890,34023,"Jamesburg borough, Middlesex County, New Jersey",2000,204,750,770,8312,9082,30,106,7222,municipality,INJ
455,3402334890,34023,"Jamesburg borough, Middlesex County, New Jersey",2010,192,362,896,3522,4418,26,37,2905,municipality,INJ
456,3402345690,34023,"Metuchen borough, Middlesex County, New Jersey",2000,1408,1024,718,18980,19698,52,230,16266,municipality,INJ
457,3402345690,34023,"Metuchen borough, Middlesex County, New Jersey",2010,1279,507,598,9694,10292,27,125,7756,municipality,INJ
458,3402345900,34023,"Middlesex borough, Middlesex County, New Jersey",2000,860,618,1702,19120,20822,50,198,17394,municipality,INJ
459,3402345900,34023,"Middlesex borough, Middlesex County, New Jersey",2010,627,455,1559,9009,10568,19,73,7835,municipality,INJ
460,3402346620,34023,"Milltown borough, Middlesex County, New Jersey",2000,302,66,382,10416,10798,18,70,9960,municipality,INJ
461,3402346620,34023,"Milltown borough, Middlesex County, New Jersey",2010,179,60,293,5098,5391,8,24,4827,municipality,INJ
462,3402347280,34023,"Monroe township, Middlesex County, New Jersey",2000,974,884,834,46208,47042,78,154,44118,municipality,INJ
463,3402347280,34023,"Monroe township, Middlesex County, New Jersey",2010,3420,1108,1153,30602,31755,53,198,25823,municipality,INJ
464,3402351210,34023,"New Brunswick city, Middlesex County, New Jersey",2000,4758,14436,26384,51264,77648,446,1276,30348,municipality,INJ
465,3402351210,34023,"New Brunswick city, Middlesex County, New Jersey",2010,3938,6034,18609,24951,43560,229,573,14177,municipality,INJ
466,3402352560,34023,"North Brunswick township, Middlesex County, New Jersey",2000,7606,7898,5186,50682,55868,212,956,34010,municipality,INJ
467,3402352560,34023,"North Brunswick township, Middlesex County, New Jersey",2010,7177,4993,4929,26267,31196,176,486,13435,municipality,INJ
468,3402354705,34023,"Old Bridge township, Middlesex County, New Jersey",2000,9308,4224,6166,83478,89644,260,1328,68358,municipality,INJ
469,3402354705,34023,"Old Bridge township, Middlesex County, New Jersey",2010,6936,2780,4936,45543,50479,223,645,34959,municipality,INJ
470,3402358200,34023,"Perth Amboy city, Middlesex County, New Jersey",2000,1068,5358,44296,23366,67662,342,934,15664,municipality,INJ
471,3402358200,34023,"Perth Amboy city, Middlesex County, New Jersey",2010,656,2814,27794,9151,36945,119,186,5376,municipality,INJ
472,3402359010,34023,"Piscataway township, Middlesex County, New Jersey",2000,19794,14310,5748,73112,78860,336,1422,37250,municipality,INJ
473,3402359010,34023,"Piscataway township, Middlesex County, New Jersey",2010,14865,8283,4481,40294,44775,214,989,15943,municipality,INJ
474,3402359280,34023,"Plainsboro township, Middlesex County, New Jersey",2000,8774,2186,1282,29196,30478,96,402,17738,municipality,INJ
475,3402359280,34023,"Plainsboro township, Middlesex County, New Jersey",2010,7394,1330,1030,16292,17322,50,273,7245,municipality,INJ
476,3402365790,34023,"Sayreville borough, Middlesex County, New Jersey",2000,6216,4488,3976,57750,61726,148,820,46078,municipality,INJ
477,3402365790,34023,"Sayreville borough, Middlesex County, New Jersey",2010,5020,3078,3596,29458,33054,202,412,20746,municipality,INJ
478,3402368550,34023,"South Amboy city, Middlesex County, New Jersey",2000,154,86,670,11310,11980,30,92,10948,municipality,INJ
479,3402368550,34023,"South Amboy city, Middlesex County, New Jersey",2010,247,251,784,6050,6834,12,71,5469,municipality,INJ
480,3402368790,34023,"South Brunswick township, Middlesex County, New Jersey",2000,9524,4056,2536,51474,54010,148,706,37040,municipality,INJ
481,3402368790,34023,"South Brunswick township, Middlesex County, New Jersey",2010,10343,2312,1750,29633,31383,91,476,16411,municipality,INJ
482,3402369390,34023,"South Plainfield borough, Middlesex County, New Jersey",2000,2390,2526,2512,30138,32650,290,458,24474,municipality,INJ
483,3402369390,34023,"South Plainfield borough, Middlesex County, New Jersey",2010,2628,1665,2084,15927,18011,169,321,11144,municipality,INJ
484,3402369420,34023,"South River borough, Middlesex County, New Jersey",2000,838,1216,2088,21498,23586,116,438,18890,municipality,INJ
485,3402369420,34023,"South River borough, Middlesex County, New Jersey",2010,584,737,1993,10400,12393,198,221,8660,municipality,INJ
486,3402369810,34023,"Spotswood borough, Middlesex County, New Jersey",2000,332,158,484,11750,12234,16,68,11176,municipality,INJ
487,3402369810,34023,"Spotswood borough, Middlesex County, New Jersey",2010,322,158,464,6052,6516,15,62,5495,municipality,INJ
488,3402382000,34023,"Woodbridge township, Middlesex County, New Jersey",2000,20976,12206,12496,138424,150920,476,2188,102578,municipality,INJ
489,3402382000,34023,"Woodbridge township, Middlesex County, New Jersey",2010,16624,6890,10965,67064,78029,304,1099,42147,municipality,INJ
490,3402500000,34025,"County subdivisions not defined, Monmouth County, New Jersey",2000,0,0,0,0,0,0,0,0,municipality,ONJ
491,3402500000,34025,"County subdivisions not defined, Monmouth County, New Jersey",2010,0,0,0,0,0,0,0,0,municipality,ONJ
492,3402500070,34025,"Aberdeen township, Monmouth County, New Jersey",2000,1462,2866,1640,24730,26370,68,294,20040,municipality,ONJ
493,3402500070,34025,"Aberdeen township, Monmouth County, New Jersey",2010,901,1460,1320,12683,14003,59,128,10135,municipality,ONJ
494,3402500730,34025,"Allenhurst borough, Monmouth County, New Jersey",2000,6,8,24,1140,1164,4,6,1116,municipality,ONJ
495,3402500730,34025,"Allenhurst borough, Monmouth County, New Jersey",2010,5,5,19,401,420,0,3,388,municipality,ONJ
496,3402500760,34025,"Allentown borough, Monmouth County, New Jersey",2000,20,186,52,2706,2758,18,32,2450,municipality,ONJ
497,3402500760,34025,"Allentown borough, Monmouth County, New Jersey",2010,18,63,42,1333,1375,2,17,1233,municipality,ONJ
498,3402501960,34025,"Asbury Park city, Monmouth County, New Jersey",2000,208,13182,3542,20140,23682,114,914,5722,municipality,ONJ
499,3402501960,34025,"Asbury Park city, Monmouth County, New Jersey",2010,64,5780,2869,9419,12288,63,214,3298,municipality,ONJ
500,3402502110,34025,"Atlantic Highlands borough, Monmouth County, New Jersey",2000,90,176,242,7158,7400,6,34,6852,municipality,ONJ
501,3402502110,34025,"Atlantic Highlands borough, Monmouth County, New Jersey",2010,68,48,141,3385,3526,8,33,3228,municipality,ONJ
502,3402502440,34025,"Avon-by-the-Sea borough, Monmouth County, New Jersey",2000,18,8,84,3578,3662,4,8,3540,municipality,ONJ
503,3402502440,34025,"Avon-by-the-Sea borough, Monmouth County, New Jersey",2010,6,5,58,1524,1582,2,12,1499,municipality,ONJ
504,3402504930,34025,"Belmar borough, Monmouth County, New Jersey",2000,90,278,582,9432,10014,26,94,8944,municipality,ONJ
505,3402504930,34025,"Belmar borough, Monmouth County, New Jersey",2010,40,128,660,4160,4820,6,30,3956,municipality,ONJ
506,3402506970,34025,"Bradley Beach borough, Monmouth County, New Jersey",2000,116,228,856,7006,7862,26,82,6554,municipality,ONJ
507,3402506970,34025,"Bradley Beach borough, Monmouth County, New Jersey",2010,67,147,605,3058,3663,12,35,2797,municipality,ONJ
508,3402507750,34025,"Brielle borough, Monmouth County, New Jersey",2000,48,280,226,7240,7466,6,48,6858,municipality,ONJ
509,3402507750,34025,"Brielle borough, Monmouth County, New Jersey",2010,29,94,99,3427,3526,8,33,3263,municipality,ONJ
510,3402514560,34025,"Colts Neck township, Monmouth County, New Jersey",2000,638,1406,748,16714,17462,64,128,14478,municipality,ONJ
511,3402514560,34025,"Colts Neck township, Monmouth County, New Jersey",2010,341,100,244,7011,7255,6,46,6518,municipality,ONJ
512,3402516660,34025,"Deal borough, Monmouth County, New Jersey",2000,6,16,90,1612,1702,8,8,1574,municipality,ONJ
513,3402516660,34025,"Deal borough, Monmouth County, New Jersey",2010,17,10,47,596,643,2,5,562,municipality,ONJ
514,3402519840,34025,"Eatontown borough, Monmouth County, New Jersey",2000,2084,2136,1294,20298,21592,114,344,15620,municipality,ONJ
515,3402519840,34025,"Eatontown borough, Monmouth County, New Jersey",2010,847,1117,1073,8999,10072,80,202,6753,municipality,ONJ
516,3402521570,34025,"Englishtown borough, Monmouth County, New Jersey",2000,116,90,136,2366,2502,6,18,2136,municipality,ONJ
517,3402521570,34025,"Englishtown borough, Monmouth County, New Jersey",2010,92,30,96,1280,1376,1,8,1149,municipality,ONJ
518,3402522440,34025,"Fair Haven borough, Monmouth County, New Jersey",2000,72,378,104,7848,7952,6,34,7358,municipality,ONJ
519,3402522440,34025,"Fair Haven borough, Monmouth County, New Jersey",2010,42,123,89,3928,4017,4,23,3736,municipality,ONJ
520,3402522950,34025,"Farmingdale borough, Monmouth County, New Jersey",2000,60,26,92,2226,2318,2,10,2128,municipality,ONJ
521,3402522950,34025,"Farmingdale borough, Monmouth County, New Jersey",2010,33,23,52,991,1043,5,10,920,municipality,ONJ
522,3402525200,34025,"Freehold borough, Monmouth County, New Jersey",2000,378,2350,4378,12138,16516,16,162,9232,municipality,ONJ
523,3402525200,34025,"Freehold borough, Monmouth County, New Jersey",2010,270,1044,3604,5491,9095,29,85,4063,municipality,ONJ
524,3402525230,34025,"Freehold township, Monmouth County, New Jersey",2000,2338,2524,2344,44784,47128,94,342,39486,municipality,ONJ
525,3402525230,34025,"Freehold township, Monmouth County, New Jersey",2010,1853,1524,2002,25385,27387,77,219,21712,municipality,ONJ
526,3402530690,34025,"Hazlet township, Monmouth County, New Jersey",2000,1080,302,1726,30138,31864,52,202,28502,municipality,ONJ
527,3402530690,34025,"Hazlet township, Monmouth County, New Jersey",2010,556,213,1103,14609,15712,22,86,13732,municipality,ONJ
528,3402531500,34025,"Highlands borough, Monmouth County, New Jersey",2000,94,70,246,8034,8280,24,84,7762,municipality,ONJ
529,3402531500,34025,"Highlands borough, Monmouth County, New Jersey",2010,58,54,232,4064,4296,12,39,3901,municipality,ONJ
530,3402532640,34025,"Holmdel township, Monmouth County, New Jersey",2000,3662,126,554,22004,22558,24,174,18018,municipality,ONJ
531,3402532640,34025,"Holmdel township, Monmouth County, New Jersey",2010,2362,94,406,12044,12450,29,109,9450,municipality,ONJ
532,3402533300,34025,"Howell township, Monmouth County, New Jersey",2000,2438,2228,3416,64214,67630,124,510,58914,municipality,ONJ
533,3402533300,34025,"Howell township, Monmouth County, New Jersey",2010,1719,1286,2747,34877,37624,96,293,31483,municipality,ONJ
534,3402534200,34025,"Interlaken borough, Monmouth County, New Jersey",2000,2,0,14,1464,1478,2,8,1452,municipality,ONJ
535,3402534200,34025,"Interlaken borough, Monmouth County, New Jersey",2010,3,0,10,691,701,0,2,686,municipality,ONJ
536,3402536480,34025,"Keansburg borough, Monmouth County, New Jersey",2000,204,244,1072,14556,15628,44,112,13952,municipality,ONJ
537,3402536480,34025,"Keansburg borough, Monmouth County, New Jersey",2010,151,365,960,6781,7741,19,80,6166,municipality,ONJ
538,3402536810,34025,"Keyport borough, Monmouth County, New Jersey",2000,266,718,1226,10612,11838,22,164,9442,municipality,ONJ
539,3402536810,34025,"Keyport borough, Monmouth County, New Jersey",2010,145,345,948,4856,5804,25,49,4292,municipality,ONJ
540,3402537560,34025,"Lake Como borough, Monmouth County, New Jersey",2000,34,186,246,2580,2826,20,26,2314,municipality,ONJ
541,3402537560,34025,"Lake Como borough, Monmouth County, New Jersey",2010,19,82,211,1204,1415,6,15,1082,municipality,ONJ
542,3402540770,34025,"Little Silver borough, Monmouth County, New Jersey",2000,130,36,122,8836,8958,18,24,8628,municipality,ONJ
543,3402540770,34025,"Little Silver borough, Monmouth County, New Jersey",2010,85,9,102,4187,4289,8,25,4060,municipality,ONJ
544,3402541010,34025,"Loch Arbour village, Monmouth County, New Jersey",2000,2,8,2,460,462,0,6,444,municipality,ONJ
545,3402541010,34025,"Loch Arbour village, Monmouth County, New Jersey",2010,2,3,4,152,156,0,0,147,municipality,ONJ
546,3402541310,34025,"Long Branch city, Monmouth County, New Jersey",2000,814,7390,8658,39122,47780,404,1004,29510,municipality,ONJ
547,3402541310,34025,"Long Branch city, Monmouth County, New Jersey",2010,506,2945,5857,18206,24063,669,490,13596,municipality,ONJ
548,3402542990,34025,"Manalapan township, Monmouth County, New Jersey",2000,2036,956,1560,45006,46566,68,260,41686,municipality,ONJ
549,3402542990,34025,"Manalapan township, Monmouth County, New Jersey",2010,1941,664,1466,27387,28853,43,181,24558,municipality,ONJ
550,3402543050,34025,"Manasquan borough, Monmouth County, New Jersey",2000,40,34,382,9234,9616,12,26,9122,municipality,ONJ
551,3402543050,34025,"Manasquan borough, Monmouth County, New Jersey",2010,22,8,286,4235,4521,6,10,4189,municipality,ONJ
552,3402544070,34025,"Marlboro township, Monmouth County, New Jersey",2000,6018,1112,1334,49484,50818,54,302,41998,municipality,ONJ
553,3402544070,34025,"Marlboro township, Monmouth County, New Jersey",2010,4747,592,1006,27610,28616,42,187,22042,municipality,ONJ
554,3402544520,34025,"Matawan borough, Monmouth County, New Jersey",2000,1166,844,802,12998,13800,22,152,10814,municipality,ONJ
555,3402544520,34025,"Matawan borough, Monmouth County, New Jersey",2010,438,426,646,6173,6819,14,83,5212,municipality,ONJ
556,3402545990,34025,"Middletown township, Monmouth County, New Jersey",2000,2476,1158,2944,94828,97772,108,448,90638,municipality,ONJ
557,3402545990,34025,"Middletown township, Monmouth County, New Jersey",2010,1374,623,2363,47925,50288,77,274,45577,municipality,ONJ
558,3402546560,34025,"Millstone township, Monmouth County, New Jersey",2000,384,376,428,11628,12056,22,70,10776,municipality,ONJ
559,3402546560,34025,"Millstone township, Monmouth County, New Jersey",2010,353,271,370,7194,7564,17,56,6497,municipality,ONJ
560,3402547130,34025,"Monmouth Beach borough, Monmouth County, New Jersey",2000,50,28,84,5644,5728,2,20,5544,municipality,ONJ
561,3402547130,34025,"Monmouth Beach borough, Monmouth County, New Jersey",2010,17,8,47,2572,2619,4,19,2524,municipality,ONJ
562,3402549890,34025,"Neptune township, Monmouth County, New Jersey",2000,506,14128,1998,40586,42584,154,684,25114,municipality,ONJ
563,3402549890,34025,"Neptune township, Monmouth County, New Jersey",2010,509,7624,1716,20451,22167,81,370,11867,municipality,ONJ
564,3402549920,34025,"Neptune City borough, Monmouth County, New Jersey",2000,212,734,382,7810,8192,24,112,6728,municipality,ONJ
565,3402549920,34025,"Neptune City borough, Monmouth County, New Jersey",2010,143,385,336,3635,3971,13,49,3045,municipality,ONJ
566,3402554270,34025,"Ocean township, Monmouth County, New Jersey",2000,2496,2102,1728,38448,40176,136,500,33214,municipality,ONJ
567,3402554270,34025,"Ocean township, Monmouth County, New Jersey",2010,1357,1523,1670,19433,21103,80,243,16230,municipality,ONJ
568,3402554570,34025,"Oceanport borough, Monmouth County, New Jersey",2000,70,190,184,8584,8768,12,52,8260,municipality,ONJ
569,3402554570,34025,"Oceanport borough, Monmouth County, New Jersey",2010,72,120,136,4334,4470,9,33,4100,municipality,ONJ
