,id,stco,name,yr,P_AsianO18,P_BlackO18,P_HispO18,P_NonHispO18,P_O18,P_OtherO18,P_TwoO18,P_WhiteO18,geotype,subreg
3157,34013,34013,"Essex County, New Jersey",2010,27293,227440,113312,475739,589051,5858,8227,206921,county,INJ
3159,34017,34017,"Hudson County, New Jersey",2010,69894,53637,200642,302462,503104,3792,6950,168189,county,INJ
3160,34031,34031,"Passaic County, New Jersey",2010,18645,41212,128930,247683,376613,1421,3903,182502,county,INJ
0,CT,,Connecticut,2000,36835,118960,124884,1291145,1416029,6101,17585,1111664,subregion,CT
1,CT,,Connecticut,2010,55887,143096,197596,1310692,1508288,8498,15662,1087549,subregion,CT
2,INJ,,Inner New Jersey,2000,279479,496372,615424,3025370,3640794,14724,59186,2175609,subregion,INJ
3,INJ,,Inner New Jersey,2010,427601,525055,826067,2990244,3816311,19641,44908,1973039,subregion,INJ
4,LHV,,Lower Hudson Valley,2000,42423,110889,123984,845516,969500,3708,14619,673877,subregion,LHV
5,LHV,,Lower Hudson Valley,2010,54814,124206,188072,833208,1021280,4349,11053,638786,subregion,LHV
6,LI,,Long Island,2000,71092,153532,193940,1860813,2054753,6509,22055,1607625,subregion,LI
7,LI,,Long Island,2010,113942,179537,307217,1856415,2163632,8283,20841,1533812,subregion,LI
8,MHV,,Mid Hudson Valley,2000,11207,46286,49562,594023,643585,2315,6788,527427,subregion,MHV
9,MHV,,Mid Hudson Valley,2010,17418,57773,82310,626141,708451,3057,8888,539005,subregion,MHV
10,NYC,,New York City,2000,611412,1393859,1499208,4568801,6068009,53521,164445,2345564,subregion,NYC
11,NYC,,New York City,2010,832285,1420058,1709204,4697818,6407022,55775,105281,2284419,subregion,NYC
12,ONJ,,Outer New Jersey,2000,38508,94777,74277,1309286,1383563,3098,11706,1161197,subregion,ONJ
13,ONJ,,Outer New Jersey,2010,61416,104259,127475,1372493,1499968,4080,12747,1189991,subregion,ONJ
1,us,,United States,2000,7702895,23337573,22963559,186164535,209128094,1902426,2695954,150525687,nation,
1,us,,United States,2010,11288995,27323665,33346703,201217368,234564071,2326808,3176910,157100990,nation,
0,900100000,09001,"County subdivisions not defined, Fairfield County, Connecticut",2000,0,0,0,0,0,0,0,0,municipality,CT
1,900100000,09001,"County subdivisions not defined, Fairfield County, Connecticut",2010,0,0,0,0,0,0,0,0,municipality,CT
2,900104720,09001,"Bethel town, Fairfield County, Connecticut",2000,838,340,892,25392,26284,116,226,23872,municipality,CT
3,900104720,09001,"Bethel town, Fairfield County, Connecticut",2010,609,238,917,13291,14208,118,132,12194,municipality,CT
4,900108070,09001,"Bridgeport town, Fairfield County, Connecticut",2000,6592,53980,56524,143190,199714,2342,6368,73908,municipality,CT
5,900108070,09001,"Bridgeport town, Fairfield County, Connecticut",2010,3864,33610,38022,70160,108182,1756,1811,29119,municipality,CT
6,900108980,09001,"Brookfield town, Fairfield County, Connecticut",2000,542,174,490,22262,22752,28,94,21424,municipality,CT
7,900108980,09001,"Brookfield town, Fairfield County, Connecticut",2010,405,126,461,11881,12342,50,64,11236,municipality,CT
8,900118500,09001,"Danbury town, Fairfield County, Connecticut",2000,5798,7000,17156,100086,117242,1892,2796,82600,municipality,CT
9,900118500,09001,"Danbury town, Fairfield County, Connecticut",2010,4119,3974,14391,49460,63851,1501,1226,38640,municipality,CT
10,900118850,09001,"Darien town, Fairfield County, Connecticut",2000,620,136,586,25900,26486,28,120,24996,municipality,CT
11,900118850,09001,"Darien town, Fairfield County, Connecticut",2010,492,68,449,12902,13351,34,51,12257,municipality,CT
12,900123890,09001,"Easton town, Fairfield County, Connecticut",2000,184,24,170,10210,10380,12,28,9962,municipality,CT
13,900123890,09001,"Easton town, Fairfield County, Connecticut",2010,160,38,132,5230,5362,11,28,4993,municipality,CT
14,900126620,09001,"Fairfield town, Fairfield County, Connecticut",2000,1634,888,1888,85574,87462,144,464,82444,municipality,CT
15,900126620,09001,"Fairfield town, Fairfield County, Connecticut",2010,1534,744,1974,42335,44309,132,330,39595,municipality,CT
16,900133620,09001,"Greenwich town, Fairfield County, Connecticut",2000,4346,1488,5400,85714,91114,212,732,78936,municipality,CT
17,900133620,09001,"Greenwich town, Fairfield County, Connecticut",2010,2893,902,4035,40798,44833,163,328,36512,municipality,CT
18,900148620,09001,"Monroe town, Fairfield County, Connecticut",2000,418,324,616,26692,27308,40,126,25784,municipality,CT
19,900148620,09001,"Monroe town, Fairfield County, Connecticut",2010,274,185,591,13723,14314,20,91,13153,municipality,CT
20,900150580,09001,"New Canaan town, Fairfield County, Connecticut",2000,644,306,470,26220,26690,28,132,25110,municipality,CT
21,900150580,09001,"New Canaan town, Fairfield County, Connecticut",2010,462,135,351,13058,13409,21,73,12367,municipality,CT
22,900150860,09001,"New Fairfield town, Fairfield County, Connecticut",2000,228,74,468,19056,19524,14,106,18634,municipality,CT
23,900150860,09001,"New Fairfield town, Fairfield County, Connecticut",2010,177,97,379,9724,10103,38,53,9359,municipality,CT
24,900152980,09001,"Newtown town, Fairfield County, Connecticut",2000,498,776,832,34566,35398,64,208,33020,municipality,CT
25,900152980,09001,"Newtown town, Fairfield County, Connecticut",2010,420,372,674,19281,19955,40,94,18355,municipality,CT
26,900156060,09001,"Norwalk town, Fairfield County, Connecticut",2000,4156,17106,18612,110670,129282,326,1932,87150,municipality,CT
27,900156060,09001,"Norwalk town, Fairfield County, Connecticut",2010,3151,8504,14794,51935,66729,244,609,39427,municipality,CT
28,900163480,09001,"Redding town, Fairfield County, Connecticut",2000,196,86,168,11562,11730,24,58,11198,municipality,CT
29,900163480,09001,"Redding town, Fairfield County, Connecticut",2010,136,48,152,6629,6781,12,58,6375,municipality,CT
30,900163970,09001,"Ridgefield town, Fairfield County, Connecticut",2000,638,196,566,32256,32822,56,128,31238,municipality,CT
