,COUNTY,P_AsianO18,P_BlackO18,P_HispO18,P_NonHispO18,P_O18,P_OtherO18,P_TwoO18,P_WhiteO18,STATE,SUMLEV,id,name
323,027,294,1391,1393,10119,11512,56,261,8117,36,60,3602705452,Beekman town
324,027,48,54,123,3232,3355,12,127,2991,36,60,3602716408,Clinton town
325,027,182,304,1107,5503,6610,30,236,4751,36,60,3602720819,Dover town
326,027,989,840,2479,20642,23121,145,652,18016,36,60,3602721996,East Fishkill town
327,027,939,2802,2996,17561,20557,136,509,13175,36,60,3602725978,Fishkill town
328,027,746,1254,1400,16031,17431,120,713,13198,36,60,3602737209,Hyde Park town
329,027,572,636,1197,11332,12529,84,398,9642,36,60,3602740299,LaGrange town
330,027,18,24,95,1776,1871,20,83,1631,36,60,3602747207,Milan town
331,027,43,41,288,2176,2464,12,92,1988,36,60,3602751891,North East town
332,027,103,177,828,5690,6518,42,165,5203,36,60,3602756825,Pawling town
333,027,24,17,89,1728,1817,5,58,1624,36,60,3602758156,Pine Plains town
334,027,138,298,557,7290,7847,75,277,6502,36,60,3602758695,Pleasant Valley town
335,027,428,8384,4831,19845,24676,202,997,9834,36,60,3602759641,Poughkeepsie city
336,027,2361,4041,4758,32371,37129,427,1203,24339,36,60,3602759652,Poughkeepsie town
337,027,262,107,524,7634,8158,34,240,6991,36,60,3602760905,Red Hook town
338,027,129,89,380,6173,6553,33,190,5732,36,60,3602761357,Rhinebeck town
339,027,38,120,199,2883,3082,14,107,2604,36,60,3602770662,Stanford town
340,027,70,61,211,3478,3689,18,82,3247,36,60,3602776166,Union Vale town
341,027,1036,1634,3633,19094,22727,192,695,15537,36,60,3602778157,Wappinger town
342,027,53,74,294,3377,3671,18,138,3094,36,60,3602778388,Washington town
506,047,294905,584397,391547,1748824,2140371,25473,84678,759371,36,60,3604710022,Brooklyn borough
590,059,1292,1276,7056,16103,23159,158,367,13010,36,60,3605929113,Glen Cove city
591,059,46175,99885,125615,495295,620910,6566,13922,328747,36,60,3605934000,Hempstead town
592,059,924,1426,4144,25586,29730,258,588,22390,36,60,3605943335,Long Beach city
593,059,40899,9207,25241,160261,185502,1350,4014,104791,36,60,3605953000,North Hempstead town
594,059,34464,5428,22269,217314,239583,1177,4011,172234,36,60,3605956000,Oyster Bay town
595,061,196100,167205,329236,1132504,1461740,12876,45814,710509,36,60,3606144919,Manhattan borough
681,071,336,1068,2723,11327,14050,225,433,9265,36,60,3607107003,Blooming Grove town
682,071,399,802,1653,8140,9793,84,286,6569,36,60,3607115308,Chester town
683,071,313,317,1099,8959,10058,91,319,7919,36,60,3607118300,Cornwall town
684,071,107,272,939,6221,7160,50,221,5571,36,60,3607118916,Crawford town
685,071,296,165,440,5679,6119,62,263,4893,36,60,3607119961,Deerpark town
686,071,373,768,2325,9270,11595,54,242,7833,36,60,3607129553,Goshen town
687,071,54,116,398,3223,3621,37,108,2908,36,60,3607130631,Greenville town
688,071,165,129,565,3735,4300,30,134,3277,36,60,3607131907,Hamptonburgh town
