,id,name,stco,subreg,P_AsianO18,P_BlackO18,P_HispO18,P_NonHispO18,P_O18,P_OtherO18,P_TwoO18,P_WhiteO18,geotype,yr
177,3401766570,"Secaucus town, Hudson County, New Jersey",34017,INJ,5635,760,3643,14475,18118,107,316,7657,municipality,2020
178,3401774630,"Union City city, Hudson County, New Jersey",34017,INJ,2082,1149,43377,9723,53100,343,520,5629,municipality,2020
179,3401777930,"Weehawken township, Hudson County, New Jersey",34017,INJ,2216,571,4531,9831,14362,99,346,6599,municipality,2020
180,3401779610,"West New York town, Hudson County, New Jersey",34017,INJ,3151,1071,31343,10696,42039,301,490,5683,municipality,2020
181,3401900550,"Alexandria township, Hunterdon County, New Jersey",34019,ONJ,78,55,191,3674,3865,31,104,3406,municipality,2020
182,3401905650,"Bethlehem township, Hunterdon County, New Jersey",34019,ONJ,72,28,129,2844,2973,8,71,2665,municipality,2020
183,3401906370,"Bloomsbury borough, Hunterdon County, New Jersey",34019,ONJ,11,18,36,622,658,4,16,573,municipality,2020
184,3401909280,"Califon borough, Hunterdon County, New Jersey",34019,ONJ,11,1,27,770,797,6,26,726,municipality,2020
185,3401913720,"Clinton town, Hunterdon County, New Jersey",34019,ONJ,175,42,198,1964,2162,14,45,1688,municipality,2020
186,3401913750,"Clinton township, Hunterdon County, New Jersey",34019,ONJ,588,723,814,10126,10940,49,262,8504,municipality,2020
187,3401917170,"Delaware township, Hunterdon County, New Jersey",34019,ONJ,44,25,182,3614,3796,17,86,3442,municipality,2020
188,3401918820,"East Amwell township, Hunterdon County, New Jersey",34019,ONJ,60,31,134,3143,3277,23,71,2958,municipality,2020
189,3401923700,"Flemington borough, Hunterdon County, New Jersey",34019,ONJ,249,96,1228,2363,3591,11,72,1935,municipality,2020
190,3401924870,"Franklin township, Hunterdon County, New Jersey",34019,ONJ,51,21,145,2526,2671,19,91,2344,municipality,2020
191,3401925350,"Frenchtown borough, Hunterdon County, New Jersey",34019,ONJ,17,13,69,1041,1110,13,31,967,municipality,2020
192,3401926550,"Glen Gardner borough, Hunterdon County, New Jersey",34019,ONJ,15,44,100,1264,1364,13,32,1160,municipality,2020
193,3401929460,"Hampton borough, Hunterdon County, New Jersey",34019,ONJ,31,22,99,1070,1169,7,34,976,municipality,2020
194,3401931320,"High Bridge borough, Hunterdon County, New Jersey",34019,ONJ,88,28,217,2568,2785,7,65,2380,municipality,2020
195,3401932460,"Holland township, Hunterdon County, New Jersey",34019,ONJ,40,24,154,4027,4181,9,102,3852,municipality,2020
196,3401937065,"Kingwood township, Hunterdon County, New Jersey",34019,ONJ,33,33,89,3009,3098,7,87,2849,municipality,2020
197,3401938610,"Lambertville city, Hunterdon County, New Jersey",34019,ONJ,55,64,356,3207,3563,14,76,2998,municipality,2020
198,3401939630,"Lebanon borough, Hunterdon County, New Jersey",34019,ONJ,56,49,91,1289,1380,1,35,1148,municipality,2020
199,3401939660,"Lebanon township, Hunterdon County, New Jersey",34019,ONJ,100,44,224,4787,5011,30,125,4488,municipality,2020
200,3401946260,"Milford borough, Hunterdon County, New Jersey",34019,ONJ,5,9,55,941,996,6,20,901,municipality,2020
201,3401961920,"Raritan township, Hunterdon County, New Jersey",34019,ONJ,1594,450,1269,17142,18411,79,427,14592,municipality,2020
202,3401962250,"Readington township, Hunterdon County, New Jersey",34019,ONJ,615,166,825,12225,13050,25,275,11144,municipality,2020
203,3401970980,"Stockton borough, Hunterdon County, New Jersey",34019,ONJ,8,0,9,421,430,1,12,400,municipality,2020
204,3401972510,"Tewksbury township, Hunterdon County, New Jersey",34019,ONJ,181,49,223,4542,4765,31,116,4165,municipality,2020
205,3401974420,"Union township, Hunterdon County, New Jersey",34019,ONJ,195,459,443,5110,5553,20,106,4330,municipality,2020
206,3401978230,"West Amwell township, Hunterdon County, New Jersey",34019,ONJ,57,52,120,2304,2424,6,47,2142,municipality,2020
207,3402119780,"East Windsor township, Mercer County, New Jersey",34021,ONJ,5501,2075,5442,18254,23696,141,464,10073,municipality,2020
208,3402122185,"Ewing township, Mercer County, New Jersey",34021,ONJ,1681,9278,3668,28042,31710,232,860,15991,municipality,2020
209,3402129310,"Hamilton township, Mercer County, New Jersey",34021,ONJ,3435,9068,12512,62046,74558,292,1658,47593,municipality,2020
210,3402131620,"Hightstown borough, Mercer County, New Jersey",34021,ONJ,272,327,1462,3090,4552,24,134,2333,municipality,2020
211,3402133150,"Hopewell borough, Mercer County, New Jersey",34021,ONJ,27,27,67,1444,1511,8,44,1338,municipality,2020
212,3402133180,"Hopewell township, Mercer County, New Jersey",34021,ONJ,1459,486,713,12928,13641,61,347,10575,municipality,2020
213,3402139510,"Lawrence township, Mercer County, New Jersey",34021,ONJ,4681,3065,2651,24380,27031,145,743,15746,municipality,2020
214,3402157600,"Pennington borough, Mercer County, New Jersey",34021,ONJ,68,37,43,2066,2109,4,46,1911,municipality,2020
215,3402160900,"Princeton borough, Mercer County, New Jersey",34021,ONJ,5540,1459,2277,22927,25204,151,960,14817,municipality,2020
216,3402163850,"Robbinsville township, Mercer County, New Jersey",34021,ONJ,2887,371,527,10922,11449,58,246,7360,municipality,2020
217,3402174000,"Trenton city, Mercer County, New Jersey",34021,ONJ,493,29219,27944,39145,67089,399,1284,7750,municipality,2020
218,3402180240,"West Windsor township, Mercer County, New Jersey",34021,ONJ,11032,874,1047,21075,22122,95,450,8624,municipality,2020
219,3402310750,"Carteret borough, Middlesex County, New Jersey",34023,INJ,4407,2906,6802,12773,19575,162,377,4921,municipality,2020
220,3402315550,"Cranbury township, Middlesex County, New Jersey",34023,INJ,593,77,119,2821,2940,11,47,2093,municipality,2020
221,3402318490,"Dunellen borough, Middlesex County, New Jersey",34023,INJ,322,510,1956,3846,5802,63,156,2795,municipality,2020
222,3402319000,"East Brunswick township, Middlesex County, New Jersey",34023,INJ,10436,1617,3274,35453,38727,254,815,22331,municipality,2020
223,3402320230,"Edison township, Middlesex County, New Jersey",34023,INJ,42389,5973,7768,75082,82850,518,1407,24795,municipality,2020
224,3402330840,"Helmetta borough, Middlesex County, New Jersey",34023,INJ,103,81,191,1832,2023,12,61,1575,municipality,2020
225,3402331470,"Highland Park borough, Middlesex County, New Jersey",34023,INJ,2144,1020,1626,10397,12023,132,335,6766,municipality,2020
226,3402334890,"Jamesburg borough, Middlesex County, New Jersey",34023,INJ,223,314,1265,3232,4497,36,126,2533,municipality,2020
227,3402345690,"Metuchen borough, Middlesex County, New Jersey",34023,INJ,2109,531,1009,10591,11600,67,342,7542,municipality,2020
228,3402345900,"Middlesex borough, Middlesex County, New Jersey",34023,INJ,913,667,2666,8832,11498,61,240,6951,municipality,2020
229,3402346620,"Milltown borough, Middlesex County, New Jersey",34023,INJ,202,133,557,4903,5460,25,122,4421,municipality,2020
230,3402347280,"Monroe township, Middlesex County, New Jersey",34023,INJ,9052,1408,2029,38139,40168,147,559,26973,municipality,2020
231,3402351210,"New Brunswick city, Middlesex County, New Jersey",34023,INJ,5521,5248,21332,21683,43015,651,587,9676,municipality,2020
232,3402352560,"North Brunswick township, Middlesex County, New Jersey",34023,INJ,8926,5971,7502,27193,34695,403,761,11132,municipality,2020
233,3402354705,"Old Bridge township, Middlesex County, New Jersey",34023,INJ,8182,3752,6811,47381,54192,353,1220,33874,municipality,2020
234,3402358200,"Perth Amboy city, Middlesex County, New Jersey",34023,INJ,534,2709,33672,7377,41049,239,360,3535,municipality,2020
235,3402359010,"Piscataway township, Middlesex County, New Jersey",34023,INJ,19869,9462,6154,44088,50242,837,1042,12878,municipality,2020
236,3402359280,"Plainsboro township, Middlesex County, New Jersey",34023,INJ,9898,1296,1113,17702,18815,99,364,6045,municipality,2020
237,3402365790,"Sayreville borough, Middlesex County, New Jersey",34023,INJ,5880,4298,5535,30310,35845,312,840,18980,municipality,2020
238,3402368550,"South Amboy city, Middlesex County, New Jersey",34023,INJ,400,388,1442,6123,7565,43,175,5117,municipality,2020
239,3402368790,"South Brunswick township, Middlesex County, New Jersey",34023,INJ,16470,2651,2463,33857,36320,149,688,13899,municipality,2020
240,3402369390,"South Plainfield borough, Middlesex County, New Jersey",34023,INJ,3597,1976,3225,16104,19329,277,476,9778,municipality,2020
241,3402369420,"South River borough, Middlesex County, New Jersey",34023,INJ,728,787,2887,9813,12700,321,597,7380,municipality,2020
242,3402369810,"Spotswood borough, Middlesex County, New Jersey",34023,INJ,420,204,645,6001,6646,19,183,5175,municipality,2020
243,3402382000,"Woodbridge township, Middlesex County, New Jersey",34023,INJ,20983,8045,16295,66138,82433,630,1709,34771,municipality,2020
244,3402500000,"County subdivisions not defined, Monmouth County, New Jersey",34025,ONJ,0,0,0,0,0,0,0,0,municipality,2020
245,3402500070,"Aberdeen township, Monmouth County, New Jersey",34025,ONJ,919,1505,1871,13720,15591,110,451,10735,municipality,2020
246,3402500730,"Allenhurst borough, Monmouth County, New Jersey",34025,ONJ,3,2,14,388,402,0,6,377,municipality,2020
247,3402500760,"Allentown borough, Monmouth County, New Jersey",34025,ONJ,23,51,69,1305,1374,3,42,1186,municipality,2020
248,3402501960,"Asbury Park city, Monmouth County, New Jersey",34025,ONJ,144,3853,2805,9449,12254,79,363,5010,municipality,2020
249,3402502110,"Atlantic Highlands borough, Monmouth County, New Jersey",34025,ONJ,73,41,256,3381,3637,5,95,3167,municipality,2020
250,3402502440,"Avon-by-the-Sea borough, Monmouth County, New Jersey",34025,ONJ,19,22,104,1586,1690,1,33,1511,municipality,2020
251,3402504930,"Belmar borough, Monmouth County, New Jersey",34025,ONJ,61,80,637,4468,5105,32,89,4206,municipality,2020
252,3402506970,"Bradley Beach borough, Monmouth County, New Jersey",34025,ONJ,45,72,609,3122,3731,14,85,2906,municipality,2020
253,3402507750,"Brielle borough, Monmouth County, New Jersey",34025,ONJ,30,63,151,3843,3994,20,83,3647,municipality,2020
254,3402514560,"Colts Neck township, Monmouth County, New Jersey",34025,ONJ,403,63,379,7272,7651,37,123,6646,municipality,2020
255,3402516660,"Deal borough, Monmouth County, New Jersey",34025,ONJ,5,6,88,635,723,12,17,595,municipality,2020
256,3402519840,"Eatontown borough, Monmouth County, New Jersey",34025,ONJ,1053,1310,1453,9706,11159,174,607,6562,municipality,2020
257,3402521570,"Englishtown borough, Monmouth County, New Jersey",34025,ONJ,154,57,237,1572,1809,5,37,1319,municipality,2020
258,3402522440,"Fair Haven borough, Monmouth County, New Jersey",34025,ONJ,76,65,136,4167,4303,13,93,3920,municipality,2020
259,3402522950,"Farmingdale borough, Monmouth County, New Jersey",34025,ONJ,38,52,106,1095,1201,1,50,954,municipality,2020
260,3402525200,"Freehold borough, Monmouth County, New Jersey",34025,ONJ,290,908,4487,4993,9480,65,188,3542,municipality,2020
261,3402525230,"Freehold township, Monmouth County, New Jersey",34025,ONJ,2091,1295,2502,25648,28150,140,619,21503,municipality,2020
262,3402530690,"Hazlet township, Monmouth County, New Jersey",34025,ONJ,590,257,1611,14634,16245,75,344,13368,municipality,2020
263,3402531500,"Highlands borough, Monmouth County, New Jersey",34025,ONJ,49,63,263,3813,4076,29,121,3551,municipality,2020
264,3402532640,"Holmdel township, Monmouth County, New Jersey",34025,ONJ,2818,138,628,12746,13374,56,288,9446,municipality,2020
265,3402533300,"Howell township, Monmouth County, New Jersey",34025,ONJ,2075,1544,4236,37644,41880,227,1046,32752,municipality,2020
266,3402534200,"Interlaken borough, Monmouth County, New Jersey",34025,ONJ,4,0,14,693,707,7,16,666,municipality,2020
267,3402536480,"Keansburg borough, Monmouth County, New Jersey",34025,ONJ,206,623,1263,6280,7543,34,262,5155,municipality,2020
268,3402536810,"Keyport borough, Monmouth County, New Jersey",34025,ONJ,205,315,1108,4819,5927,17,155,4127,municipality,2020
269,3402537560,"Lake Como borough, Monmouth County, New Jersey",34025,ONJ,28,58,234,1195,1429,8,31,1070,municipality,2020
270,3402540770,"Little Silver borough, Monmouth County, New Jersey",34025,ONJ,114,23,163,4425,4588,11,96,4181,municipality,2020
271,3402541010,"Loch Arbour village, Monmouth County, New Jersey",34025,ONJ,5,0,5,185,190,1,2,177,municipality,2020
272,3402541310,"Long Branch city, Monmouth County, New Jersey",34025,ONJ,526,2529,7096,17613,24709,1195,2139,11224,municipality,2020
273,3402542990,"Manalapan township, Monmouth County, New Jersey",34025,ONJ,2714,715,2137,29972,32109,133,598,25812,municipality,2020
274,3402543050,"Manasquan borough, Monmouth County, New Jersey",34025,ONJ,43,5,287,4578,4865,5,76,4449,municipality,2020
275,3402544070,"Marlboro township, Monmouth County, New Jersey",34025,ONJ,6772,577,1576,30428,32004,112,512,22455,municipality,2020
276,3402544520,"Matawan borough, Monmouth County, New Jersey",34025,ONJ,473,560,956,6641,7597,66,224,5318,municipality,2020
277,3402545990,"Middletown township, Monmouth County, New Jersey",34025,ONJ,1548,650,3424,49293,52717,221,1075,45799,municipality,2020
278,3402546560,"Millstone township, Monmouth County, New Jersey",34025,ONJ,503,330,565,7558,8123,44,208,6473,municipality,2020
279,3402547130,"Monmouth Beach borough, Monmouth County, New Jersey",34025,ONJ,36,6,95,2594,2689,25,43,2484,municipality,2020
280,3402549890,"Neptune township, Monmouth County, New Jersey",34025,ONJ,633,7548,2789,20384,23173,138,764,11301,municipality,2020
281,3402549920,"Neptune City borough, Monmouth County, New Jersey",34025,ONJ,72,482,455,3488,3943,17,150,2767,municipality,2020
282,3402554270,"Ocean township, Monmouth County, New Jersey",34025,ONJ,1350,1999,2158,20092,22250,234,634,15875,municipality,2020
283,3402554570,"Oceanport borough, Monmouth County, New Jersey",34025,ONJ,59,63,463,4464,4927,37,116,4189,municipality,2020
284,3402562430,"Red Bank borough, Monmouth County, New Jersey",34025,ONJ,215,785,3127,7083,10210,43,237,5803,municipality,2020
285,3402564410,"Roosevelt borough, Monmouth County, New Jersey",34025,ONJ,12,20,68,609,677,7,24,546,municipality,2020
286,3402565130,"Rumson borough, Monmouth County, New Jersey",34025,ONJ,69,16,184,5000,5184,24,111,4780,municipality,2020
287,3402566240,"Sea Bright borough, Monmouth County, New Jersey",34025,ONJ,34,13,61,1265,1326,3,34,1181,municipality,2020
288,3402566330,"Sea Girt borough, Monmouth County, New Jersey",34025,ONJ,1,5,45,1578,1623,7,15,1550,municipality,2020
289,3402567350,"Shrewsbury borough, Monmouth County, New Jersey",34025,ONJ,78,43,95,3112,3207,21,67,2903,municipality,2020
290,3402567365,"Shrewsbury township, Monmouth County, New Jersey",34025,ONJ,80,127,146,747,893,5,38,497,municipality,2020
291,3402570110,"Spring Lake borough, Monmouth County, New Jersey",34025,ONJ,30,11,61,2338,2399,9,30,2258,municipality,2020
292,3402570140,"Spring Lake Heights borough, Monmouth County, New Jersey",34025,ONJ,40,15,170,4000,4170,13,66,3866,municipality,2020
293,3402573020,"Tinton Falls borough, Monmouth County, New Jersey",34025,ONJ,859,1350,1213,14798,16011,87,384,12118,municipality,2020
294,3402574540,"Union Beach borough, Monmouth County, New Jersey",34025,ONJ,106,83,506,4059,4565,32,126,3712,municipality,2020
295,3402574900,"Upper Freehold township, Monmouth County, New Jersey",34025,ONJ,330,118,300,5286,5586,26,127,4685,municipality,2020
296,3402576460,"Wall township, Monmouth County, New Jersey",34025,ONJ,365,309,1056,20439,21495,75,431,19259,municipality,2020
297,3402579310,"West Long Branch borough, Monmouth County, New Jersey",34025,ONJ,125,250,598,6407,7005,106,307,5619,municipality,2020
298,3402706610,"Boonton town, Morris County, New Jersey",34027,INJ,728,314,983,6062,7045,36,221,4763,municipality,2020
299,3402706640,"Boonton township, Morris County, New Jersey",34027,INJ,222,41,194,3272,3466,5,79,2925,municipality,2020
300,3402709040,"Butler borough, Morris County, New Jersey",34027,INJ,220,87,979,5531,6510,10,126,5088,municipality,2020
301,3402712100,"Chatham borough, Morris County, New Jersey",34027,INJ,589,68,458,6055,6513,43,170,5185,municipality,2020
302,3402712130,"Chatham township, Morris County, New Jersey",34027,INJ,943,63,325,7653,7978,42,135,6470,municipality,2020
303,3402712580,"Chester borough, Morris County, New Jersey",34027,INJ,44,1,188,1114,1302,0,36,1033,municipality,2020
304,3402712610,"Chester township, Morris County, New Jersey",34027,INJ,290,67,350,5524,5874,16,161,4990,municipality,2020
305,3402717650,"Denville township, Morris County, New Jersey",34027,INJ,1055,238,847,12702,13549,52,352,11005,municipality,2020
306,3402718070,"Dover town, Morris County, New Jersey",34027,INJ,345,655,10976,3568,14544,43,133,2392,municipality,2020
307,3402719210,"East Hanover township, Morris County, New Jersey",34027,INJ,1187,119,601,8501,9102,24,106,7065,municipality,2020
308,3402723910,"Florham Park borough, Morris County, New Jersey",34027,INJ,846,586,727,9638,10365,47,238,7921,municipality,2020
309,3402729550,"Hanover township, Morris County, New Jersey",34027,INJ,1571,244,742,11153,11895,40,249,9049,municipality,2020
310,3402729700,"Harding township, Morris County, New Jersey",34027,INJ,142,28,126,2980,3106,10,84,2716,municipality,2020
311,3402734980,"Jefferson township, Morris County, New Jersey",34027,INJ,657,277,1395,15158,16553,114,381,13729,municipality,2020
312,3402737110,"Kinnelon borough, Morris County, New Jersey",34027,INJ,464,64,458,7264,7722,39,167,6530,municipality,2020
313,3402740290,"Lincoln Park borough, Morris County, New Jersey",34027,INJ,614,304,1040,7973,9013,61,181,6813,municipality,2020
314,3402741362,"Long Hill township, Morris County, New Jersey",34027,INJ,554,58,622,6124,6746,52,151,5309,municipality,2020
315,3402742510,"Madison borough, Morris County, New Jersey",34027,INJ,995,405,1510,11536,13046,61,309,9766,municipality,2020
316,3402745330,"Mendham borough, Morris County, New Jersey",34027,INJ,126,23,197,3661,3858,16,70,3426,municipality,2020
317,3402745360,"Mendham township, Morris County, New Jersey",34027,INJ,264,60,203,4266,4469,31,133,3778,municipality,2020
318,3402746860,"Mine Hill township, Morris County, New Jersey",34027,INJ,177,155,963,2330,3293,21,84,1893,municipality,2020
319,3402747670,"Montville township, Morris County, New Jersey",34027,INJ,3636,248,1060,16513,17573,76,327,12226,municipality,2020
320,3402748090,"Morris township, Morris County, New Jersey",34027,INJ,1155,856,1725,16632,18357,89,431,14101,municipality,2020
321,3402748210,"Morris Plains borough, Morris County, New Jersey",34027,INJ,375,172,425,4450,4875,8,103,3792,municipality,2020
322,3402748300,"Morristown town, Morris County, New Jersey",34027,INJ,878,1632,5383,11287,16670,123,368,8286,municipality,2020
323,3402748480,"Mountain Lakes borough, Morris County, New Jersey",34027,INJ,478,11,133,3008,3141,11,86,2422,municipality,2020
324,3402748690,"Mount Arlington borough, Morris County, New Jersey",34027,INJ,273,157,505,4545,5050,23,119,3973,municipality,2020
325,3402749080,"Mount Olive township, Morris County, New Jersey",34027,INJ,2247,1371,3100,19374,22474,115,614,15027,municipality,2020
326,3402750130,"Netcong borough, Morris County, New Jersey",34027,INJ,98,114,576,2160,2736,23,62,1863,municipality,2020
327,3402756460,"Parsippany-Troy Hills township, Morris County, New Jersey",34027,INJ,16700,1581,4146,41138,45284,274,969,21614,municipality,2020
328,3402758110,"Pequannock township, Morris County, New Jersey",34027,INJ,328,81,817,11878,12695,27,210,11232,municipality,2020
329,3402761890,"Randolph township, Morris County, New Jersey",34027,INJ,2404,586,2720,17527,20247,93,508,13936,municipality,2020
330,3402763300,"Riverdale borough, Morris County, New Jersey",34027,INJ,183,61,302,3179,3481,10,62,2863,municipality,2020
331,3402764050,"Rockaway borough, Morris County, New Jersey",34027,INJ,455,144,991,4335,5326,30,104,3602,municipality,2020
332,3402764080,"Rockaway township, Morris County, New Jersey",34027,INJ,1560,588,2853,17488,20341,83,446,14811,municipality,2020
333,3402764980,"Roxbury township, Morris County, New Jersey",34027,INJ,1063,496,2316,15952,18268,78,402,13913,municipality,2020
334,3402775890,"Victory Gardens borough, Morris County, New Jersey",34027,INJ,32,129,854,335,1189,6,14,154,municipality,2020
335,3402777240,"Washington township, Morris County, New Jersey",34027,INJ,586,228,896,13237,14133,63,301,12059,municipality,2020
336,3402780390,"Wharton borough, Morris County, New Jersey",34027,INJ,335,176,2719,3085,5804,39,129,2406,municipality,2020
337,3402900000,"County subdivisions not defined, Ocean County, New Jersey",34029,ONJ,0,0,0,0,0,0,0,0,municipality,2020
338,3402903050,"Barnegat township, Ocean County, New Jersey",34029,ONJ,380,687,1637,18161,19798,67,523,16504,municipality,2020
339,3402903130,"Barnegat Light borough, Ocean County, New Jersey",34029,ONJ,1,0,21,575,596,2,9,563,municipality,2020
340,3402903520,"Bay Head borough, Ocean County, New Jersey",34029,ONJ,10,4,23,780,803,0,11,755,municipality,2020
341,3402903940,"Beach Haven borough, Ocean County, New Jersey",34029,ONJ,0,2,72,855,927,1,9,843,municipality,2020
342,3402904180,"Beachwood borough, Ocean County, New Jersey",34029,ONJ,132,176,812,7508,8320,35,204,6961,municipality,2020
343,3402905305,"Berkeley township, Ocean County, New Jersey",34029,ONJ,547,828,2608,35609,38217,113,721,33400,municipality,2020
344,3402907420,"Brick township, Ocean County, New Jersey",34029,ONJ,1094,1494,5604,55342,60946,236,1513,51005,municipality,2020
345,3402918670,"Eagleswood township, Ocean County, New Jersey",34029,ONJ,10,2,81,1303,1384,9,32,1250,municipality,2020
346,3402930390,"Harvey Cedars borough, Ocean County, New Jersey",34029,ONJ,2,0,6,345,351,0,2,341,municipality,2020
347,3402934530,"Island Heights borough, Ocean County, New Jersey",34029,ONJ,14,8,36,1337,1373,13,36,1266,municipality,2020
348,3402934680,"Jackson township, Ocean County, New Jersey",34029,ONJ,1286,2204,5061,39591,44652,255,1190,34656,municipality,2020
349,3402937380,"Lacey township, Ocean County, New Jersey",34029,ONJ,266,160,1315,21811,23126,99,563,20723,municipality,2020
350,3402937770,"Lakehurst borough, Ocean County, New Jersey",34029,ONJ,63,166,347,1697,2044,8,70,1390,municipality,2020
351,3402938550,"Lakewood township, Ocean County, New Jersey",34029,ONJ,612,2756,9992,60401,70393,1006,1006,55021,municipality,2020
352,3402939390,"Lavallette borough, Ocean County, New Jersey",34029,ONJ,6,6,55,1587,1642,4,37,1534,municipality,2020
353,3402940560,"Little Egg Harbor township, Ocean County, New Jersey",34029,ONJ,187,258,1038,16237,17275,72,467,15253,municipality,2020
354,3402941250,"Long Beach township, Ocean County, New Jersey",34029,ONJ,28,2,82,2826,2908,8,43,2745,municipality,2020
355,3402943140,"Manchester township, Ocean County, New Jersey",34029,ONJ,883,1540,2623,38487,41110,144,854,35066,municipality,2020
356,3402943380,"Mantoloking borough, Ocean County, New Jersey",34029,ONJ,3,0,12,284,296,2,3,276,municipality,2020
357,3402954300,"Ocean township, Ocean County, New Jersey",34029,ONJ,58,60,285,7374,7659,23,158,7075,municipality,2020
358,3402954450,"Ocean Gate borough, Ocean County, New Jersey",34029,ONJ,5,34,108,1505,1613,2,76,1388,municipality,2020
359,3402958590,"Pine Beach borough, Ocean County, New Jersey",34029,ONJ,29,10,68,1665,1733,8,55,1563,municipality,2020
360,3402959790,"Plumsted township, Ocean County, New Jersey",34029,ONJ,53,86,472,6040,6512,33,244,5624,municipality,2020
361,3402959880,"Point Pleasant borough, Ocean County, New Jersey",34029,ONJ,119,37,876,14177,15053,63,244,13714,municipality,2020
362,3402959910,"Point Pleasant Beach borough, Ocean County, New Jersey",34029,ONJ,40,28,355,3688,4043,12,83,3525,municipality,2020
363,3402966450,"Seaside Heights borough, Ocean County, New Jersey",34029,ONJ,32,88,372,1599,1971,14,80,1385,municipality,2020
364,3402966480,"Seaside Park borough, Ocean County, New Jersey",34029,ONJ,8,4,43,1285,1328,6,26,1241,municipality,2020
365,3402967110,"Ship Bottom borough, Ocean County, New Jersey",34029,ONJ,9,1,43,939,982,2,11,916,municipality,2020
366,3402969510,"South Toms River borough, Ocean County, New Jersey",34029,ONJ,57,395,652,2000,2652,13,112,1423,municipality,2020
367,3402970320,"Stafford township, Ocean County, New Jersey",34029,ONJ,348,236,1638,21248,22886,41,513,20110,municipality,2020
368,3402971640,"Surf City borough, Ocean County, New Jersey",34029,ONJ,8,1,20,1101,1121,0,8,1084,municipality,2020
369,3402973125,"Toms River township, Ocean County, New Jersey",34029,ONJ,3036,2312,7845,68068,75913,358,1729,60633,municipality,2020
370,3402974210,"Tuckerton borough, Ocean County, New Jersey",34029,ONJ,37,34,204,2769,2973,15,78,2605,municipality,2020
371,3403106340,"Bloomingdale borough, Passaic County, New Jersey",34031,INJ,230,82,847,5610,6457,47,159,5092,municipality,2020
372,3403113690,"Clifton city, Passaic County, New Jersey",34031,INJ,7111,3178,27087,44468,71555,445,1255,32479,municipality,2020
373,3403129070,"Haledon borough, Passaic County, New Jersey",34031,INJ,470,794,3293,3680,6973,55,134,2227,municipality,2020
374,3403130570,"Hawthorne borough, Passaic County, New Jersey",34031,INJ,469,462,3313,12475,15788,84,294,11166,municipality,2020
375,3403140620,"Little Falls township, Passaic County, New Jersey",34031,INJ,615,809,1760,9594,11354,44,237,7889,municipality,2020
376,3403153040,"North Haledon borough, Passaic County, New Jersey",34031,INJ,290,247,845,6602,7447,14,137,5914,municipality,2020
377,3403156550,"Passaic city, Passaic County, New Jersey",34031,INJ,2209,3238,36039,13226,49265,417,499,6863,municipality,2020
378,3403157000,"Paterson city, Passaic County, New Jersey",34031,INJ,5622,28246,72337,45948,118285,787,1560,9733,municipality,2020
379,3403160090,"Pompton Lakes borough, Passaic County, New Jersey",34031,INJ,480,136,1487,7390,8877,40,195,6539,municipality,2020
380,3403161170,"Prospect Park borough, Passaic County, New Jersey",34031,INJ,220,734,2725,1965,4690,20,56,935,municipality,2020
381,3403163150,"Ringwood borough, Passaic County, New Jersey",34031,INJ,158,127,754,8602,9356,131,274,7912,municipality,2020
382,3403173140,"Totowa borough, Passaic County, New Jersey",34031,INJ,664,187,1802,7214,9016,35,152,6176,municipality,2020
383,3403176730,"Wanaque borough, Passaic County, New Jersey",34031,INJ,455,236,1180,8219,9399,64,221,7243,municipality,2020
384,3403177840,"Wayne township, Passaic County, New Jersey",34031,INJ,4038,1450,4637,39404,44041,160,810,32946,municipality,2020
385,3403179460,"West Milford township, Passaic County, New Jersey",34031,INJ,320,246,1524,18830,20354,159,565,17540,municipality,2020
386,3403182423,"Woodland Park borough, Passaic County, New Jersey",34031,INJ,563,443,2738,8221,10959,43,210,6962,municipality,2020
387,3403504450,"Bedminster township, Somerset County, New Jersey",34035,INJ,725,129,591,6475,7066,29,152,5440,municipality,2020
388,3403505560,"Bernards township, Somerset County, New Jersey",34035,INJ,4697,362,1095,20053,21148,74,492,14428,municipality,2020
389,3403505590,"Bernardsville borough, Somerset County, New Jersey",34035,INJ,261,43,874,5012,5886,14,113,4581,municipality,2020
390,3403506790,"Bound Brook borough, Somerset County, New Jersey",34035,INJ,408,732,4665,4620,9285,113,170,3197,municipality,2020
391,3403507180,"Branchburg township, Somerset County, New Jersey",34035,INJ,1260,345,764,11184,11948,52,290,9237,municipality,2020
392,3403507720,"Bridgewater township, Somerset County, New Jersey",34035,INJ,8108,996,3191,32735,35926,173,714,22744,municipality,2020
393,3403522890,"Far Hills borough, Somerset County, New Jersey",34035,INJ,37,8,85,683,768,2,11,625,municipality,2020
394,3403524900,"Franklin township, Somerset County, New Jersey",34035,INJ,12828,13000,8507,46958,55465,429,1396,19305,municipality,2020
395,3403527510,"Green Brook township, Somerset County, New Jersey",34035,INJ,1331,223,566,5150,5716,28,116,3452,municipality,2020
396,3403531890,"Hillsborough township, Somerset County, New Jersey",34035,INJ,6951,1611,2716,30640,33356,154,781,21143,municipality,2020
397,3403543620,"Manville borough, Somerset County, New Jersey",34035,INJ,280,342,2547,6158,8705,49,195,5292,municipality,2020
398,3403546590,"Millstone borough, Somerset County, New Jersey",34035,INJ,7,7,18,316,334,1,6,295,municipality,2020
399,3403547580,"Montgomery township, Somerset County, New Jersey",34035,INJ,6466,550,843,16799,17642,64,419,9300,municipality,2020
