,id,name,stco,subreg,P_AsianO18,P_BlackO18,P_HispO18,P_NonHispO18,P_O18,P_OtherO18,P_TwoO18,P_WhiteO18,geotype,yr
2,900108980,"Brookfield town, Fairfield County, Connecticut",9001,CT,706,227,936,12888,13824,143,533,11279,municipality,2020
3,900118500,"Danbury town, Fairfield County, Connecticut",9001,CT,4308,4452,20168,48080,68248,2231,4209,32880,municipality,2020
4,900118850,"Darien town, Fairfield County, Connecticut",9001,CT,821,112,797,13871,14668,67,365,12506,municipality,2020
5,900123890,"Easton town, Fairfield County, Connecticut",9001,CT,251,80,289,5501,5790,34,147,4989,municipality,2020
6,900126620,"Fairfield town, Fairfield County, Connecticut",9001,CT,2154,860,3406,44297,47703,313,1195,39775,municipality,2020
7,900133620,"Greenwich town, Fairfield County, Connecticut",9001,CT,3576,906,5654,42285,47939,479,1587,35737,municipality,2020
8,900148620,"Monroe town, Fairfield County, Connecticut",9001,CT,477,293,975,13574,14549,81,349,12374,municipality,2020
9,900150580,"New Canaan town, Fairfield County, Connecticut",9001,CT,809,160,685,13889,14574,59,343,12518,municipality,2020
10,900150860,"New Fairfield town, Fairfield County, Connecticut",9001,CT,207,111,765,9964,10729,83,249,9314,municipality,2020
11,900152980,"Newtown town, Fairfield County, Connecticut",9001,CT,583,498,1184,20111,21295,114,556,18360,municipality,2020
12,900156060,"Norwalk town, Fairfield County, Connecticut",9001,CT,3900,8760,19680,53002,72682,499,1680,38163,municipality,2020
13,900163480,"Redding town, Fairfield County, Connecticut",9001,CT,191,55,287,6631,6918,47,172,6166,municipality,2020
14,900163970,"Ridgefield town, Fairfield County, Connecticut",9001,CT,890,181,932,17727,18659,123,452,16081,municipality,2020
15,900168170,"Shelton town, Fairfield County, Connecticut",9001,CT,1429,1335,2799,30940,33739,240,760,27176,municipality,2020
16,900168310,"Sherman town, Fairfield County, Connecticut",9001,CT,32,24,102,2823,2925,6,87,2674,municipality,2020
17,900173070,"Stamford town, Fairfield County, Connecticut",9001,CT,9252,12819,27527,81188,108715,797,2447,55873,municipality,2020
18,900174190,"Stratford town, Fairfield County, Connecticut",9001,CT,1059,6895,7644,34332,41976,362,1245,24771,municipality,2020
19,900177200,"Trumbull town, Fairfield County, Connecticut",9001,CT,1728,1148,2237,25530,27767,204,681,21769,municipality,2020
20,900183430,"Weston town, Fairfield County, Connecticut",9001,CT,409,105,375,7095,7470,44,237,6300,municipality,2020
21,900183500,"Westport town, Fairfield County, Connecticut",9001,CT,1245,267,1009,18934,19943,93,529,16800,municipality,2020
22,900186370,"Wilton town, Fairfield County, Connecticut",9001,CT,1086,151,579,12861,13440,64,383,11177,municipality,2020
23,900502760,"Barkhamsted town, Litchfield County, Connecticut",9005,CT,22,7,56,2908,2964,11,91,2777,municipality,2020
24,900504930,"Bethlehem town, Litchfield County, Connecticut",9005,CT,20,24,63,2791,2854,15,72,2660,municipality,2020
25,900508210,"Bridgewater town, Litchfield County, Connecticut",9005,CT,8,14,37,1418,1455,9,54,1333,municipality,2020
26,900510940,"Canaan town, Litchfield County, Connecticut",9005,CT,1,15,33,865,898,7,12,830,municipality,2020
27,900516050,"Colebrook town, Litchfield County, Connecticut",9005,CT,2,3,22,1138,1160,8,43,1082,municipality,2020
28,900517240,"Cornwall town, Litchfield County, Connecticut",9005,CT,17,0,40,1315,1355,6,38,1254,municipality,2020
29,900532290,"Goshen town, Litchfield County, Connecticut",9005,CT,28,16,88,2519,2607,4,67,2404,municipality,2020
30,900537280,"Harwinton town, Litchfield County, Connecticut",9005,CT,31,25,114,4257,4371,11,111,4079,municipality,2020
31,900540290,"Kent town, Litchfield County, Connecticut",9005,CT,65,26,110,2428,2538,23,88,2226,municipality,2020
32,900543370,"Litchfield town, Litchfield County, Connecticut",9005,CT,93,34,186,6673,6859,23,184,6339,municipality,2020
33,900549460,"Morris town, Litchfield County, Connecticut",9005,CT,10,8,39,1835,1874,6,49,1762,municipality,2020
34,900551350,"New Hartford town, Litchfield County, Connecticut",9005,CT,60,18,112,5301,5413,33,156,5034,municipality,2020
35,900552630,"New Milford town, Litchfield County, Connecticut",9005,CT,761,484,2238,20142,22380,223,1014,17660,municipality,2020
36,900553470,"Norfolk town, Litchfield County, Connecticut",9005,CT,18,8,27,1302,1329,4,32,1240,municipality,2020
37,900554030,"North Canaan town, Litchfield County, Connecticut",9005,CT,13,26,192,2462,2654,11,98,2314,municipality,2020
38,900560750,"Plymouth town, Litchfield County, Connecticut",9005,CT,101,113,454,9165,9619,33,392,8526,municipality,2020
39,900565930,"Roxbury town, Litchfield County, Connecticut",9005,CT,29,9,48,1882,1930,9,64,1771,municipality,2020
40,900566420,"Salisbury town, Litchfield County, Connecticut",9005,CT,51,53,138,3293,3431,34,104,3051,municipality,2020
41,900567960,"Sharon town, Litchfield County, Connecticut",9005,CT,34,34,79,2259,2338,24,63,2104,municipality,2020
42,900575730,"Thomaston town, Litchfield County, Connecticut",9005,CT,61,52,209,5874,6083,35,194,5532,municipality,2020
43,900576570,"Torrington town, Litchfield County, Connecticut",9005,CT,707,834,3489,25477,28966,173,1059,22704,municipality,2020
44,900579510,"Warren town, Litchfield County, Connecticut",9005,CT,8,0,28,1078,1106,9,40,1021,municipality,2020
45,900579720,"Washington town, Litchfield County, Connecticut",9005,CT,41,22,144,2889,3033,19,73,2734,municipality,2020
46,900580490,"Watertown town, Litchfield County, Connecticut",9005,CT,331,319,896,17059,17955,105,395,15909,municipality,2020
47,900586440,"Winchester town, Litchfield County, Connecticut",9005,CT,90,101,463,8090,8553,52,300,7547,municipality,2020
48,900587910,"Woodbury town, Litchfield County, Connecticut",9005,CT,117,97,330,7824,8154,62,220,7328,municipality,2020
49,900900000,"County subdivisions not defined, New Haven County, Connecticut",9009,CT,0,0,0,0,0,0,0,0,municipality,2020
50,900901220,"Ansonia town, New Haven County, Connecticut",9009,CT,294,1773,2982,11962,14944,102,477,9316,municipality,2020
51,900903250,"Beacon Falls town, New Haven County, Connecticut",9009,CT,68,93,275,4609,4884,37,129,4282,municipality,2020
52,900904580,"Bethany town, New Haven County, Connecticut",9009,CT,188,80,130,4125,4255,21,109,3727,municipality,2020
53,900907310,"Branford town, New Haven County, Connecticut",9009,CT,1057,535,1311,22904,24215,125,555,20632,municipality,2020
54,900914160,"Cheshire town, New Haven County, Connecticut",9009,CT,1303,1053,1266,21477,22743,98,501,18522,municipality,2020
55,900919550,"Derby town, New Haven County, Connecticut",9009,CT,273,957,1771,8215,9986,65,224,6696,municipality,2020
56,900922910,"East Haven town, New Haven County, Connecticut",9009,CT,864,995,3487,19806,23293,118,509,17320,municipality,2020
57,900934950,"Guilford town, New Haven County, Connecticut",9009,CT,591,162,715,16902,17617,51,464,15634,municipality,2020
58,900935650,"Hamden town, New Haven County, Connecticut",9009,CT,2730,11648,5608,45050,50658,417,1348,28907,municipality,2020
59,900944560,"Madison town, New Haven County, Connecticut",9009,CT,441,106,418,13752,14170,65,305,12835,municipality,2020
60,900946520,"Meriden town, New Haven County, Connecticut",9009,CT,1018,4299,15192,32349,47541,263,1341,25428,municipality,2020
61,900946940,"Middlebury town, New Haven County, Connecticut",9009,CT,274,57,209,5717,5926,18,114,5254,municipality,2020
62,900947535,"Milford town, New Haven County, Connecticut",9009,CT,2175,1210,2895,40649,43544,279,1214,35771,municipality,2020
63,900949950,"Naugatuck town, New Haven County, Connecticut",9009,CT,548,1633,3135,21737,24872,420,1133,18003,municipality,2020
64,900952070,"New Haven town, New Haven County, Connecticut",9009,CT,7869,30963,28498,76512,105010,992,3334,33354,municipality,2020
