stco,ct_id,ct_name,name,id_sub
36081,36081134701,1347.01,QN Northeast,36081NE
36081,36081134100,1341,QN Northeast,36081NE
36081,36081133900,1339,QN Northeast,36081NE
36081,36081133300,1333,QN Northeast,36081NE
36081,36081129104,1291.04,QN Northeast,36081NE
36081,36081129103,1291.03,QN Northeast,36081NE
36081,36081129102,1291.02,QN Northeast,36081NE
36081,36081128300,1283,QN Northeast,36081NE
36081,36081127700,1277,QN Northeast,36081NE
36081,36081126700,1267,QN Northeast,36081NE
36081,36081126500,1265,QN Northeast,36081NE
36081,36081125700,1257,QN Northeast,36081NE
36081,36081124700,1247,QN Northeast,36081NE
36081,36081124100,1241,QN Northeast,36081NE
36081,36081122704,1227.04,QN Northeast,36081NE
36081,36081156700,1567,QN Southeast,36081SE
36081,36081025402,254.02,QN Southeast,36081SE
36081,36081062400,624,QN Southeast,36081SE
36081,36081155104,1551.04,QN Southeast,36081SE
36081,36081025401,254.01,QN Southeast,36081SE
36081,36081155103,1551.03,QN Southeast,36081SE
36081,36081062200,622,QN Southeast,36081SE
36081,36081155101,1551.01,QN Southeast,36081SE
36081,36081062000,620,QN Southeast,36081SE
36081,36081061800,618,QN Southeast,36081SE
36081,36081061602,616.02,QN Southeast,36081SE
36081,36081061601,616.01,QN Southeast,36081SE
36081,36081052200,522,QN Southeast,36081SE
36081,36081061400,614,QN Southeast,36081SE
36081,36081052000,520,QN Southeast,36081SE
36081,36081051800,518,QN Southeast,36081SE
36081,36081051600,516,QN Southeast,36081SE
36081,36081051200,512,QN Southeast,36081SE
36081,36081051000,510,QN Southeast,36081SE
36081,36081050800,508,QN Southeast,36081SE
36081,36081107202,1072.02,QN Southeast,36081SE
36081,36081050600,506,QN Southeast,36081SE
36081,36081107201,1072.01,QN Southeast,36081SE
36081,36081050400,504,QN Southeast,36081SE
36081,36081050202,502.02,QN Southeast,36081SE
36081,36081050201,502.01,QN Southeast,36081SE
36081,36081050000,500,QN Southeast,36081SE
36081,36081103202,1032.02,QN Southeast,36081SE
36081,36081103201,1032.01,QN Southeast,36081SE
36081,36081049600,496,QN Southeast,36081SE
36081,36081101004,1010.04,QN Southeast,36081SE
36081,36081101003,1010.03,QN Southeast,36081SE
36081,36081101002,1010.02,QN Southeast,36081SE
36081,36081100804,1008.04,QN Southeast,36081SE
36081,36081100803,1008.03,QN Southeast,36081SE
36081,36081100801,1008.01,QN Southeast,36081SE
36081,36081048400,484,QN Southeast,36081SE
36081,36081099802,998.02,QN Southeast,36081SE
36081,36081099801,998.01,QN Southeast,36081SE
36081,36081018800,188,QN Southeast,36081SE
36081,36081056200,562,QN Southeast,36081SE
36081,36081018600,186,QN Southeast,36081SE
36081,36081056000,560,QN Southeast,36081SE
36081,36081099200,992,QN Southeast,36081SE
36081,36081055800,558,QN Southeast,36081SE
36081,36081018402,184.02,QN Southeast,36081SE
36081,36081018401,184.01,QN Southeast,36081SE
36081,36081055600,556,QN Southeast,36081SE
36081,36081018200,182,QN Southeast,36081SE
36081,36081055400,554,QN Southeast,36081SE
36081,36081055200,552,QN Southeast,36081SE
36081,36081054800,548,QN Southeast,36081SE
36081,36081054200,542,QN Southeast,36081SE
36081,36081054000,540,QN Southeast,36081SE
36081,36081053800,538,QN Southeast,36081SE
36081,36081053601,536.01,QN Southeast,36081SE
36081,36081053401,534.01,QN Southeast,36081SE
36081,36081053200,532,QN Southeast,36081SE
36081,36081053000,530,QN Southeast,36081SE
36081,36081052800,528,QN Southeast,36081SE
36081,36081052600,526,QN Southeast,36081SE
36081,36081052400,524,QN Southeast,36081SE
36081,36081044602,446.02,QN Southeast,36081SE
36081,36081044601,446.01,QN Southeast,36081SE
36081,36081044400,444,QN Southeast,36081SE
36081,36081044000,440,QN Southeast,36081SE
36081,36081043400,434,QN Southeast,36081SE
36081,36081043200,432,QN Southeast,36081SE
36081,36081042600,426,QN Southeast,36081SE
36081,36081042400,424,QN Southeast,36081SE
36081,36081041400,414,QN Southeast,36081SE
36081,36081040400,404,QN Southeast,36081SE
36081,36081040200,402,QN Southeast,36081SE
36081,36081040000,400,QN Southeast,36081SE
36081,36081048200,482,QN Southeast,36081SE
36081,36081048000,480,QN Southeast,36081SE
36081,36081079200,792,QN Southeast,36081SE
36081,36081079000,790,QN Southeast,36081SE
36081,36081078800,788,QN Southeast,36081SE
36081,36081097207,972.07,QN Southeast,36081SE
36081,36081097206,972.06,QN Southeast,36081SE
36081,36081097205,972.05,QN Southeast,36081SE
36081,36081047000,470,QN Southeast,36081SE
36081,36081097204,972.04,QN Southeast,36081SE
36081,36081097202,972.02,QN Southeast,36081SE
36081,36081096400,964,QN Southeast,36081SE
36081,36081046800,468,QN Southeast,36081SE
36081,36081095400,954,QN Southeast,36081SE
36081,36081094203,942.03,QN Southeast,36081SE
