,id,P_Asian,P_Black,P_Hisp,P_Other,P_White
350,9001205100,138,40,190,88,3544
352,9001205200,171,48,289,84,6462
354,9001205300,286,73,231,48,4760
356,9001210100,320,345,2716,428,2177
358,9001210200,238,436,3085,569,2250
360,9001210300,440,365,1462,267,2771
362,9001210400,928,582,1943,380,4586
364,9001210500,427,292,920,227,5167
366,9001210600,398,439,2018,477,2841
368,9001210701,292,359,2789,389,1641
369,9001210702,220,353,1734,342,1829
371,9001210800,405,398,630,132,4058
373,9001210900,329,250,465,135,4534
375,9001211000,337,216,554,144,2783
377,9001211100,43,364,539,60,369
379,9001211200,516,348,712,235,4235
381,9001211300,105,143,207,81,3099
383,9001211400,401,140,411,104,3969
385,9001220100,78,55,301,69,4690
387,9001220200,88,40,172,55,4538
389,9001220300,66,47,138,78,3466
391,9001230100,197,31,242,68,6523
393,9001230200,31,18,98,12,1782
395,9001230300,64,16,112,24,3225
397,9001230400,121,40,206,74,5210
399,9001230501,128,64,124,77,3936
400,9001230502,104,264,251,61,4457
402,9001240100,103,32,126,104,4234
404,9001240200,92,28,111,62,4266
406,9001245100,73,17,108,39,2633
408,9001245200,161,23,163,50,4000
410,9001245300,216,57,229,76,4396
412,9001245400,113,26,99,37,3036
414,9001245500,62,19,96,52,2870
416,9001245600,155,32,246,85,5469
418,9001257100,33,12,76,45,3415
419,9001257200,64,1269,1485,175,729
420,9001990000,0,0,0,0,0
422,9005250100,15,13,26,12,1661
424,9005253100,95,105,244,72,2995
426,9005253200,191,126,462,136,6514
428,9005253300,116,45,179,43,1832
430,9005253400,175,71,288,148,5626
432,9005253500,102,33,255,63,5661
434,9005253600,93,72,265,54,2081
436,9005260200,8,39,195,30,3043
438,9005261100,41,52,107,62,3479
440,9005262100,20,44,56,30,2632
443,9005263200,9,2,34,18,1357
445,9005265100,20,8,31,8,1394
447,9005266100,49,34,94,63,2739
449,9005267100,26,20,142,45,3345
451,9005268100,18,13,48,33,2150
453,9005290100,23,10,57,47,3662
455,9005293100,9,4,17,15,1440
457,9005296100,36,9,67,22,2842
459,9005298300,24,3,41,26,2673
461,9005298400,24,9,39,23,2780
463,9005300100,9,20,71,56,2560
465,9005300400,35,9,42,30,1958
467,9005300500,32,20,60,57,3507
469,9005303100,18,11,50,29,2280
471,9005306100,79,18,124,63,6686
474,9005310100,119,103,512,120,3552
476,9005310200,57,102,524,91,2155
478,9005310300,28,67,419,56,1247
480,9005310400,57,57,75,29,2426
482,9005310500,52,20,54,22,1658
484,9005310601,166,78,147,57,3292
486,9005310602,79,48,135,69,4274
488,9005310700,63,44,204,60,3908
490,9005310801,47,70,222,61,2014
492,9005310803,75,109,394,103,4145
493,9005310804,34,78,507,71,2227
495,9005320100,71,87,435,128,5624
497,9005320200,31,49,148,63,4606
499,9005342100,18,16,61,35,3477
501,9005349100,45,18,130,51,4801
503,9005349200,13,9,72,38,2710
505,9005360100,61,55,151,55,5035
507,9005360200,150,78,229,94,7214
509,9005360300,87,77,245,57,2930
511,9005360400,78,82,213,95,5528
513,9005362101,64,23,135,52,3885
515,9005362102,103,32,110,90,5481
517,9005425300,36,28,95,44,3904
519,9005425400,34,34,167,68,4515
521,9005425500,28,32,108,75,3075
522,9005425600,14,20,49,37,2823
525,9009120100,188,319,591,95,5528
527,9009120200,135,572,1239,164,4071
529,9009125100,38,131,365,69,3900
531,9009125200,115,602,993,137,3965
533,9009125300,152,811,1252,182,3143
535,9009125400,60,496,602,81,2155
537,9009130101,77,127,280,62,4365
538,9009130102,67,129,219,61,2637
540,9009130200,215,139,565,83,7514
542,9009140100,341,465,276,64,1280
544,9009140200,0,391,845,27,255
546,9009140300,96,949,1373,64,255
548,9009140400,54,1054,1669,78,474
550,9009140500,4,1339,2109,31,204
552,9009140600,32,2150,2163,65,335
554,9009140700,200,1803,864,120,992
556,9009140800,34,2517,890,104,419
558,9009140900,78,2455,717,188,1038
560,9009141000,146,548,238,128,2669
562,9009141100,87,990,272,103,1325
564,9009141200,62,2522,683,183,976
566,9009141300,138,1928,827,208,2812
568,9009141400,39,3139,631,192,1022
570,9009141500,29,5820,606,246,172
572,9009141600,88,3517,753,153,658
