,id,P_Asian,P_Black,P_Hisp,P_Other,P_White
182,9001010101,223,63,313,153,3649
183,9001010102,317,49,276,210,3424
184,9001010201,184,17,366,208,2620
185,9001010202,509,65,628,395,4307
186,9001010300,258,38,269,209,3596
187,9001010400,394,86,782,340,4114
188,9001010500,547,372,1870,492,3289
189,9001010600,163,52,245,107,1317
190,9001010700,262,154,592,159,2406
191,9001010800,236,33,273,185,2408
192,9001010900,770,114,573,267,3555
193,9001011000,355,26,359,359,4378
194,9001011100,284,17,481,247,4020
195,9001011200,77,8,114,79,1425
196,9001011300,147,63,994,213,1369
197,9001020101,407,426,570,83,1376
198,9001020102,471,595,742,159,2021
199,9001020200,207,111,280,160,2996
200,9001020301,273,123,290,183,2960
201,9001020302,211,124,270,153,2621
202,9001020400,236,110,400,122,2743
203,9001020500,334,172,411,195,3701
204,9001020600,491,256,743,217,3135
205,9001020700,230,140,398,133,3269
206,9001020800,239,105,282,126,2121
207,9001020900,322,492,1275,235,2933
208,9001021000,230,206,712,129,2282
209,9001021100,499,547,1917,217,3234
210,9001021200,440,247,532,162,2938
211,9001021300,498,694,1459,180,1950
212,9001021401,117,579,2000,105,278
213,9001021402,201,1172,1379,161,1034
214,9001021501,192,1202,2143,110,308
215,9001021502,165,836,1556,71,193
216,9001021601,508,494,869,158,1530
217,9001021602,1402,497,730,153,1754
218,9001021701,438,580,1036,91,1123
219,9001021702,811,676,740,188,2317
220,9001021801,513,599,1538,196,1874
221,9001021802,307,987,2060,160,1642
222,9001021900,315,607,2611,243,2565
223,9001022000,189,524,1199,123,1023
224,9001022101,200,483,2472,74,357
225,9001022102,208,444,1788,110,1393
226,9001022201,184,376,1143,111,1246
227,9001022202,269,489,1438,158,2227
228,9001022300,278,1258,2741,238,1796
229,9001022400,68,50,234,78,1936
230,9001030100,173,17,205,112,3226
231,9001030200,154,18,169,144,2831
232,9001030300,146,14,218,196,3851
233,9001030400,371,41,307,189,3152
234,9001030500,353,58,335,263,4956
235,9001035101,298,140,368,157,2700
236,9001035102,187,28,161,188,3695
237,9001035200,119,7,128,137,2915
238,9001035300,246,33,166,205,3464
239,9001035400,309,36,298,242,4395
240,9001042500,174,119,317,147,2921
241,9001042600,233,260,639,140,2781
242,9001042700,514,487,1112,209,3263
243,9001042800,244,426,1018,154,2919
244,9001042900,43,35,145,70,1300
245,9001043000,117,240,560,137,2179
246,9001043100,311,343,767,226,2898
247,9001043200,118,537,1086,131,1209
248,9001043300,196,468,1243,95,1387
249,9001043400,259,898,2234,187,1402
250,9001043500,151,213,679,86,1584
251,9001043600,182,247,766,103,1889
252,9001043700,243,537,1182,161,1479
253,9001043800,815,1252,3303,325,2388
254,9001043900,235,593,1547,209,2872
255,9001044000,231,1137,3237,255,1381
256,9001044100,206,549,1287,128,1309
257,9001044200,165,400,1588,152,1787
258,9001044300,161,297,814,146,2846
259,9001044400,68,925,1525,108,910
260,9001044500,75,1069,2472,100,340
261,9001044600,31,42,108,126,3270
262,9001045101,280,13,159,219,3423
263,9001045102,471,60,346,300,4708
264,9001045200,255,62,135,136,2132
265,9001045300,208,22,116,99,2068
266,9001045400,398,44,160,144,2545
267,9001050100,266,32,218,164,3390
268,9001050200,305,41,251,203,3296
269,9001050301,272,94,273,181,3157
270,9001050302,294,34,247,205,3645
271,9001050400,140,65,171,118,1950
272,9001050500,235,59,285,229,3943
273,9001050600,191,50,147,202,2788
274,9001055100,361,80,397,332,4667
275,9001055200,214,63,234,230,3776
276,9001060100,253,130,401,186,3581
277,9001060200,187,39,256,149,3580
278,9001060300,181,40,184,192,3389
279,9001060400,140,55,180,155,3964
280,9001060500,130,31,110,107,2714
281,9001060600,112,20,146,66,1891
282,9001060700,170,26,655,238,6998
283,9001060800,98,39,102,93,1757
284,9001060900,101,11,94,100,2240
285,9001061000,301,132,356,212,3059
286,9001061100,122,58,301,218,3127
