,id,P_Asian,P_Black,P_Hisp,P_Other,P_White
0,9001000000,0,0,0,0,0
1,9001010101,164,31,130,46,4290
3,9001010102,154,32,195,35,4060
5,9001010201,109,37,131,28,3130
7,9001010202,386,13,209,58,4552
9,9001010300,186,38,121,39,3736
11,9001010400,213,31,266,52,4554
13,9001010500,313,404,791,174,3885
15,9001010600,145,46,195,64,1671
17,9001010700,181,181,425,58,2854
19,9001010800,245,18,151,39,2933
21,9001010900,481,72,264,85,3910
23,9001011000,233,41,152,72,4645
25,9001011100,207,6,158,57,4193
27,9001011200,50,9,90,11,1606
29,9001011300,94,31,568,57,2210
31,9001020100,232,1094,979,128,1457
33,9001020200,95,104,100,49,3326
35,9001020300,278,233,193,70,6501
37,9001020400,121,99,92,48,3216
39,9001020500,216,131,193,112,4268
41,9001020600,260,160,297,58,3887
43,9001020700,146,89,129,75,3887
45,9001020800,114,46,70,57,2458
47,9001020900,217,171,426,68,3484
49,9001021000,157,155,240,48,2669
51,9001021100,319,329,648,102,4118
53,9001021200,263,190,229,53,3398
55,9001021300,168,719,572,72,2294
57,9001021400,126,2223,1982,288,1738
59,9001021500,110,2967,2864,192,785
61,9001021600,1062,706,978,142,3455
63,9001021700,536,1171,1141,211,2918
65,9001021801,341,525,516,59,2833
67,9001021802,275,1494,1319,188,2330
69,9001021900,202,288,790,77,3989
71,9001022000,77,592,569,64,1459
73,9001022100,307,1110,2391,169,3007
75,9001022200,20,968,1486,106,542
77,9001022300,110,1815,1349,127,1435
79,9001022400,66,42,82,36,2156
81,9001030100,59,13,90,39,3250
83,9001030200,76,34,71,29,3168
85,9001030300,58,8,64,26,3901
87,9001030400,139,18,81,39,3115
89,9001030500,142,10,123,43,5011
91,9001035100,196,130,169,89,6262
93,9001035200,60,19,57,26,3240
95,9001035300,75,20,51,37,3826
97,9001035400,112,27,61,46,4892
99,9001042500,76,115,117,46,3340
101,9001042600,157,181,260,47,3273
103,9001042700,147,230,355,42,3526
105,9001042800,166,246,363,71,3655
107,9001042900,31,10,45,17,1521
109,9001043000,108,176,158,48,2487
111,9001043100,141,242,233,93,3462
113,9001043200,110,564,633,80,1652
115,9001043300,107,316,360,72,2202
117,9001043400,206,832,995,149,2135
119,9001043500,94,147,199,33,2011
121,9001043600,100,170,213,26,2216
123,9001043700,47,672,593,23,676
125,9001043800,552,1155,1460,194,4076
127,9001043900,117,502,553,109,3806
129,9001044000,178,1533,1741,226,2234
131,9001044100,43,1179,1313,105,770
133,9001044200,132,510,904,65,2537
135,9001044300,57,171,296,71,3226
137,9001044400,54,1639,821,102,982
139,9001044500,15,1604,1238,75,356
141,9001044600,34,37,116,64,3181
143,9001045101,77,13,75,44,3990
145,9001045102,149,31,110,47,5370
147,9001045200,86,17,27,24,2256
149,9001045300,64,18,22,20,2295
151,9001045400,96,18,35,20,2729
153,9001050100,101,28,54,29,3494
155,9001050200,117,40,84,30,3595
157,9001050300,160,100,198,70,7308
159,9001050400,65,39,55,21,2176
161,9001050500,105,33,128,50,4370
163,9001050600,74,39,83,31,3072
165,9001055100,121,47,111,65,5328
167,9001055200,72,40,95,43,4115
169,9001060100,60,61,117,19,3976
171,9001060200,66,25,62,46,3688
173,9001060300,69,19,78,44,3937
175,9001060400,57,27,75,32,4114
177,9001060500,31,10,32,12,2619
179,9001060600,51,14,35,21,2080
181,9001060700,84,101,116,37,6779
183,9001060800,36,7,38,20,1978
185,9001060900,79,7,36,19,2211
187,9001061000,114,27,105,46,3496
189,9001061100,64,40,80,34,3419
191,9001061200,83,37,65,44,1794
193,9001061300,111,41,111,58,2476
195,9001061400,117,80,184,53,2089
197,9001061500,78,65,119,45,4321
199,9001061600,57,37,87,46,4692
201,9001070100,146,318,693,162,3792
203,9001070200,116,1231,1048,152,1205
205,9001070300,5,566,535,10,4
207,9001070400,186,404,313,118,454
209,9001070500,190,670,1181,79,181
211,9001070600,171,957,879,125,420
213,9001070900,44,839,1430,74,266
215,9001071000,226,1205,1487,242,573
217,9001071100,387,1494,1581,322,1038
219,9001071200,325,1658,2234,254,652
221,9001071300,135,989,1538,235,478
223,9001071400,198,933,1593,489,854
225,9001071600,36,756,1090,95,147
227,9001071700,27,183,444,44,153
228,9001071800,63,926,1005,253,837
229,9001071900,109,1208,1424,310,1378
231,9001072000,250,834,808,254,1248
233,9001072100,353,1088,1059,256,3211
235,9001072200,99,516,635,225,2233
237,9001072300,105,833,1322,418,2405
239,9001072400,34,787,636,86,922
241,9001072500,211,703,791,199,3563
243,9001072600,231,643,647,156,5247
245,9001072700,93,1072,697,167,1633
247,9001072800,32,3064,1072,236,564
249,9001072900,54,2018,950,233,1027
251,9001073000,41,384,491,88,789
253,9001073100,99,1459,1376,166,2695
255,9001073200,53,762,444,80,1046
257,9001073300,25,1276,1205,117,828
259,9001073400,73,1250,1310,115,1100
261,9001073500,63,941,2155,111,292
263,9001073600,73,545,1476,48,145
265,9001073700,65,1490,1839,175,917
267,9001073800,61,488,1642,24,101
269,9001073900,43,733,1863,35,222
271,9001074000,3,443,1498,26,64
273,9001074300,13,2379,1217,163,323
275,9001074400,21,2929,870,118,151
277,9001080100,117,427,564,63,3101
279,9001080200,76,650,678,108,2486
281,9001080400,111,2814,734,237,2036
283,9001080500,28,13,50,31,3236
285,9001080600,24,177,164,47,1908
287,9001080700,25,55,119,24,1758
289,9001080800,59,72,166,47,4357
291,9001080900,70,105,268,55,4217
293,9001081000,41,210,218,77,3671
295,9001081100,22,104,153,29,4240
297,9001081200,34,86,175,34,4710
299,9001081300,88,52,110,38,4607
301,9001090100,82,41,77,17,2771
303,9001090200,131,90,201,45,7219
305,9001090300,74,54,134,53,4290
307,9001090400,255,272,250,80,5169
309,9001090500,98,65,86,52,4065
311,9001090600,46,34,41,61,3246
313,9001090700,127,57,134,37,4789
315,9001100100,96,63,131,58,5132
317,9001100200,106,91,163,50,6647
319,9001100300,89,71,188,60,6302
321,9001105100,60,10,71,24,3905
323,9001105200,87,5,57,25,3028
325,9001110100,95,50,295,79,1780
327,9001110201,140,95,224,49,4123
329,9001110202,52,52,107,62,4088
331,9001110301,165,57,234,49,5504
333,9001110302,62,13,53,22,2139
335,9001110400,75,18,101,63,4760
337,9001110500,101,26,104,49,5570
339,9001110600,97,82,208,119,7139
341,9001200100,164,49,215,107,2969
343,9001200200,204,85,185,101,4054
345,9001200301,184,64,169,48,4356
347,9001200302,79,21,100,55,4858
349,9001205100,53,19,92,42,3542
351,9001205200,144,47,142,28,6387
353,9001205300,190,48,138,55,4737
355,9001210100,333,364,2177,650,2698
357,9001210200,270,515,2017,467,3180
359,9001210300,397,268,627,251,3588
361,9001210400,538,520,1079,340,4397
363,9001210500,149,184,326,79,4802
365,9001210600,435,461,1216,333,3740
367,9001210700,514,738,2306,486,4997
370,9001210800,258,372,470,95,3772
372,9001210900,264,195,237,88,4897
374,9001211000,276,161,274,96,3076
376,9001211100,15,486,413,50,288
378,9001211200,361,279,343,203,4610
380,9001211300,81,112,125,77,3405
382,9001211400,177,88,181,86,3495
384,9001220100,72,15,193,51,4880
386,9001220200,59,11,99,31,4629
388,9001220300,46,27,101,36,3703
390,9001230100,82,27,107,60,5827
392,9001230200,40,4,39,15,1745
394,9001230300,47,6,49,25,3298
396,9001230400,61,32,85,42,4998
398,9001230500,116,346,310,97,7573
401,9001240100,74,16,61,39,3626
403,9001240200,73,45,61,46,4229
405,9001245100,34,15,35,16,2758
407,9001245200,102,22,78,44,3734
409,9001245300,171,26,151,50,4592
411,9001245400,38,12,55,19,2965
413,9001245500,39,26,38,24,2837
415,9001245600,106,32,108,41,5475
417,9001257100,23,19,66,30,3689
421,9005250100,13,17,9,13,1772
423,9005253100,71,74,87,76,3234
425,9005253200,154,68,166,87,6548
427,9005253300,51,56,109,37,1984
429,9005253400,123,91,129,120,5829
431,9005253500,68,45,142,73,5346
433,9005253600,48,37,118,53,2097
435,9005260200,5,36,79,34,3196
437,9005261100,38,64,61,48,3766
439,9005262100,17,28,58,32,2833
441,9005262200,2,16,4,13,1046
442,9005263200,10,2,21,18,1383
444,9005265100,10,2,3,13,1226
446,9005266100,21,16,72,48,2701
448,9005267100,56,21,77,53,3389
450,9005268100,20,5,28,27,2056
452,9005290100,14,2,31,30,3417
454,9005293100,9,10,36,2,1414
456,9005296100,20,13,33,13,2618
458,9005298300,9,1,31,10,2766
460,9005298400,18,3,16,24,2405
462,9005300100,11,11,55,45,2707
464,9005300400,7,27,40,15,1849
466,9005300500,21,17,35,32,3444
468,9005303100,19,16,20,22,2224
470,9005306100,45,33,82,37,5891
472,9005308100,9,8,16,25,1602
473,9005310100,113,104,175,83,3952
475,9005310200,68,78,122,78,2405
477,9005310300,40,61,112,39,1434
479,9005310400,39,31,34,25,2495
481,9005310500,31,24,35,14,1735
483,9005310601,62,43,55,17,2829
485,9005310602,82,39,71,50,4473
487,9005310700,42,60,94,23,4066
489,9005310801,52,80,87,45,2162
491,9005310802,105,174,377,138,6649
494,9005320100,72,63,288,122,5450
496,9005320200,26,26,50,56,4511
498,9005342100,27,9,22,44,3320
500,9005349100,17,34,55,31,4549
502,9005349200,20,10,54,14,2719
504,9005360100,67,24,73,34,5159
506,9005360200,112,31,77,69,6947
508,9005360300,46,53,89,56,3108
510,9005360400,48,41,167,46,5414
512,9005362101,62,24,89,35,3825
514,9005362102,39,22,63,45,4994
516,9005425300,30,29,67,36,3664
518,9005425400,6,24,49,60,4338
520,9005425500,12,34,31,41,3213
523,9009000000,0,0,0,0,0
524,9009120100,119,119,232,82,5799
526,9009120200,93,322,718,97,4810
528,9009125100,20,76,116,38,4305
530,9009125200,88,288,445,139,4665
532,9009125300,58,697,563,141,3688
534,9009125400,43,450,252,74,2408
536,9009130100,99,140,254,79,7132
539,9009130200,171,64,216,71,7228
541,9009140100,249,474,265,71,860
543,9009140200,0,460,822,47,323
545,9009140300,22,958,1161,75,280
547,9009140400,29,987,1578,111,644
549,9009140500,9,1418,1717,96,190
551,9009140600,11,2244,1971,192,397
553,9009140700,583,2417,1388,257,1974
555,9009140800,15,2584,707,169,674
557,9009140900,96,2788,437,221,1142
559,9009141000,81,498,196,77,2789
561,9009141100,83,848,122,56,1694
563,9009141200,78,2537,524,169,1237
565,9009141300,60,2721,570,128,1834
567,9009141400,44,3147,397,178,1199
569,9009141500,28,5873,304,146,127
571,9009141600,55,3600,616,135,605
573,9009141700,1013,482,438,344,3765
574,9009141800,791,1298,200,107,1656
576,9009141900,412,421,386,183,3508
578,9009142000,351,254,188,79,2216
580,9009142100,20,635,438,40,313
582,9009142200,32,137,123,46,1127
584,9009142300,22,1033,2606,118,930
586,9009142400,42,1123,2715,124,827
588,9009142500,23,1440,2282,163,1421
590,9009142601,361,1568,1111,176,2061
592,9009142602,77,1634,1410,164,3157
595,9009142700,140,966,1442,102,2879
597,9009142800,49,53,329,56,4150
599,9009150100,70,57,117,41,3651
601,9009150200,308,103,112,68,3082
603,9009150300,46,79,164,40,3848
605,9009150400,143,97,180,62,3850
607,9009150500,43,62,152,42,3908
609,9009150600,192,138,224,103,5262
611,9009150700,39,62,113,31,3523
