,id,P_Asian,P_Black,P_Hisp,P_Other,P_White
613,9009150800,58,51,76,47,3610
615,9009150900,36,51,118,49,3704
617,9009151000,74,70,142,73,4089
619,9009151100,132,92,245,73,6511
621,9009151200,65,89,107,29,2702
623,9009154100,210,2352,1110,313,3687
625,9009154200,452,2257,1129,247,2479
627,9009154300,0,25,1,1,80
628,9009154400,206,1942,814,246,2882
629,9009154500,125,356,461,90,3174
631,9009154600,147,417,307,75,2884
633,9009154700,75,152,188,58,5938
635,9009154800,49,70,110,67,5048
637,9009154900,122,157,167,39,3056
639,9009155000,51,330,315,99,4237
641,9009155100,75,199,155,78,3056
643,9009157100,79,26,41,25,2036
645,9009157200,138,16,37,18,3462
647,9009157300,149,20,30,27,2985
649,9009157400,142,38,82,53,3829
651,9009160100,123,38,43,32,3220
653,9009160200,335,97,95,110,4890
655,9009161100,77,92,102,56,4713
657,9009165100,116,462,271,66,2718
659,9009165200,91,121,69,23,2301
661,9009165300,35,42,56,33,2231
663,9009165400,137,986,196,116,3566
665,9009165500,69,2533,378,119,1330
667,9009165600,128,831,355,116,3822
669,9009165700,89,1416,219,109,2678
671,9009165801,559,679,252,94,3730
673,9009165802,75,525,131,86,3301
675,9009165900,191,411,153,98,6157
677,9009166001,393,420,190,91,4632
679,9009166002,117,216,155,83,6346
681,9009167100,328,202,152,69,6935
683,9009167201,92,79,57,28,3435
685,9009167202,127,79,102,61,4028
687,9009167300,221,142,122,47,6729
689,9009170100,23,208,1014,50,488
691,9009170200,15,284,1074,80,978
693,9009170300,31,167,1257,65,838
695,9009170400,18,77,223,43,1293
697,9009170500,58,102,359,56,4915
699,9009170600,44,64,219,25,2100
701,9009170700,17,103,516,46,1852
703,9009170800,70,355,998,114,4047
705,9009170900,11,184,738,46,946
707,9009171000,24,123,696,31,771
709,9009171100,137,261,627,111,4315
711,9009171200,92,176,436,67,6794
713,9009171300,43,252,814,71,2424
715,9009171400,15,171,789,50,969
717,9009171500,38,389,1596,106,1395
719,9009171600,88,324,737,142,3111
721,9009171700,59,81,203,32,3473
723,9009175100,27,40,367,35,2570
725,9009175200,69,39,262,26,1883
727,9009175300,84,39,206,51,3765
729,9009175400,123,50,473,67,3299
731,9009175500,109,99,145,60,7167
733,9009175600,40,38,99,26,4641
735,9009175700,10,23,56,34,2190
737,9009175800,52,12,77,42,3376
739,9009175900,119,41,155,60,4635
741,9009176000,116,36,106,55,5932
743,9009180100,59,39,197,50,5913
745,9009180200,107,42,301,37,4739
747,9009180300,41,27,147,35,2229
749,9009180400,62,37,100,24,2241
751,9009180500,198,177,229,103,4052
753,9009180601,32,13,132,14,3018
755,9009180602,38,42,122,30,3562
757,9009184100,122,66,207,102,4528
759,9009184200,269,95,178,58,3495
761,9009184300,113,57,141,63,4170
763,9009184400,37,14,49,41,3296
765,9009184500,29,30,31,12,2464
767,9009184600,26,11,29,26,3060
769,9009184700,182,101,102,68,5411
771,9009186100,57,94,163,66,6853
773,9009186200,67,69,87,45,6405
775,9009190100,31,22,108,20,3116
777,9009190200,35,32,71,35,3222
779,9009190301,143,40,79,39,5876
781,9009190302,108,74,151,62,4938
783,9009190303,34,24,46,35,3057
785,9009194100,20,15,79,46,4886
787,9009194201,197,28,88,76,7249
789,9009194202,87,27,73,52,4935
791,9009341100,54,34,112,45,5001
793,9009343101,99,1090,714,131,4015
795,9009343102,93,17,57,44,3628
797,9009343200,202,69,101,57,5492
799,9009343300,162,61,67,38,5899
801,9009343400,187,33,158,58,6071
803,9009344100,57,20,54,36,4330
805,9009344200,26,1,25,25,1877
807,9009345100,246,205,324,148,5714
809,9009345201,64,123,290,212,6139
811,9009345202,42,139,153,43,3935
813,9009345300,109,128,261,186,5456
815,9009345400,59,247,358,111,6297
817,9009346101,44,25,102,49,5008
819,9009346102,21,25,78,25,4444
821,9009347100,37,52,110,39,5052
823,9009347200,26,70,58,47,3216
825,9009348102,52,11,63,29,6137
826,9009348111,20,35,67,35,2828
828,9009348121,142,34,166,69,8879
833,9009350100,33,877,2137,148,1593
835,9009350200,12,1425,1189,109,604
837,9009350300,5,972,806,94,255
839,9009350400,15,1022,1395,132,262
841,9009350500,80,196,1875,146,391
843,9009350800,63,1512,2252,311,1758
845,9009350900,16,361,216,58,1224
847,9009351000,41,672,745,127,2014
849,9009351100,52,1164,635,139,1698
851,9009351200,33,1185,1146,206,1174
853,9009351300,68,434,636,184,3755
855,9009351400,78,384,1753,259,1409
857,9009351500,42,337,840,173,3429
859,9009351601,20,56,217,52,2667
861,9009351602,107,204,292,107,5603
863,9009351700,25,336,1058,126,1284
865,9009351800,58,243,390,100,3613
867,9009351900,84,188,134,33,1680
869,9009352000,46,172,239,66,4166
871,9009352100,120,439,557,114,2907
873,9009352200,55,699,967,99,778
875,9009352300,27,568,557,89,1495
877,9009352400,50,646,761,116,1853
879,9009352500,49,299,238,59,2008
881,9009352600,103,450,424,130,4219
883,9009352701,85,267,248,99,2653
885,9009352702,94,597,528,154,4221
887,9009352800,123,630,1119,162,3693
889,9009361100,38,59,116,62,5441
891,9009361200,39,84,106,60,4897
893,9009361300,36,42,51,36,4148
899,34003001000,408,26,170,46,6049
901,34003002100,416,33,55,32,1647
903,34003002200,641,45,230,46,3889
905,34003002300,1092,48,172,83,4356
907,34003003100,1026,218,816,117,2880
909,34003003200,764,254,975,114,2377
911,34003003300,1365,337,1034,158,3782
913,34003003401,416,92,317,49,1662
915,34003003402,787,212,389,60,1945
917,34003003500,969,552,943,118,1519
919,34003004000,637,393,1759,253,5207
922,34003005000,366,64,473,44,4970
924,34003006100,789,69,886,132,4630
926,34003006200,1228,123,1094,156,6338
929,34003006300,738,164,2197,169,4294
931,34003007001,720,34,170,41,2820
933,34003007002,1080,42,173,64,3239
935,34003008000,1441,70,309,125,5801
937,34003009100,977,23,167,62,3616
939,34003009200,312,41,92,36,2909
941,34003010100,716,68,476,83,4922
943,34003010200,347,62,395,60,3153
945,34003010300,852,92,592,68,5617
947,34003011100,476,122,774,116,2924
949,34003011200,542,152,648,100,3241
951,34003011300,207,38,478,73,3349
953,34003011400,249,67,635,110,4624
955,34003012000,930,292,928,156,6410
958,34003013000,1765,243,802,206,4661
961,34003014000,568,47,332,41,6209
963,34003015100,153,222,153,36,1841
965,34003015200,346,2053,1778,289,1713
967,34003015300,156,4937,782,234,149
969,34003015400,241,1913,2298,199,617
971,34003015500,460,762,692,110,4069
973,34003016000,1580,72,260,69,3341
975,34003017100,196,26,181,97,6699
977,34003017200,293,74,465,75,4920
979,34003017300,270,33,333,87,4996
981,34003017400,237,11,259,43,4908
983,34003017500,553,64,506,97,6214
985,34003018100,221,69,2820,415,3490
987,34003018200,435,92,2091,240,3382
989,34003019101,2918,244,635,131,3618
990,34003019102,1061,51,218,51,1551
994,34003019201,1651,84,552,131,4423
995,34003019202,501,35,185,21,626
999,34003019301,1574,58,489,124,6213
1000,34003019302,3416,83,712,186,3919
1005,34003020100,222,35,118,47,3386
1007,34003020200,433,61,168,53,5899
1009,34003021100,166,95,885,94,5317
1011,34003021200,97,79,705,67,4097
1013,34003021300,135,71,761,73,3221
1015,34003021400,164,216,829,75,3390
1017,34003021500,87,165,1376,171,3058
1019,34003021600,138,152,1433,192,2477
1021,34003022100,168,129,78,46,3594
1023,34003022200,580,77,236,69,6569
1025,34003023100,310,595,1159,110,814
1027,34003023200,554,1440,1118,212,3189
1029,34003023300,521,1025,836,198,4788
1032,34003023401,534,623,616,105,1708
1034,34003023402,505,1291,1617,225,1846
1036,34003023500,363,3624,1917,235,2100
1039,34003023600,376,1494,3798,263,2568
1042,34003024100,857,30,151,32,4412
1044,34003024200,694,29,122,26,3869
1046,34003025100,525,137,619,100,4544
1048,34003025200,246,51,345,28,5067
1050,34003026100,187,19,204,34,4053
1052,34003026200,324,67,225,44,4930
1054,34003027000,212,20,80,52,3696
1056,34003028001,1513,143,701,84,2703
1058,34003028002,804,42,434,70,2420
1060,34003029100,1274,353,620,198,1951
1062,34003029200,568,134,1021,128,4553
1064,34003030100,452,139,954,137,3391
1066,34003030200,374,281,1416,140,4848
1068,34003030300,337,115,755,81,3267
1070,34003030400,948,234,1184,147,4771
1072,34003031100,386,9,415,110,3478
1074,34003031200,252,32,429,63,3868
1076,34003031300,142,23,447,92,4263
1078,34003031400,262,34,453,68,4557
1080,34003032101,507,334,455,246,6571
1081,34003032102,232,27,102,56,5204
1085,34003032200,771,149,471,157,8780
1088,34003033100,182,50,349,44,3015
1090,34003033200,183,58,261,19,2047
1092,34003033300,314,139,505,89,2268
1094,34003034000,154,29,256,47,6461
1096,34003035100,373,30,217,56,6358
1098,34003035200,257,49,134,31,5274
1100,34003036100,125,47,332,36,1663
1102,34003036200,175,22,349,65,2143
1104,34003037100,592,93,401,77,4280
1106,34003037201,585,49,320,33,3047
1108,34003037202,1225,254,605,158,4681
1110,34003038100,275,8,439,75,4444
1112,34003038200,301,35,468,76,3214
1114,34003038300,265,15,698,88,4780
1116,34003039100,121,23,198,40,3383
1118,34003039200,143,44,207,59,5344
1120,34003039300,71,27,78,14,2714
1122,34003040000,649,34,249,68,7047
1125,34003041100,2072,67,918,106,1647
1127,34003041200,1717,21,576,64,1528
1129,34003041300,3221,88,1319,236,3493
1132,34003042100,1231,43,381,91,5618
1134,34003042301,679,28,189,84,3463
1136,34003042302,783,148,237,49,4295
1138,34003042400,792,33,194,61,3492
1140,34003042500,934,26,252,69,2565
1142,34003043001,179,22,116,30,3661
1144,34003043002,157,45,347,34,4117
1146,34003044100,225,20,104,44,5556
1148,34003044200,608,90,316,98,7290
1151,34003045100,1331,45,1007,155,5388
1153,34003045200,550,26,487,40,1801
1155,34003046100,357,199,796,51,2651
1157,34003046200,244,85,1003,80,2872
1159,34003046300,406,162,1064,88,2815
1161,34003047100,733,55,177,86,4880
1163,34003047200,286,21,122,42,3802
1165,34003047300,127,20,80,26,3035
1167,34003047400,383,260,404,84,3855
1169,34003047500,626,39,159,42,5592
1171,34003048100,660,84,268,69,2702
1173,34003048200,718,24,313,52,6056
1175,34003049001,262,22,92,27,3958
1177,34003049002,294,28,212,42,4512
1179,34003050000,327,25,474,52,4650
1181,34003051100,623,145,450,101,4533
1183,34003051200,152,24,195,40,2255
1185,34003051300,868,222,475,95,3046
1187,34003051400,411,84,435,94,3862
1189,34003052100,278,35,389,78,6701
1191,34003052200,333,127,436,79,4699
1193,34003053100,229,24,82,55,2811
1195,34003053200,484,72,169,80,6936
1197,34003054100,264,5053,657,259,1602
1199,34003054200,199,2018,498,204,1594
1201,34003054300,184,464,232,99,6223
1203,34003054400,605,1371,993,234,3962
1205,34003054500,328,670,481,139,3110
1207,34003054600,1211,1329,1242,289,3746
1209,34003055100,710,56,241,132,5100
1211,34003055200,1919,66,401,105,5076
1213,34003056100,214,35,254,29,4143
1215,34003056200,220,22,257,46,4402
1217,34003057101,416,232,417,130,2988
1219,34003057102,111,21,181,20,3804
1221,34003057200,47,31,178,66,2941
1223,34003058100,231,32,112,42,3170
1225,34003058200,265,46,187,42,4811
1227,34003059100,322,551,364,59,3775
1229,34003059200,160,73,296,63,5336
1231,34003060000,386,61,563,86,6612
1233,34003061100,194,5,109,46,4211
1235,34003061200,104,15,80,19,3033
1237,34003061300,94,19,61,22,3467
1239,34003061400,219,34,126,49,4601
1241,34013000100,152,864,3296,141,1166
1243,34013000200,36,350,1537,95,472
1245,34013000300,97,778,1661,89,799
1247,34013000400,90,103,1044,66,751
1249,34013000500,53,70,1176,79,349
1251,34013000600,140,323,2300,347,1028
1253,34013000700,39,3166,2890,186,236
1255,34013000800,59,628,3142,172,409
1257,34013000900,15,2060,1783,65,83
1259,34013001000,57,2717,1463,80,225
1261,34013001100,144,1466,385,101,454
1263,34013001300,4,1235,120,36,15
1265,34013001400,8,2400,291,35,35
1267,34013001500,10,1389,235,16,23
1269,34013001600,2,1199,276,28,31
1271,34013001700,5,1868,214,41,22
1273,34013001800,0,1989,128,26,18
1275,34013001900,4,2014,174,30,29
1277,34013002000,17,4204,166,160,162
1279,34013002100,47,3053,144,130,130
1281,34013002201,808,3637,1157,368,1474
1283,34013002202,50,2842,181,142,262
1285,34013002300,26,4325,229,180,160
1287,34013002400,5,3720,138,79,62
1289,34013002500,6,3881,110,150,44
1291,34013002600,3,1058,125,11,19
1293,34013002700,0,822,107,3,6
1294,34013002800,0,1354,153,18,9
1296,34013002900,2,1303,135,20,25
1297,34013003000,1,1518,188,28,18
1298,34013003100,0,755,36,7,9
1300,34013003400,1,1154,152,17,21
1301,34013003500,1,1554,127,30,25
1303,34013003700,7,1895,124,35,15
1305,34013003800,8,2212,120,54,23
1307,34013003900,1,2458,122,24,2
1309,34013004000,0,887,129,1,1
1310,34013004100,4,3067,158,35,29
1312,34013004200,1,3111,92,34,25
1314,34013004300,0,1860,77,30,10
1316,34013004400,1,1672,52,26,3
1318,34013004500,0,3411,70,79,16
1320,34013004600,77,2892,62,47,13
1322,34013004700,6,4642,137,130,30
1324,34013004801,9,2021,201,55,14
1326,34013004802,11,2343,955,54,100
1328,34013004900,13,3994,173,100,22
1330,34013005000,1,1943,207,56,12
1332,34013005100,4,2259,74,26,9
1334,34013005200,0,1343,95,23,6
1336,34013005300,1,2083,34,31,26
1338,34013005400,5,3643,299,69,19
1340,34013005700,7,767,1001,22,50
1342,34013005800,0,1305,470,20,12
1343,34013006200,1,2097,262,16,18
1345,34013006400,34,1436,154,27,55
1347,34013006600,0,2222,126,38,9
1349,34013006700,6,1997,1570,54,150
1351,34013006800,8,694,1712,247,794
1353,34013006900,7,76,1297,215,2286
1355,34013007000,21,41,1125,227,2139
1357,34013007100,13,35,717,203,2207
1359,34013007200,12,8,925,156,2466
1361,34013007300,35,33,1307,365,3336
1363,34013007400,18,56,654,113,1630
1365,34013007501,11,705,2016,282,1193
1367,34013007502,1,577,1428,143,987
1369,34013007600,6,25,1003,374,1800
1371,34013007700,18,16,843,225,1527
1373,34013007800,10,28,1457,244,1609
1375,34013007900,17,60,2211,386,1605
1377,34013008000,47,560,823,94,272
1379,34013008100,57,2759,257,112,147
1381,34013008200,13,2000,111,41,143
1383,34013008500,93,849,262,98,397
1384,34013008600,81,922,190,75,67
1385,34013008700,37,430,3407,38,179
1387,34013008800,0,324,1225,14,51
1389,34013008900,6,300,1841,60,145
1391,34013009000,15,1176,590,77,127
1393,34013009100,24,251,2617,54,270
1395,34013009200,56,2100,1883,85,1228
1397,34013009300,160,914,3513,100,177
1399,34013009400,103,1406,3347,177,1052
1401,34013009500,89,827,4549,149,986
1403,34013009600,19,955,1900,65,132
1405,34013009700,54,587,4120,79,285
1407,34013009800,22,2020,706,145,445
1408,34013009900,7,2374,85,56,103
1410,34013010000,24,2700,113,96,204
1412,34013010100,56,2500,105,128,123
1414,34013010200,31,4051,235,187,244
1416,34013010300,24,3926,167,139,149
1418,34013010400,11,4507,354,222,128
1420,34013010500,14,4181,225,336,80
1422,34013010600,10,4672,395,231,95
1424,34013010700,12,2823,211,140,54
1426,34013010800,0,2268,135,86,21
1428,34013010900,3,3482,204,85,27
1430,34013011100,23,3231,214,197,100
1432,34013011200,3,3223,130,163,36
1434,34013011300,8,2674,201,155,37
1436,34013011400,25,3731,164,158,285
1438,34013011500,6,2342,67,111,65
1440,34013011600,12,2921,84,111,12
1442,34013011700,10,3309,141,90,62
1444,34013011800,15,2689,54,77,49
1446,34013011900,37,1465,185,104,139
1448,34013012000,231,4753,507,267,645
1450,34013012100,48,2758,766,332,341
1452,34013012200,96,4645,727,422,596
1454,34013012300,68,4457,215,206,290
1456,34013012400,35,3355,400,246,390
1458,34013012500,8,3849,128,195,226
1460,34013012600,2,3210,243,197,79
1462,34013012700,41,3601,130,91,153
1464,34013012800,20,2965,355,106,185
1466,34013012900,12,3069,358,166,112
1468,34013013000,38,2163,239,104,102
1470,34013013100,5,2031,184,63,36
1472,34013013200,11,3076,263,53,47
1474,34013013300,9,3455,386,79,124
1476,34013013400,199,11,184,32,3748
1478,34013013500,291,39,261,53,3830
1480,34013013600,483,132,428,75,3460
1482,34013013700,304,114,421,65,3651
1484,34013013800,239,27,215,29,3990
1486,34013013900,418,161,321,65,4116
1488,34013014000,625,81,389,49,2754
1490,34013014100,375,29,432,54,2751
1492,34013014200,349,54,563,83,2749
1494,34013014300,565,163,1545,133,3140
1496,34013014400,429,368,1327,91,1514
1498,34013014500,275,279,1522,196,1820
1500,34013014600,506,384,1292,149,2225
1502,34013014700,900,350,1437,265,3716
1504,34013014800,439,58,170,58,2622
1506,34013014900,431,66,225,44,3914
1508,34013015000,325,129,214,50,2716
1510,34013015100,405,575,463,100,3130
1512,34013015200,266,211,384,95,3098
1514,34013015300,437,482,287,90,1540
