id,HP1,HP24,HP5,HP
3401351000,2,216,1276,1494
3401352620,36,0,11,47
3401353680,10,9,35,54
3401364590,1,0,0,1
3401369274,5,2,121,128
3401375815,0,0,0,0
3401378510,0,0,0,0
3401379800,12,0,12,24
3401703580,6,54,818,878
3401719360,0,4,0,4
3401728650,0,0,49,49
3401730210,7,22,1060,1089
3401732250,3,14,78,95
3401736000,130,114,3308,3552
3401736510,2,0,0,2
3401752470,0,15,109,124
3401766570,6,2,635,643
3401774630,3,26,45,74
3401777930,0,3,28,31
3401779610,78,20,311,409
3401900550,1,0,0,1
3401905650,7,0,0,7
3401906370,0,0,0,0
3401909280,3,0,0,3
3401913720,2,6,81,89
3401913750,4,0,0,4
3401917170,2,0,0,2
3401918820,3,4,0,7
3401923700,1,0,6,7
3401924870,4,0,0,4
3401925350,1,0,52,53
3401926550,0,0,0,0
3401929460,0,0,0,0
3401931320,0,0,0,0
3401932460,4,0,0,4
3401937065,14,0,0,14
3401938610,3,0,0,3
3401939630,0,0,0,0
3401939660,1,0,0,1
3401946260,0,0,0,0
3401961920,61,0,38,99
3401962250,10,0,0,10
3401970980,2,0,0,2
3401972510,3,0,0,3
3401974420,0,0,0,0
3401978230,4,2,0,6
3402119780,2,0,0,2
3402122185,17,25,82,124
3402129310,44,0,0,44
3402131620,0,0,0,0
3402133150,5,0,0,5
3402133180,6,0,0,6
3402139510,62,0,5,67
3402157600,42,0,0,42
3402160900,16,0,0,16
3402163850,24,0,0,24
3402174000,0,0,57,57
3402180240,2,0,443,445
3402310750,4,4,0,8
3402315550,0,0,0,0
3402318490,20,0,15,35
3402319000,14,0,0,14
3402320230,93,0,10,103
3402330840,0,0,0,0
3402331470,2,0,0,2
3402334890,3,0,0,3
3402345690,14,2,10,26
3402345900,11,2,0,13
3402346620,1,0,0,1
3402347280,299,2,60,361
3402351210,3,10,196,209
3402352560,40,10,222,272
3402354705,56,23,63,142
3402358200,4,4,5,13
3402359010,23,0,90,113
3402359280,0,0,0,0
3402365790,34,5,8,47
3402368550,6,26,435,467
3402368790,99,0,0,99
3402369390,31,0,0,31
3402369420,2,0,20,22
3402369810,1,0,0,1
3402382000,29,2,744,775
3402500070,0,0,0,0
3402500730,0,0,0,0
3402500760,0,0,0,0
3402501960,21,2,9,32
3402502110,3,0,0,3
3402502440,32,0,0,32
3402504930,8,0,0,8
3402506970,21,3,0,24
3402507750,14,0,0,14
3402514560,11,0,0,11
3402516660,17,0,0,17
3402519840,1,0,0,1
3402521570,3,0,0,3
3402522440,20,0,0,20
3402522950,1,0,0,1
3402525200,0,0,0,0
3402525230,37,0,25,62
3402530690,7,0,172,179
3402531500,18,0,0,18
3402532640,25,0,15,40
3402533300,64,4,0,68
3402534200,0,0,0,0
3402536480,3,0,0,3
3402536810,18,0,0,18
3402537560,6,0,0,6
3402540770,9,0,0,9
3402541010,1,0,0,1
3402541310,216,10,836,1062
3402542990,17,0,20,37
3402543050,20,0,0,20
3402544070,13,0,0,13
3402544520,1,0,0,1
3402545990,176,0,18,194
3402546560,5,0,0,5
3402547130,16,0,0,16
3402549890,41,0,28,69
3402549920,2,0,0,2
3402554270,37,0,0,37
3402554570,17,3,0,20
3402562430,7,4,0,11
3402564410,0,0,0,0
3402565130,14,0,0,14
3402566240,16,0,12,28
3402566330,20,0,0,20
3402567350,0,0,0,0
3402567365,0,0,0,0
3402570110,32,0,0,32
3402570140,10,0,0,10
3402573020,162,0,70,232
3402574540,22,0,0,22
3402574900,3,0,0,3
3402576460,88,0,125,213
3402579310,7,0,0,7
3402706610,5,0,66,71
3402706640,10,0,0,10
3402709040,1,0,0,1
3402712100,27,0,0,27
3402712130,24,0,0,24
3402712580,7,0,20,27
3402712610,1,0,0,1
3402717650,17,0,0,17
3402718070,3,0,214,217
3402719210,16,0,0,16
3402723910,110,36,36,182
3402729550,19,0,15,34
3402729700,6,0,0,6
3402734980,16,0,0,16
3402737110,6,0,0,6
3402740290,0,4,0,4
3402741362,6,0,0,6
3402742510,33,0,0,33
3402745330,232,0,0,232
3402745360,6,0,0,6
3402746860,1,0,0,1
3402747670,33,0,0,33
3402748090,113,0,0,113
3402748210,1,0,12,13
3402748300,11,2,83,96
3402748480,14,0,0,14
3402748690,44,0,20,64
3402749080,64,0,0,64
3402756460,93,0,0,93
3402758110,4,0,0,4
3402761890,10,0,0,10
3402763300,2,0,0,2
3402764050,7,0,0,7
3402764080,6,0,146,152
3402764980,5,0,0,5
3402775890,0,2,0,2
3402777240,11,0,10,21
3402780390,0,0,0,0
3402903050,336,0,8,344
3402903130,19,0,0,19
3402903520,6,0,0,6
3402903940,22,0,0,22
3402904180,8,0,0,8
3402905305,96,0,0,96
3402907420,109,0,0,109
3402918670,22,0,0,22
3402930390,18,0,0,18
3402934530,7,0,0,7
3402934680,69,0,10,79
3402937380,143,0,0,143
3402937770,0,0,0,0
3402938550,1039,44,20,1103
3402939390,23,0,0,23
3402940560,25,0,0,25
3402941250,112,4,0,116
3402943140,99,0,0,99
3402943380,32,0,0,32
3402954300,11,24,150,185
3402954450,4,0,0,4
3402958590,1,0,0,1
3402959790,69,0,0,69
3402959880,53,14,0,67
3402959910,35,0,145,180
3402966450,19,4,0,23
3402966480,5,0,0,5
3402967110,23,0,0,23
3402969510,0,0,0,0
3402970320,492,0,0,492
3402971640,21,0,0,21
3402973125,175,6,88,269
3402974210,15,0,0,15
3403106340,2,0,0,2
3403113690,17,8,8,33
3403129070,7,0,20,27
3403130570,9,0,52,61
3403140620,8,0,214,222
3403153040,0,0,180,180
3403156550,18,0,87,105
3403157000,11,22,557,590
3403160090,1,0,53,54
3403161170,0,0,0,0
3403163150,13,0,0,13
3403173140,1,0,0,1
3403176730,0,0,0,0
3403177840,13,0,0,13
3403179460,10,0,0,10
3403182423,3,0,0,3
3403504450,0,0,15,15
3403505560,6,0,198,204
3403505590,17,0,20,37
3403506790,9,6,123,138
3403507180,6,0,130,136
3403507720,25,0,35,60
3403522890,0,0,0,0
3403524900,57,3,0,60
3403527510,0,0,28,28
3403531890,78,34,304,416
3403543620,22,3,0,25
3403546590,0,0,0,0
3403547580,66,0,96,162
3403553280,4,0,0,4
3403557300,1,2,0,3
3403561980,0,0,0,0
3403564320,0,0,0,0
3403568460,2,0,534,536
3403568730,30,2,20,52
3403576940,31,3,0,34
3403577600,3,0,0,3
3403701330,0,0,0,0
3403701360,6,0,0,6
3403707300,0,0,0,0
3403709160,11,0,0,11
3403724810,0,0,0,0
3403724930,5,0,0,5
3403725140,1,0,0,1
3403727420,1,0,0,1
3403729220,10,0,0,10
3403729490,2,0,0,2
3403729850,53,12,0,65
3403732910,3,0,0,3
3403737440,4,0,0,4
3403747430,4,0,0,4
3403751930,18,0,0,18
3403754660,0,0,0,0
3403765700,0,0,0,0
3403769690,81,0,0,81
3403770380,1,0,0,1
3403770890,3,0,0,3
3403771670,0,0,0,0
3403775740,2,0,0,2
3403776640,0,0,0,0
3403776790,3,0,0,3
3403905320,19,0,0,19
3403913150,5,0,126,131
3403915640,20,3,66,89
3403921000,26,214,269,509
3403922860,1,0,0,1
3403925800,19,0,58,77
3403931980,2,2,0,4
3403936690,3,0,0,3
3403940350,25,0,133,158
3403948510,4,0,0,4
3403951810,5,2,0,7
3403959190,2,4,63,69
3403961530,15,0,223,238
3403964620,5,0,96,101
3403964650,0,3,217,220
3403966060,21,0,0,21
3403970020,3,0,0,3
3403971430,17,7,21,45
3403974480,1,7,904,912
3403979040,39,0,0,39
3403981650,0,0,0,0
3404100670,39,0,0,39
3404101030,0,0,0,0
3404104990,0,0,0,0
3404106160,5,6,0,11
3404124960,0,0,0,0
3404125320,1,0,0,1
3404128260,0,0,0,0
3404128710,1,0,0,1
3404129820,6,0,0,6
3404130090,8,0,0,8
3404133060,1,0,0,1
3404133930,3,0,0,3
3404137320,7,0,0,7
3404140110,0,0,0,0
3404141490,4,0,143,147
3404143320,34,0,0,34
3404155530,2,0,0,2
3404158350,3,0,0,3
3404159820,1,4,0,5
3404177270,0,0,0,0
3404177300,32,0,0,32
3404180570,4,0,0,4
