,STATE,COUNTY,GEOCODE,SUMLEV,POP100,HU100,P0010001,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,H0010001,H0010002,H0010003,NAME
86,9,5.0,0900586440,60,10224,5405,10224,10224,684,9540,9117,8812,116,15,124,12,38,423,5405,4661,744,Winchester town
87,9,5.0,0900587910,60,9723,4584,9723,9723,454,9269,8934,8609,108,18,141,6,52,335,4584,4251,333,Woodbury town
104,9,9.0,0900900000,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,County subdivisions not defined
105,9,9.0,0900901220,60,18918,8104,18918,18918,4493,14425,13685,10688,2474,27,382,1,113,740,8104,7570,534,Ansonia town
106,9,9.0,0900903250,60,6000,2618,6000,6000,413,5587,5386,5126,124,9,84,0,43,201,2618,2485,133,Beacon Falls town
107,9,9.0,0900904580,60,5297,2039,5297,5297,182,5115,4938,4561,101,3,248,0,25,177,2039,1948,91,Bethany town
108,9,9.0,0900907310,60,28273,14180,28273,28273,1862,26411,25564,23427,654,25,1311,10,137,847,14180,13069,1111,Branford town
109,9,9.0,0900914160,60,28733,10401,28733,28733,1818,26915,26015,22882,1226,16,1788,2,101,900,10401,10041,360,Cheshire town
110,9,9.0,0900919550,60,12325,5759,12325,12325,2544,9781,9391,7595,1373,20,336,3,64,390,5759,5408,351,Derby town
111,9,9.0,0900922910,60,27923,12394,27923,27923,5054,22869,22125,19656,1262,26,1066,3,112,744,12394,11635,759,East Haven town
112,9,9.0,0900934950,60,22073,9693,22073,22073,1135,20938,20142,19085,202,10,781,2,62,796,9693,8813,880,Guilford town
113,9,9.0,0900935650,60,61169,25984,61169,61169,7836,53333,51170,32384,14834,178,3447,25,302,2163,25984,23988,1996,Hamden town
114,9,9.0,0900944560,60,17691,8060,17691,17691,641,17050,16477,15705,127,20,562,0,63,573,8060,6987,1073,Madison town
115,9,9.0,0900946520,60,60850,26177,60850,60850,22295,38555,36384,29104,5565,67,1311,25,312,2171,26177,24346,1831,Meriden town
116,9,9.0,0900946940,60,7574,3047,7574,7574,332,7242,7038,6560,67,0,377,3,31,204,3047,2859,188,Middlebury town
117,9,9.0,0900947535,60,52044,23749,52044,52044,4111,47933,46122,41417,1531,51,2840,17,266,1811,23749,22338,1411,Milford town
118,9,9.0,0900949950,60,31519,13239,31519,31519,4871,26648,24909,21366,2195,31,749,7,561,1739,13239,12432,807,Naugatuck town
119,9,9.0,0900952070,60,134023,57525,134023,134023,41068,92955,88115,37010,40788,339,9044,61,873,4840,57525,52263,5262,New Haven town
120,9,9.0,0900953890,60,13544,5633,13544,13544,670,12874,12556,12137,145,7,234,0,33,318,5633,5323,310,North Branford town
121,9,9.0,0900954870,60,24253,9981,24253,24253,1490,22763,22124,19631,889,23,1468,8,105,639,9981,9546,435,North Haven town
122,9,9.0,0900957600,60,14280,5480,14280,14280,715,13565,13112,11326,259,11,1458,1,57,453,5480,5282,198,Orange town
123,9,9.0,0900958300,60,12706,5022,12706,12706,681,12025,11657,11254,128,7,218,4,46,368,5022,4774,248,Oxford town
124,9,9.0,0900962290,60,9401,3762,9401,9401,426,8975,8676,8331,206,10,94,2,33,299,3762,3627,135,Prospect town
125,9,9.0,0900967610,60,16748,7112,16748,16748,1752,14996,14479,13298,668,13,421,5,74,517,7112,6779,333,Seymour town
126,9,9.0,0900969640,60,19879,9270,19879,19879,830,19049,18477,17625,200,6,556,2,88,572,9270,8587,683,Southbury town
127,9,9.0,0900978740,60,44396,18938,44396,44396,4770,39626,38283,35397,842,57,1809,18,160,1343,18938,18104,834,Wallingford town
