,stco,geoid,name,2000,2010
90,34003,3400321300,"Elmwood Park borough, Bergen County, New Jersey",7242,7385
91,34003,3400321450,"Emerson borough, Bergen County, New Jersey",2398,2552
92,34003,3400321480,"Englewood city, Bergen County, New Jersey",9614,10695
93,34003,3400321510,"Englewood Cliffs borough, Bergen County, New Jersey",1889,1924
94,34003,3400322470,"Fair Lawn borough, Bergen County, New Jersey",12006,12266
95,34003,3400322560,"Fairview borough, Bergen County, New Jersey",4988,5150
96,34003,3400324420,"Fort Lee borough, Bergen County, New Jersey",17446,17818
97,34003,3400324990,"Franklin Lakes borough, Bergen County, New Jersey",3395,3692
98,34003,3400325770,"Garfield city, Bergen County, New Jersey",11698,11788
99,34003,3400326640,"Glen Rock borough, Bergen County, New Jersey",4024,4016
100,34003,3400328680,"Hackensack city, Bergen County, New Jersey",18945,19375
101,34003,3400330150,"Harrington Park borough, Bergen County, New Jersey",1583,1624
102,34003,3400330420,"Hasbrouck Heights borough, Bergen County, New Jersey",4617,4627
103,34003,3400330540,"Haworth borough, Bergen County, New Jersey",1146,1136
104,34003,3400331920,"Hillsdale borough, Bergen County, New Jersey",3547,3567
105,34003,3400332310,"Ho-Ho-Kus borough, Bergen County, New Jersey",1465,1462
106,34003,3400340020,"Leonia borough, Bergen County, New Jersey",3343,3428
107,34003,3400340680,"Little Ferry borough, Bergen County, New Jersey",4449,4439
108,34003,3400341100,"Lodi borough, Bergen County, New Jersey",9908,10127
109,34003,3400342090,"Lyndhurst township, Bergen County, New Jersey",8103,8787
110,34003,3400342750,"Mahwah township, Bergen County, New Jersey",9577,9868
111,34003,3400344880,"Maywood borough, Bergen County, New Jersey",3777,3769
112,34003,3400346110,"Midland Park borough, Bergen County, New Jersey",2650,2861
113,34003,3400347610,"Montvale borough, Bergen County, New Jersey",2590,2872
114,34003,3400347700,"Moonachie borough, Bergen County, New Jersey",1074,1053
115,34003,3400351660,"New Milford borough, Bergen County, New Jersey",6437,6362
116,34003,3400352320,"North Arlington borough, Bergen County, New Jersey",6529,6573
117,34003,3400353430,"Northvale borough, Bergen County, New Jersey",1596,1635
118,34003,3400353610,"Norwood borough, Bergen County, New Jersey",1888,2007
119,34003,3400353850,"Oakland borough, Bergen County, New Jersey",4345,4470
120,34003,3400354870,"Old Tappan borough, Bergen County, New Jersey",1804,1995
121,34003,3400354990,"Oradell borough, Bergen County, New Jersey",2833,2831
122,34003,3400355770,"Palisades Park borough, Bergen County, New Jersey",6386,7362
123,34003,3400355950,"Paramus borough, Bergen County, New Jersey",8209,8915
124,34003,3400356130,"Park Ridge borough, Bergen County, New Jersey",3258,3428
125,34003,3400361680,"Ramsey borough, Bergen County, New Jersey",5400,5550
126,34003,3400362910,"Ridgefield borough, Bergen County, New Jersey",4120,4145
127,34003,3400362940,"Ridgefield Park village, Bergen County, New Jersey",5134,5164
128,34003,3400363000,"Ridgewood village, Bergen County, New Jersey",8802,8743
129,34003,3400363360,"River Edge borough, Bergen County, New Jersey",4210,4261
130,34003,3400363690,"River Vale township, Bergen County, New Jersey",3312,3521
131,34003,3400363990,"Rochelle Park township, Bergen County, New Jersey",2111,2170
132,34003,3400364170,"Rockleigh borough, Bergen County, New Jersey",80,86
133,34003,3400365280,"Rutherford borough, Bergen County, New Jersey",7214,7278
134,34003,3400365340,"Saddle Brook township, Bergen County, New Jersey",5161,5485
135,34003,3400365400,"Saddle River borough, Bergen County, New Jersey",1183,1341
136,34003,3400368970,"South Hackensack township, Bergen County, New Jersey",830,879
137,34003,3400372360,"Teaneck township, Bergen County, New Jersey",13719,14024
138,34003,3400372420,"Tenafly borough, Bergen County, New Jersey",4897,4980
139,34003,3400372480,"Teterboro borough, Bergen County, New Jersey",8,27
140,34003,3400375140,"Upper Saddle River borough, Bergen County, New Jersey",2560,2776
141,34003,3400376400,"Waldwick borough, Bergen County, New Jersey",3495,3537
142,34003,3400376490,"Wallington borough, Bergen County, New Jersey",4906,4946
143,34003,3400377135,"Washington township, Bergen County, New Jersey",3245,3341
144,34003,3400380270,"Westwood borough, Bergen County, New Jersey",4610,4636
145,34003,3400382300,"Woodcliff Lake borough, Bergen County, New Jersey",1842,1980
146,34003,3400382570,"Wood-Ridge borough, Bergen County, New Jersey",3087,3051
147,34003,3400383050,"Wyckoff township, Bergen County, New Jersey",5638,5827
148,34013,3401304695,"Belleville township, Essex County, New Jersey",14144,14327
149,34013,3401306260,"Bloomfield township, Essex County, New Jersey",19508,19470
150,34013,3401309250,"Caldwell borough, Essex County, New Jersey",3396,3510
151,34013,3401311200,"Cedar Grove township, Essex County, New Jersey",4470,4661
152,34013,3401313045,"City of Orange township, Essex County, New Jersey",12665,12222
153,34013,3401319390,"East Orange city, Essex County, New Jersey",28485,28803
154,34013,3401321840,"Essex Fells borough, Essex County, New Jersey",761,758
155,34013,3401322385,"Fairfield township, Essex County, New Jersey",2326,2723
156,34013,3401326610,"Glen Ridge borough, Essex County, New Jersey",2490,2541
157,34013,3401334450,"Irvington township, Essex County, New Jersey",24116,23196
158,34013,3401340890,"Livingston township, Essex County, New Jersey",9457,10284
