,stco,geoid,name,2000,2010
94,34003,3400322470,"Fair Lawn borough, Bergen County, New Jersey",200,336
95,34003,3400322560,"Fairview borough, Bergen County, New Jersey",127,297
96,34003,3400324420,"Fort Lee borough, Bergen County, New Jersey",902,1447
97,34003,3400324990,"Franklin Lakes borough, Bergen County, New Jersey",73,165
98,34003,3400325770,"Garfield city, Bergen County, New Jersey",448,715
99,34003,3400326640,"Glen Rock borough, Bergen County, New Jersey",47,99
100,34003,3400328680,"Hackensack city, Bergen County, New Jersey",832,1233
101,34003,3400330150,"Harrington Park borough, Bergen County, New Jersey",20,32
102,34003,3400330420,"Hasbrouck Heights borough, Bergen County, New Jersey",96,194
103,34003,3400330540,"Haworth borough, Bergen County, New Jersey",12,26
104,34003,3400331920,"Hillsdale borough, Bergen County, New Jersey",45,74
105,34003,3400332310,"Ho-Ho-Kus borough, Bergen County, New Jersey",32,61
106,34003,3400340020,"Leonia borough, Bergen County, New Jersey",72,144
107,34003,3400340680,"Little Ferry borough, Bergen County, New Jersey",83,200
108,34003,3400341100,"Lodi borough, Bergen County, New Jersey",380,656
109,34003,3400342090,"Lyndhurst township, Bergen County, New Jersey",226,450
110,34003,3400342750,"Mahwah township, Bergen County, New Jersey",237,363
111,34003,3400344880,"Maywood borough, Bergen County, New Jersey",67,120
112,34003,3400346110,"Midland Park borough, Bergen County, New Jersey",37,105
113,34003,3400347610,"Montvale borough, Bergen County, New Jersey",81,94
114,34003,3400347700,"Moonachie borough, Bergen County, New Jersey",33,48
115,34003,3400351660,"New Milford borough, Bergen County, New Jersey",91,221
116,34003,3400352320,"North Arlington borough, Bergen County, New Jersey",137,278
117,34003,3400353430,"Northvale borough, Bergen County, New Jersey",21,71
118,34003,3400353610,"Norwood borough, Bergen County, New Jersey",31,80
119,34003,3400353850,"Oakland borough, Bergen County, New Jersey",90,135
120,34003,3400354870,"Old Tappan borough, Bergen County, New Jersey",26,64
121,34003,3400354990,"Oradell borough, Bergen County, New Jersey",44,82
122,34003,3400355770,"Palisades Park borough, Bergen County, New Jersey",139,428
123,34003,3400355950,"Paramus borough, Bergen County, New Jersey",127,285
124,34003,3400356130,"Park Ridge borough, Bergen County, New Jersey",97,145
125,34003,3400361680,"Ramsey borough, Bergen County, New Jersey",87,187
126,34003,3400362910,"Ridgefield borough, Bergen County, New Jersey",100,240
127,34003,3400362940,"Ridgefield Park village, Bergen County, New Jersey",122,313
128,34003,3400363000,"Ridgewood village, Bergen County, New Jersey",199,287
129,34003,3400363360,"River Edge borough, Bergen County, New Jersey",45,127
130,34003,3400363690,"River Vale township, Bergen County, New Jersey",37,100
131,34003,3400363990,"Rochelle Park township, Bergen County, New Jersey",50,83
132,34003,3400364170,"Rockleigh borough, Bergen County, New Jersey",6,11
133,34003,3400365280,"Rutherford borough, Bergen County, New Jersey",159,329
134,34003,3400365340,"Saddle Brook township, Bergen County, New Jersey",99,199
135,34003,3400365400,"Saddle River borough, Bergen County, New Jersey",65,125
136,34003,3400368970,"South Hackensack township, Bergen County, New Jersey",19,34
137,34003,3400372360,"Teaneck township, Bergen County, New Jersey",301,554
138,34003,3400372420,"Tenafly borough, Bergen County, New Jersey",123,214
139,34003,3400372480,"Teterboro borough, Bergen County, New Jersey",1,2
140,34003,3400375140,"Upper Saddle River borough, Bergen County, New Jersey",63,137
141,34003,3400376400,"Waldwick borough, Bergen County, New Jersey",67,117
142,34003,3400376490,"Wallington borough, Bergen County, New Jersey",154,309
143,34003,3400377135,"Washington township, Bergen County, New Jersey",26,80
144,34003,3400380270,"Westwood borough, Bergen County, New Jersey",125,198
145,34003,3400382300,"Woodcliff Lake borough, Bergen County, New Jersey",18,64
146,34003,3400382570,"Wood-Ridge borough, Bergen County, New Jersey",63,112
147,34003,3400383050,"Wyckoff township, Bergen County, New Jersey",97,181
148,34013,3401304695,"Belleville township, Essex County, New Jersey",413,932
149,34013,3401306260,"Bloomfield township, Essex County, New Jersey",491,1083
150,34013,3401309250,"Caldwell borough, Essex County, New Jersey",85,151
151,34013,3401311200,"Cedar Grove township, Essex County, New Jersey",67,138
152,34013,3401313045,"City of Orange township, Essex County, New Jersey",780,1020
153,34013,3401319390,"East Orange city, Essex County, New Jersey",2461,3858
154,34013,3401321840,"Essex Fells borough, Essex County, New Jersey",24,30
155,34013,3401322385,"Fairfield township, Essex County, New Jersey",30,78
156,34013,3401326610,"Glen Ridge borough, Essex County, New Jersey",32,65
157,34013,3401334450,"Irvington township, Essex County, New Jersey",2084,3103
158,34013,3401340890,"Livingston township, Essex County, New Jersey",157,294
159,34013,3401343800,"Maplewood township, Essex County, New Jersey",163,368
160,34013,3401346380,"Millburn township, Essex County, New Jersey",143,293
161,34013,3401347500,"Montclair township, Essex County, New Jersey",511,822
162,34013,3401351000,"Newark city, Essex County, New Jersey",8759,14978
163,34013,3401352620,"North Caldwell borough, Essex County, New Jersey",38,42
164,34013,3401353680,"Nutley township, Essex County, New Jersey",234,475
165,34013,3401364590,"Roseland borough, Essex County, New Jersey",45,87
166,34013,3401369274,"South Orange Village township, Essex County, New Jersey",149,299
167,34013,3401375815,"Verona township, Essex County, New Jersey",134,208
168,34013,3401378510,"West Caldwell township, Essex County, New Jersey",54,96
169,34013,3401379800,"West Orange township, Essex County, New Jersey",421,822
170,34017,3401703580,"Bayonne city, Hudson County, New Jersey",1281,2562
171,34017,3401719360,"East Newark borough, Hudson County, New Jersey",32,35
172,34017,3401728650,"Guttenberg town, Hudson County, New Jersey",157,366
173,34017,3401730210,"Harrison town, Hudson County, New Jersey",118,359
174,34017,3401732250,"Hoboken city, Hudson County, New Jersey",497,1814
175,34017,3401736000,"Jersey City city, Hudson County, New Jersey",5016,11861
176,34017,3401736510,"Kearny town, Hudson County, New Jersey",333,718
177,34017,3401752470,"North Bergen township, Hudson County, New Jersey",773,1850
178,34017,3401766570,"Secaucus town, Hudson County, New Jersey",171,549
179,34017,3401774630,"Union City city, Hudson County, New Jersey",869,2117
180,34017,3401777930,"Weehawken township, Hudson County, New Jersey",184,501
181,34017,3401779610,"West New York town, Hudson County, New Jersey",641,1166
182,34019,3401900550,"Alexandria township, Hunterdon County, New Jersey",63,107
183,34019,3401905650,"Bethlehem township, Hunterdon County, New Jersey",37,42
184,34019,3401906370,"Bloomsbury borough, Hunterdon County, New Jersey",20,21
185,34019,3401909280,"Califon borough, Hunterdon County, New Jersey",9,25
186,34019,3401913720,"Clinton town, Hunterdon County, New Jersey",27,41
187,34019,3401913750,"Clinton township, Hunterdon County, New Jersey",105,169
188,34019,3401917170,"Delaware township, Hunterdon County, New Jersey",58,139
189,34019,3401918820,"East Amwell township, Hunterdon County, New Jersey",43,62
190,34019,3401923700,"Flemington borough, Hunterdon County, New Jersey",72,111
191,34019,3401924870,"Franklin township, Hunterdon County, New Jersey",34,67
192,34019,3401925350,"Frenchtown borough, Hunterdon County, New Jersey",17,60
193,34019,3401926550,"Glen Gardner borough, Hunterdon County, New Jersey",24,57
194,34019,3401929460,"Hampton borough, Hunterdon County, New Jersey",15,42
195,34019,3401931320,"High Bridge borough, Hunterdon County, New Jersey",50,63
196,34019,3401932460,"Holland township, Hunterdon County, New Jersey",61,94
197,34019,3401937065,"Kingwood township, Hunterdon County, New Jersey",82,123
198,34019,3401938610,"Lambertville city, Hunterdon County, New Jersey",101,117
199,34019,3401939630,"Lebanon borough, Hunterdon County, New Jersey",19,62
200,34019,3401939660,"Lebanon township, Hunterdon County, New Jersey",57,143
201,34019,3401946260,"Milford borough, Hunterdon County, New Jersey",15,32
202,34019,3401961920,"Raritan township, Hunterdon County, New Jersey",155,232
203,34019,3401962250,"Readington township, Hunterdon County, New Jersey",118,220
204,34019,3401970980,"Stockton borough, Hunterdon County, New Jersey",12,22
205,34019,3401972510,"Tewksbury township, Hunterdon County, New Jersey",66,134
206,34019,3401974420,"Union township, Hunterdon County, New Jersey",59,78
207,34019,3401978230,"West Amwell township, Hunterdon County, New Jersey",35,55
208,34021,3402119780,"East Windsor township, Mercer County, New Jersey",432,627
209,34021,3402122185,"Ewing township, Mercer County, New Jersey",373,755
210,34021,3402129310,"Hamilton township, Mercer County, New Jersey",1012,1636
211,34021,3402131620,"Hightstown borough, Mercer County, New Jersey",80,132
212,34021,3402133150,"Hopewell borough, Mercer County, New Jersey",23,39
213,34021,3402133180,"Hopewell township, Mercer County, New Jersey",131,269
214,34021,3402139510,"Lawrence township, Mercer County, New Jersey",383,715
215,34021,3402157600,"Pennington borough, Mercer County, New Jersey",27,52
216,34021,3402160900,"Princeton borough, Mercer County, New Jersey",349,781
217,34021,3402163850,"Robbinsville township, Mercer County, New Jersey",89,190
218,34021,3402174000,"Trenton city, Mercer County, New Jersey",4406,4457
219,34021,3402180240,"West Windsor township, Mercer County, New Jersey",168,361
220,34023,3402310750,"Carteret borough, Middlesex County, New Jersey",281,557
221,34023,3402315550,"Cranbury township, Middlesex County, New Jersey",30,51
222,34023,3402318490,"Dunellen borough, Middlesex County, New Jersey",69,117
223,34023,3402319000,"East Brunswick township, Middlesex County, New Jersey",268,557
224,34023,3402320230,"Edison township, Middlesex County, New Jersey",882,1330
225,34023,3402330840,"Helmetta borough, Middlesex County, New Jersey",23,29
226,34023,3402331470,"Highland Park borough, Middlesex County, New Jersey",172,328
227,34023,3402334890,"Jamesburg borough, Middlesex County, New Jersey",64,95
228,34023,3402345690,"Metuchen borough, Middlesex County, New Jersey",112,197
229,34023,3402345900,"Middlesex borough, Middlesex County, New Jersey",82,164
230,34023,3402346620,"Milltown borough, Middlesex County, New Jersey",43,99
231,34023,3402347280,"Monroe township, Middlesex County, New Jersey",723,1505
232,34023,3402351210,"New Brunswick city, Middlesex County, New Jersey",836,934
233,34023,3402352560,"North Brunswick township, Middlesex County, New Jersey",297,494
234,34023,3402354705,"Old Bridge township, Middlesex County, New Jersey",458,861
