,stco,geoid,name,POP100,HU100,P0010001,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,H0010001,H0010002,H0010003
25,9005,900508210,"Bridgewater town, Litchfield County, Connecticut",1662,863,1662,1662,41,1621,1553,1520,14,1,10,0,8,68,863,728,135
26,9005,900510940,"Canaan town, Litchfield County, Connecticut",1080,639,1080,1080,56,1024,1001,975,15,3,1,0,7,23,639,480,159
27,9005,900516050,"Colebrook town, Litchfield County, Connecticut",1361,694,1361,1361,31,1330,1275,1257,5,1,4,0,8,55,694,584,110
28,9005,900517240,"Cornwall town, Litchfield County, Connecticut",1567,1002,1567,1567,61,1506,1467,1433,4,1,24,0,5,39,1002,732,270
29,9005,900532290,"Goshen town, Litchfield County, Connecticut",3150,1708,3150,3150,120,3030,2924,2869,16,2,32,0,5,106,1708,1285,423
30,9005,900537280,"Harwinton town, Litchfield County, Connecticut",5484,2313,5484,5484,172,5312,5132,5045,35,8,31,0,13,180,2313,2179,134
31,9005,900540290,"Kent town, Litchfield County, Connecticut",3019,1687,3019,3019,156,2863,2733,2586,31,21,85,0,10,130,1687,1285,402
32,9005,900543370,"Litchfield town, Litchfield County, Connecticut",8192,3966,8192,8192,276,7916,7653,7463,51,13,114,0,12,263,3966,3467,499
33,9005,900549460,"Morris town, Litchfield County, Connecticut",2256,1253,2256,2256,67,2189,2125,2093,12,0,14,0,6,64,1253,933,320
34,9005,900551350,"New Hartford town, Litchfield County, Connecticut",6658,2968,6658,6658,177,6481,6238,6105,18,6,75,3,31,243,2968,2681,287
35,9005,900552630,"New Milford town, Litchfield County, Connecticut",28115,11928,28115,28115,3241,24874,23432,21515,639,32,958,6,282,1442,11928,10994,934
36,9005,900553470,"Norfolk town, Litchfield County, Connecticut",1588,932,1588,1588,48,1540,1481,1449,8,4,18,0,2,59,932,715,217
37,9005,900554030,"North Canaan town, Litchfield County, Connecticut",3211,1582,3211,3211,266,2945,2814,2747,36,6,15,0,10,131,1582,1399,183
38,9005,900560750,"Plymouth town, Litchfield County, Connecticut",11671,5151,11671,11671,739,10932,10388,10057,141,16,145,9,20,544,5151,4856,295
39,9005,900565930,"Roxbury town, Litchfield County, Connecticut",2260,1163,2260,2260,70,2190,2102,2053,9,2,29,0,9,88,1163,979,184
40,9005,900566420,"Salisbury town, Litchfield County, Connecticut",4194,2519,4194,4194,197,3997,3845,3643,80,8,78,1,35,152,2519,1717,802
41,9005,900567960,"Sharon town, Litchfield County, Connecticut",2680,1724,2680,2680,98,2582,2499,2390,35,1,44,0,29,83,1724,1238,486
42,9005,900575730,"Thomaston town, Litchfield County, Connecticut",7442,3340,7442,7442,340,7102,6826,6637,58,9,91,1,30,276,3340,3145,195
43,9005,900576570,"Torrington town, Litchfield County, Connecticut",35515,17040,35515,35515,5433,30082,28485,26308,1060,64,891,15,147,1597,17040,15490,1550
44,9005,900579510,"Warren town, Litchfield County, Connecticut",1351,790,1351,1351,56,1295,1238,1211,1,6,14,0,6,57,790,580,210
