,STATE,COUNTY,GEOCODE,SUMLEV,POP100,HU100,P0010001,H0010001,NAME
24704,36,,3654551,160,6403,2836,6403,2836,Old Bethpage CDP
24705,36,,3654562,160,2020,718,2020,718,Old Brookville village
24706,36,,3654617,160,893,365,893,365,Old Field village
24708,36,,3654705,160,4289,1209,4289,1209,Old Westbury village
24717,36,,3655321,160,999,800,999,800,Orient CDP
24729,36,,3655992,160,7049,2964,7049,2964,Oyster Bay CDP
24730,36,,3656011,160,2265,759,2265,759,Oyster Bay Cove village
24740,36,,3656660,160,12408,5776,12408,5776,Patchogue village
24746,36,,3656968,160,692,495,692,495,Peconic CDP
24768,36,,3658409,160,9517,2941,9517,2941,Plainedge CDP
24769,36,,3658442,160,27100,9207,27100,9207,Plainview CDP
24770,36,,3658475,160,1448,445,1448,445,Plandome village
24771,36,,3658486,160,1009,333,1009,333,Plandome Heights village
24772,36,,3658497,160,793,272,793,272,Plandome Manor village
24780,36,,3658849,160,1527,855,1527,855,Point Lookout CDP
24783,36,,3659157,160,903,374,903,374,Poquott village
24790,36,,3659355,160,7962,3471,7962,3471,Port Jefferson village
24791,36,,3659377,160,7950,2985,7950,2985,Port Jefferson Station CDP
24796,36,,3659520,160,16753,6269,16753,6269,Port Washington CDP
24797,36,,3659531,160,3160,1377,3160,1377,Port Washington North village
24808,36,,3660408,160,1013,625,1013,625,Quiogue CDP
24809,36,,3660422,160,1662,1613,1662,1613,Quogue village
24821,36,,3661142,160,3110,1644,3110,1644,Remsenburg-Speonk CDP
24831,36,,3661665,160,13271,6336,13271,6336,Ridge CDP
24834,36,,3661973,160,14993,5763,14993,5763,Riverhead CDP
24836,36,,3662066,160,2882,910,2882,910,Riverside CDP
24840,36,,3663264,160,26016,9991,26016,9991,Rockville Centre village
24841,36,,3663319,160,13633,5285,13633,5285,Rocky Point CDP
24846,36,,3663473,160,18955,6701,18955,6701,Ronkonkoma CDP
24847,36,,3663506,160,18066,4441,18066,4441,Roosevelt CDP
24850,36,,3663770,160,2988,1441,2988,1441,Roslyn village
24851,36,,3663792,160,1318,407,1318,407,Roslyn Estates village
24852,36,,3663803,160,1067,379,1067,379,Roslyn Harbor village
24853,36,,3663814,160,6747,2218,6747,2218,Roslyn Heights CDP
24861,36,,3664232,160,978,339,978,339,Russell Gardens village
24865,36,,3664430,160,989,293,989,293,Saddle Rock village
24866,36,,3664441,160,428,139,428,139,Saddle Rock Estates CDP
24867,36,,3664452,160,770,718,770,718,Sagaponack village
24868,36,,3664485,160,2772,2013,2772,2013,Sag Harbor village
24870,36,,3664584,160,13487,4921,13487,4921,St. James CDP
24876,36,,3664842,160,12618,4106,12618,4106,Salisbury CDP
24879,36,,3664881,160,113,432,113,432,Saltaire village
24883,36,,3665035,160,2712,947,2712,947,Sands Point village
24891,36,,3665409,160,16569,6228,16569,6228,Sayville CDP
24906,36,,3666047,160,5062,2086,5062,2086,Sea Cliff village
24907,36,,3666058,160,15251,5475,15251,5475,Seaford CDP
24908,36,,3666102,160,5044,1607,5044,1607,Searingtown CDP
24909,36,,3666212,160,21262,7167,21262,7167,Selden CDP
24912,36,,3666465,160,3986,1531,3986,1531,Setauket CDP
24914,36,,3666828,160,1602,1145,1602,1145,Shelter Island CDP
24915,36,,3666850,160,1601,1552,1601,1552,Shelter Island Heights CDP
24920,36,,3667048,160,2282,1537,2282,1537,Shinnecock Hills CDP
24921,36,,3667070,160,26360,8782,26360,8782,Shirley CDP
24923,36,,3667191,160,561,232,561,232,Shoreham village
24939,36,,3667851,160,25629,8800,25629,8800,Smithtown CDP
24945,36,,3668374,160,7416,2943,7416,2943,Sound Beach CDP
24946,36,,3668462,160,4550,3438,4550,3438,Southampton village
24953,36,,3669001,160,14345,4902,14345,4902,South Farmingdale CDP
24954,36,,3669023,160,1741,534,1741,534,South Floral Park village
24956,36,,3669188,160,3406,1074,3406,1074,South Hempstead CDP
24958,36,,3669254,160,9561,3418,9561,3418,South Huntington CDP
24964,36,,3669452,160,6040,4222,6040,4222,Southold CDP
24966,36,,3669892,160,6386,2063,6386,2063,South Valley Stream CDP
24974,36,,3670387,160,8086,4482,8086,4482,Springs CDP
24982,36,,3671267,160,1992,709,1992,709,Stewart Manor village
24986,36,,3671608,160,13467,5033,13467,5033,Stony Brook CDP
24987,36,,3671620,160,10409,115,10409,115,Stony Brook University CDP
24996,36,,3672554,160,19259,6293,19259,6293,Syosset CDP
25002,36,,3673352,160,11472,4006,11472,4006,Terryville CDP
25006,36,,3673605,160,2759,1024,2759,1024,Thomaston village
25021,36,,3675572,160,1505,995,1505,995,Tuckahoe CDP
25030,36,,3676089,160,32473,8255,32473,8255,Uniondale CDP
25034,36,,3676287,160,4358,1706,4358,1706,University Gardens CDP
25035,36,,3676331,160,1786,612,1786,612,Upper Brookville village
25044,36,,3676705,160,40634,12925,40634,12925,Valley Stream village
25054,36,,3677519,160,1735,573,1735,573,Village of the Branch village
25059,36,,3677772,160,7731,3223,7731,3223,Wading River CDP
25061,36,,3677805,160,904,916,904,916,Wainscott CDP
25070,36,,3678146,160,18613,6228,18613,6228,Wantagh CDP
25082,36,,3678575,160,2506,2125,2506,2125,Water Mill CDP
25097,36,,3679246,160,43213,15139,43213,15139,West Babylon CDP
25098,36,,3679301,160,4625,1809,4625,1809,West Bay Shore CDP
25099,36,,3679444,160,15864,5265,15864,5265,Westbury village
25109,36,,3680170,160,3621,2206,3621,2206,Westhampton CDP
25110,36,,3680181,160,2150,2455,2150,2455,Westhampton Beach village
25111,36,,3680186,160,126,271,126,271,West Hampton Dunes village
25113,36,,3680225,160,19835,6315,19835,6315,West Hempstead CDP
25114,36,,3680258,160,5385,2024,5385,2024,West Hills CDP
25116,36,,3680302,160,27048,9021,27048,9021,West Islip CDP
25125,36,,3680885,160,4872,2109,4872,2109,West Sayville CDP
25130,36,,3681419,160,5140,1493,5140,1493,Wheatley Heights CDP
25139,36,,3682117,160,7591,2787,7591,2787,Williston Park village
25151,36,,3682744,160,9335,3402,9335,3402,Woodbury CDP
25153,36,,3682942,160,18669,5485,18669,5485,Woodmere CDP
25155,36,,3682986,160,897,306,897,306,Woodsburgh village
25161,36,,3683294,160,12990,3548,12990,3548,Wyandanch CDP
25164,36,,3683426,160,5974,2480,5974,2480,Yaphank CDP
46,34,3.0,3400300700,60,6848,2450,6848,2450,Allendale borough
47,34,3.0,3400301090,60,1762,676,1762,676,Alpine borough
48,34,3.0,3400305170,60,28321,9387,28321,9387,Bergenfield borough
49,34,3.0,3400306490,60,8778,3026,8778,3026,Bogota borough
50,34,3.0,3400310480,60,6372,2563,6372,2563,Carlstadt borough
51,34,3.0,3400313570,60,25693,11435,25693,11435,Cliffside Park borough
52,34,3.0,3400313810,60,8594,2891,8594,2891,Closter borough
53,34,3.0,3400315820,60,9155,3157,9155,3157,Cresskill borough
54,34,3.0,3400317530,60,4981,1680,4981,1680,Demarest borough
55,34,3.0,3400318400,60,17863,6572,17863,6572,Dumont borough
56,34,3.0,3400319510,60,10022,4585,10022,4585,East Rutherford borough
57,34,3.0,3400320020,60,14336,7315,14336,7315,Edgewater borough
58,34,3.0,3400321300,60,21422,7949,21422,7949,Elmwood Park borough
59,34,3.0,3400321450,60,7290,2600,7290,2600,Emerson borough
60,34,3.0,3400321480,60,29308,11563,29308,11563,Englewood city
61,34,3.0,3400321510,60,5342,1961,5342,1961,Englewood Cliffs borough
62,34,3.0,3400322470,60,34927,12649,34927,12649,Fair Lawn borough
63,34,3.0,3400322560,60,15025,5291,15025,5291,Fairview borough
64,34,3.0,3400324420,60,40191,19861,40191,19861,Fort Lee borough
65,34,3.0,3400324990,60,11079,4051,11079,4051,Franklin Lakes borough
66,34,3.0,3400325770,60,32655,12407,32655,12407,Garfield city
67,34,3.0,3400326640,60,12133,4041,12133,4041,Glen Rock borough
68,34,3.0,3400328680,60,46030,20290,46030,20290,Hackensack city
69,34,3.0,3400330150,60,4741,1643,4741,1643,Harrington Park borough
70,34,3.0,3400330420,60,12125,4715,12125,4715,Hasbrouck Heights borough
71,34,3.0,3400330540,60,3343,1148,3343,1148,Haworth borough
72,34,3.0,3400331920,60,10143,3635,10143,3635,Hillsdale borough
73,34,3.0,3400332310,60,4258,1473,4258,1473,Ho-Ho-Kus borough
74,34,3.0,3400340020,60,9304,3476,9304,3476,Leonia borough
75,34,3.0,3400340680,60,10987,4527,10987,4527,Little Ferry borough
76,34,3.0,3400341100,60,26206,10414,26206,10414,Lodi borough
77,34,3.0,3400342090,60,22519,9516,22519,9516,Lyndhurst township
78,34,3.0,3400342750,60,25487,10109,25487,10109,Mahwah township
79,34,3.0,3400344880,60,10080,3829,10080,3829,Maywood borough
80,34,3.0,3400346110,60,7014,2887,7014,2887,Midland Park borough
81,34,3.0,3400347610,60,8436,3115,8436,3115,Montvale borough
82,34,3.0,3400347700,60,3133,1149,3133,1149,Moonachie borough
83,34,3.0,3400351660,60,16923,6432,16923,6432,New Milford borough
84,34,3.0,3400352320,60,16457,6749,16457,6749,North Arlington borough
85,34,3.0,3400353430,60,4761,1700,4761,1700,Northvale borough
86,34,3.0,3400353610,60,5641,2032,5641,2032,Norwood borough
87,34,3.0,3400353850,60,12748,4561,12748,4561,Oakland borough
88,34,3.0,3400354870,60,5888,2083,5888,2083,Old Tappan borough
89,34,3.0,3400354990,60,8244,2850,8244,2850,Oradell borough
90,34,3.0,3400355770,60,20292,7668,20292,7668,Palisades Park borough
91,34,3.0,3400355950,60,26698,8786,26698,8786,Paramus borough
92,34,3.0,3400356130,60,8883,3435,8883,3435,Park Ridge borough
93,34,3.0,3400361680,60,14798,5670,14798,5670,Ramsey borough
94,34,3.0,3400362910,60,11501,4237,11501,4237,Ridgefield borough
95,34,3.0,3400362940,60,13224,5269,13224,5269,Ridgefield Park village
96,34,3.0,3400363000,60,25979,8814,25979,8814,Ridgewood village
97,34,3.0,3400363360,60,12049,4337,12049,4337,River Edge borough
98,34,3.0,3400363690,60,9909,3644,9909,3644,River Vale township
99,34,3.0,3400363990,60,5814,2227,5814,2227,Rochelle Park township
100,34,3.0,3400364170,60,407,81,407,81,Rockleigh borough
101,34,3.0,3400365280,60,18834,7370,18834,7370,Rutherford borough
102,34,3.0,3400365340,60,14294,5618,14294,5618,Saddle Brook township
103,34,3.0,3400365400,60,3372,1458,3372,1458,Saddle River borough
104,34,3.0,3400368970,60,2701,950,2701,950,South Hackensack township
105,34,3.0,3400372360,60,41246,14430,41246,14430,Teaneck township
106,34,3.0,3400372420,60,15409,5184,15409,5184,Tenafly borough
107,34,3.0,3400372480,60,61,26,61,26,Teterboro borough
108,34,3.0,3400375140,60,8353,2785,8353,2785,Upper Saddle River borough
109,34,3.0,3400376400,60,10058,3691,10058,3691,Waldwick borough
110,34,3.0,3400376490,60,11868,5108,11868,5108,Wallington borough
111,34,3.0,3400377135,60,9285,3375,9285,3375,Washington township
112,34,3.0,3400380270,60,11282,4716,11282,4716,Westwood borough
113,34,3.0,3400382300,60,6128,2235,6128,2235,Woodcliff Lake borough
114,34,3.0,3400382570,60,10137,4057,10137,4057,Wood-Ridge borough
115,34,3.0,3400383050,60,16585,5769,16585,5769,Wyckoff township
225,34,13.0,3401304695,60,38222,14970,38222,14970,Belleville township
226,34,13.0,3401306260,60,53105,21714,53105,21714,Bloomfield township
227,34,13.0,3401309250,60,9027,3669,9027,3669,Caldwell borough
228,34,13.0,3401311200,60,12980,5042,12980,5042,Cedar Grove township
229,34,13.0,3401313045,60,34447,13590,34447,13590,City of Orange township
230,34,13.0,3401319390,60,69612,30357,69612,30357,East Orange city
231,34,13.0,3401321840,60,2244,806,2244,806,Essex Fells borough
232,34,13.0,3401322385,60,7872,2826,7872,2826,Fairfield township
233,34,13.0,3401326610,60,7802,2592,7802,2592,Glen Ridge borough
234,34,13.0,3401334450,60,61176,24984,61176,24984,Irvington township
235,34,13.0,3401340890,60,31330,10719,31330,10719,Livingston township
236,34,13.0,3401343800,60,25684,9269,25684,9269,Maplewood township
237,34,13.0,3401346380,60,21710,7241,21710,7241,Millburn township
238,34,13.0,3401347500,60,40921,16304,40921,16304,Montclair township
239,34,13.0,3401351000,60,311549,118163,311549,118163,Newark city
240,34,13.0,3401352620,60,6694,2364,6694,2364,North Caldwell borough
241,34,13.0,3401353680,60,30143,12340,30143,12340,Nutley township
242,34,13.0,3401364590,60,6299,2607,6299,2607,Roseland borough
243,34,13.0,3401369274,60,18484,6306,18484,6306,South Orange Village township
244,34,13.0,3401375815,60,14572,6150,14572,6150,Verona township
245,34,13.0,3401378510,60,11012,4137,11012,4137,West Caldwell township
246,34,13.0,3401379800,60,48843,18746,48843,18746,West Orange township
271,34,17.0,3401703580,60,71686,29727,71686,29727,Bayonne city
272,34,17.0,3401719360,60,2594,920,2594,920,East Newark borough
273,34,17.0,3401728650,60,12017,5142,12017,5142,Guttenberg town
274,34,17.0,3401730210,60,19450,8594,19450,8594,Harrison town
275,34,17.0,3401732250,60,60419,30202,60419,30202,Hoboken city
276,34,17.0,3401736000,60,292449,130992,292449,130992,Jersey City city
277,34,17.0,3401736510,60,41999,15392,41999,15392,Kearny town
278,34,17.0,3401752470,60,63361,25079,63361,25079,North Bergen township
279,34,17.0,3401766570,60,22181,9316,22181,9316,Secaucus town
280,34,17.0,3401774630,60,68589,26455,68589,26455,Union City city
281,34,17.0,3401777930,60,17197,9089,17197,9089,Weehawken township
282,34,17.0,3401779610,60,52912,21798,52912,21798,West New York town
283,34,19.0,3401900550,60,4809,1857,4809,1857,Alexandria township
284,34,19.0,3401905650,60,3745,1406,3745,1406,Bethlehem township
285,34,19.0,3401906370,60,792,371,792,371,Bloomsbury borough
286,34,19.0,3401909280,60,1005,429,1005,429,Califon borough
287,34,19.0,3401913720,60,2773,1157,2773,1157,Clinton town
288,34,19.0,3401913750,60,13505,4888,13505,4888,Clinton township
289,34,19.0,3401917170,60,4560,1952,4560,1952,Delaware township
290,34,19.0,3401918820,60,3917,1628,3917,1628,East Amwell township
291,34,19.0,3401923700,60,4876,1974,4876,1974,Flemington borough
292,34,19.0,3401924870,60,3267,1257,3267,1257,Franklin township
293,34,19.0,3401925350,60,1370,677,1370,677,Frenchtown borough
294,34,19.0,3401926550,60,1682,835,1682,835,Glen Gardner borough
295,34,19.0,3401929460,60,1438,650,1438,650,Hampton borough
296,34,19.0,3401931320,60,3546,1517,3546,1517,High Bridge borough
297,34,19.0,3401932460,60,5177,2099,5177,2099,Holland township
298,34,19.0,3401937065,60,3802,1606,3802,1606,Kingwood township
299,34,19.0,3401938610,60,4139,2265,4139,2265,Lambertville city
300,34,19.0,3401939630,60,1665,828,1665,828,Lebanon borough
301,34,19.0,3401939660,60,6195,2505,6195,2505,Lebanon township
302,34,19.0,3401946260,60,1232,556,1232,556,Milford borough
303,34,19.0,3401961920,60,23447,8911,23447,8911,Raritan township
304,34,19.0,3401962250,60,16128,6552,16128,6552,Readington township
305,34,19.0,3401970980,60,495,255,495,255,Stockton borough
306,34,19.0,3401972510,60,5870,2386,5870,2386,Tewksbury township
307,34,19.0,3401974420,60,6507,1917,6507,1917,Union township
308,34,19.0,3401978230,60,3005,1209,3005,1209,West Amwell township
309,34,21.0,3402119780,60,30045,11690,30045,11690,East Windsor township
310,34,21.0,3402122185,60,37264,15637,37264,15637,Ewing township
311,34,21.0,3402129310,60,92297,37716,92297,37716,Hamilton township
312,34,21.0,3402131620,60,5900,2216,5900,2216,Hightstown borough
313,34,21.0,3402133150,60,1918,828,1918,828,Hopewell borough
314,34,21.0,3402133180,60,17491,6748,17491,6748,Hopewell township
315,34,21.0,3402139510,60,33077,13268,33077,13268,Lawrence township
316,34,21.0,3402157600,60,2802,1088,2802,1088,Pennington borough
317,34,21.0,3402160900,60,30681,10380,30681,10380,Princeton
318,34,21.0,3402163850,60,15476,5687,15476,5687,Robbinsville township
319,34,21.0,3402174000,60,90871,34322,90871,34322,Trenton city
320,34,21.0,3402180240,60,29518,10862,29518,10862,West Windsor township
321,34,23.0,3402310750,60,25326,8809,25326,8809,Carteret borough
322,34,23.0,3402315550,60,3842,1388,3842,1388,Cranbury township
323,34,23.0,3402318490,60,7637,2727,7637,2727,Dunellen borough
324,34,23.0,3402319000,60,49715,18088,49715,18088,East Brunswick township
325,34,23.0,3402320230,60,107588,38493,107588,38493,Edison township
326,34,23.0,3402330840,60,2455,1091,2455,1091,Helmetta borough
327,34,23.0,3402331470,60,15072,6669,15072,6669,Highland Park borough
328,34,23.0,3402334890,60,5783,2228,5783,2228,Jamesburg borough
329,34,23.0,3402345690,60,15049,6053,15049,6053,Metuchen borough
330,34,23.0,3402345900,60,14636,5472,14636,5472,Middlesex borough
331,34,23.0,3402346620,60,7037,2707,7037,2707,Milltown borough
332,34,23.0,3402347280,60,48594,21504,48594,21504,Monroe township
333,34,23.0,3402351210,60,55266,17509,55266,17509,New Brunswick city
334,34,23.0,3402352560,60,43905,15585,43905,15585,North Brunswick township
335,34,23.0,3402354705,60,66876,26067,66876,26067,Old Bridge township
336,34,23.0,3402358200,60,55436,17855,55436,17855,Perth Amboy city
337,34,23.0,3402359010,60,60804,18904,60804,18904,Piscataway township
338,34,23.0,3402359280,60,24084,10281,24084,10281,Plainsboro township
339,34,23.0,3402365790,60,45345,17695,45345,17695,Sayreville borough
340,34,23.0,3402368550,60,9411,3906,9411,3906,South Amboy city
341,34,23.0,3402368790,60,47043,16647,47043,16647,South Brunswick township
342,34,23.0,3402369390,60,24338,8432,24338,8432,South Plainfield borough
343,34,23.0,3402369420,60,16118,5977,16118,5977,South River borough
344,34,23.0,3402369810,60,8163,3297,8163,3297,Spotswood borough
345,34,23.0,3402382000,60,103639,38137,103639,38137,Woodbridge township
346,34,25.0,3402500000,60,0,0,0,0,County subdivisions not defined
347,34,25.0,3402500070,60,19329,7967,19329,7967,Aberdeen township
348,34,25.0,3402500730,60,472,369,472,369,Allenhurst borough
349,34,25.0,3402500760,60,1734,724,1734,724,Allentown borough
350,34,25.0,3402501960,60,15188,8274,15188,8274,Asbury Park city
351,34,25.0,3402502110,60,4414,2092,4414,2092,Atlantic Highlands borough
352,34,25.0,3402502440,60,1933,1334,1933,1334,Avon-by-the-Sea borough
353,34,25.0,3402504930,60,5907,4066,5907,4066,Belmar borough
354,34,25.0,3402506970,60,4282,3221,4282,3221,Bradley Beach borough
355,34,25.0,3402507750,60,4982,2176,4982,2176,Brielle borough
356,34,25.0,3402514560,60,9957,3451,9957,3451,Colts Neck township
357,34,25.0,3402516660,60,900,925,900,925,Deal borough
358,34,25.0,3402519840,60,13597,6182,13597,6182,Eatontown borough
359,34,25.0,3402521570,60,2346,820,2346,820,Englishtown borough
360,34,25.0,3402522440,60,6269,2074,6269,2074,Fair Haven borough
361,34,25.0,3402522950,60,1504,630,1504,630,Farmingdale borough
362,34,25.0,3402525200,60,12538,4394,12538,4394,Freehold borough
363,34,25.0,3402525230,60,35369,13500,35369,13500,Freehold township
364,34,25.0,3402530690,60,20125,7492,20125,7492,Hazlet township
365,34,25.0,3402531500,60,4621,2931,4621,2931,Highlands borough
366,34,25.0,3402532640,60,17400,6038,17400,6038,Holmdel township
367,34,25.0,3402533300,60,53537,19694,53537,19694,Howell township
368,34,25.0,3402534200,60,828,400,828,400,Interlaken borough
369,34,25.0,3402536480,60,9755,4361,9755,4361,Keansburg borough
370,34,25.0,3402536810,60,7204,3427,7204,3427,Keyport borough
371,34,25.0,3402537560,60,1697,1081,1697,1081,Lake Como borough
372,34,25.0,3402540770,60,6131,2323,6131,2323,Little Silver borough
373,34,25.0,3402541010,60,224,154,224,154,Loch Arbour village
374,34,25.0,3402541310,60,31667,14944,31667,14944,Long Branch city
375,34,25.0,3402542990,60,40905,14850,40905,14850,Manalapan township
376,34,25.0,3402543050,60,5938,3412,5938,3412,Manasquan borough
377,34,25.0,3402544070,60,41502,14215,41502,14215,Marlboro township
378,34,25.0,3402544520,60,9565,4010,9565,4010,Matawan borough
379,34,25.0,3402545990,60,67106,25859,67106,25859,Middletown township
380,34,25.0,3402546560,60,10376,3428,10376,3428,Millstone township
381,34,25.0,3402547130,60,3174,2006,3174,2006,Monmouth Beach borough
382,34,25.0,3402549890,60,28061,13278,28061,13278,Neptune township
383,34,25.0,3402549920,60,4626,2251,4626,2251,Neptune City borough
384,34,25.0,3402554270,60,27672,12257,27672,12257,Ocean township
385,34,25.0,3402554570,60,6150,2469,6150,2469,Oceanport borough
386,34,25.0,3402562430,60,12936,5863,12936,5863,Red Bank borough
387,34,25.0,3402564410,60,808,331,808,331,Roosevelt borough
388,34,25.0,3402565130,60,7343,2624,7343,2624,Rumson borough
389,34,25.0,3402566240,60,1449,1200,1449,1200,Sea Bright borough
390,34,25.0,3402566330,60,1866,1305,1866,1305,Sea Girt borough
391,34,25.0,3402567350,60,4184,1509,4184,1509,Shrewsbury borough
392,34,25.0,3402567365,60,1076,544,1076,544,Shrewsbury township
393,34,25.0,3402570110,60,2789,2107,2789,2107,Spring Lake borough
394,34,25.0,3402570140,60,4890,2998,4890,2998,Spring Lake Heights borough
395,34,25.0,3402573020,60,19181,8972,19181,8972,Tinton Falls borough
396,34,25.0,3402574540,60,5723,2183,5723,2183,Union Beach borough
397,34,25.0,3402574900,60,7273,2604,7273,2604,Upper Freehold township
398,34,25.0,3402576460,60,26525,10838,26525,10838,Wall township
399,34,25.0,3402579310,60,8587,2755,8587,2755,West Long Branch borough
400,34,27.0,3402706610,60,8815,3555,8815,3555,Boonton town
401,34,27.0,3402706640,60,4380,1583,4380,1583,Boonton township
402,34,27.0,3402709040,60,8047,3403,8047,3403,Butler borough
403,34,27.0,3402712100,60,9212,3224,9212,3224,Chatham borough
404,34,27.0,3402712130,60,10983,4155,10983,4155,Chatham township
405,34,27.0,3402712580,60,1681,660,1681,660,Chester borough
406,34,27.0,3402712610,60,7713,2736,7713,2736,Chester township
407,34,27.0,3402717650,60,17107,6834,17107,6834,Denville township
408,34,27.0,3402718070,60,18460,5972,18460,5972,Dover town
409,34,27.0,3402719210,60,11105,4040,11105,4040,East Hanover township
410,34,27.0,3402723910,60,12585,4768,12585,4768,Florham Park borough
411,34,27.0,3402729550,60,14677,5928,14677,5928,Hanover township
412,34,27.0,3402729700,60,3871,1569,3871,1569,Harding township
413,34,27.0,3402734980,60,20538,8566,20538,8566,Jefferson township
414,34,27.0,3402737110,60,9966,3571,9966,3571,Kinnelon borough
415,34,27.0,3402740290,60,10915,4181,10915,4181,Lincoln Park borough
416,34,27.0,3402741362,60,8629,3240,8629,3240,Long Hill township
417,34,27.0,3402742510,60,16937,5989,16937,5989,Madison borough
418,34,27.0,3402745330,60,4981,1867,4981,1867,Mendham borough
419,34,27.0,3402745360,60,6016,2105,6016,2105,Mendham township
420,34,27.0,3402746860,60,4015,1523,4015,1523,Mine Hill township
421,34,27.0,3402747670,60,22450,8206,22450,8206,Montville township
422,34,27.0,3402748090,60,22974,8993,22974,8993,Morris township
423,34,27.0,3402748210,60,6153,2527,6153,2527,Morris Plains borough
424,34,27.0,3402748300,60,20180,9213,20180,9213,Morristown town
425,34,27.0,3402748480,60,4472,1429,4472,1429,Mountain Lakes borough
426,34,27.0,3402748690,60,5909,2915,5909,2915,Mount Arlington borough
427,34,27.0,3402749080,60,28886,11597,28886,11597,Mount Olive township
428,34,27.0,3402750130,60,3375,1490,3375,1490,Netcong borough
429,34,27.0,3402756460,60,56162,22146,56162,22146,Parsippany-Troy Hills township
430,34,27.0,3402758110,60,15571,6688,15571,6688,Pequannock township
431,34,27.0,3402761890,60,26504,9676,26504,9676,Randolph township
432,34,27.0,3402763300,60,4107,2009,4107,2009,Riverdale borough
433,34,27.0,3402764050,60,6598,2645,6598,2645,Rockaway borough
434,34,27.0,3402764080,60,25341,10140,25341,10140,Rockaway township
435,34,27.0,3402764980,60,22950,8682,22950,8682,Roxbury township
436,34,27.0,3402775890,60,1582,584,1582,584,Victory Gardens borough
437,34,27.0,3402777240,60,18197,6577,18197,6577,Washington township
438,34,27.0,3402780390,60,7241,2736,7241,2736,Wharton borough
439,34,29.0,3402900000,60,0,0,0,0,County subdivisions not defined
440,34,29.0,3402903050,60,24296,10724,24296,10724,Barnegat township
441,34,29.0,3402903130,60,640,1257,640,1257,Barnegat Light borough
442,34,29.0,3402903520,60,930,1024,930,1024,Bay Head borough
443,34,29.0,3402903940,60,1027,2600,1027,2600,Beach Haven borough
444,34,29.0,3402904180,60,10859,3860,10859,3860,Beachwood borough
445,34,29.0,3402905305,60,43754,24629,43754,24629,Berkeley township
446,34,29.0,3402907420,60,73620,33863,73620,33863,Brick township
447,34,29.0,3402918670,60,1722,797,1722,797,Eagleswood township
448,34,29.0,3402930390,60,391,1178,391,1178,Harvey Cedars borough
449,34,29.0,3402934530,60,1650,841,1650,841,Island Heights borough
450,34,29.0,3402934680,60,58544,21626,58544,21626,Jackson township
451,34,29.0,3402937380,60,28655,12483,28655,12483,Lacey township
452,34,29.0,3402937770,60,2636,979,2636,979,Lakehurst borough
453,34,29.0,3402938550,60,135158,34726,135158,34726,Lakewood township
454,34,29.0,3402939390,60,1787,3078,1787,3078,Lavallette borough
455,34,29.0,3402940560,60,20784,10812,20784,10812,Little Egg Harbor township
456,34,29.0,3402941250,60,3153,8832,3153,8832,Long Beach township
457,34,29.0,3402943140,60,45115,26764,45115,26764,Manchester township
458,34,29.0,3402943380,60,331,498,331,498,Mantoloking borough
459,34,29.0,3402954300,60,8835,4715,8835,4715,Ocean township
460,34,29.0,3402954450,60,1932,1153,1932,1153,Ocean Gate borough
461,34,29.0,3402958590,60,2139,931,2139,931,Pine Beach borough
462,34,29.0,3402959790,60,8072,3139,8072,3139,Plumsted township
463,34,29.0,3402959880,60,18941,8485,18941,8485,Point Pleasant borough
464,34,29.0,3402959910,60,4766,3397,4766,3397,Point Pleasant Beach borough
465,34,29.0,3402966450,60,2440,2870,2440,2870,Seaside Heights borough
466,34,29.0,3402966480,60,1436,2586,1436,2586,Seaside Park borough
467,34,29.0,3402967110,60,1098,1938,1098,1938,Ship Bottom borough
468,34,29.0,3402969510,60,3643,1141,3643,1141,South Toms River borough
469,34,29.0,3402970320,60,28617,14399,28617,14399,Stafford township
470,34,29.0,3402971640,60,1243,2468,1243,2468,Surf City borough
471,34,29.0,3402973125,60,95438,44526,95438,44526,Toms River township
472,34,29.0,3402974210,60,3577,2110,3577,2110,Tuckerton borough
473,34,31.0,3403106340,60,7777,3267,7777,3267,Bloomingdale borough
474,34,31.0,3403113690,60,90296,33325,90296,33325,Clifton city
475,34,31.0,3403129070,60,9052,3117,9052,3117,Haledon borough
476,34,31.0,3403130570,60,19637,7946,19637,7946,Hawthorne borough
477,34,31.0,3403140620,60,13360,4947,13360,4947,Little Falls township
478,34,31.0,3403153040,60,8927,3141,8927,3141,North Haledon borough
479,34,31.0,3403156550,60,70537,21513,70537,21513,Passaic city
480,34,31.0,3403157000,60,159732,52885,159732,52885,Paterson city
481,34,31.0,3403160090,60,11127,4349,11127,4349,Pompton Lakes borough
482,34,31.0,3403161170,60,6372,2017,6372,2017,Prospect Park borough
483,34,31.0,3403163150,60,11735,4364,11735,4364,Ringwood borough
484,34,31.0,3403173140,60,11065,4026,11065,4026,Totowa borough
485,34,31.0,3403176730,60,11317,4597,11317,4597,Wanaque borough
486,34,31.0,3403177840,60,54838,19808,54838,19808,Wayne township
487,34,31.0,3403179460,60,24862,10570,24862,10570,West Milford township
488,34,31.0,3403182423,60,13484,5495,13484,5495,Woodland Park borough
504,34,35.0,3403504450,60,8272,4483,8272,4483,Bedminster township
505,34,35.0,3403505560,60,27830,10665,27830,10665,Bernards township
506,34,35.0,3403505590,60,7893,2953,7893,2953,Bernardsville borough
507,34,35.0,3403506790,60,11988,4389,11988,4389,Bound Brook borough
508,34,35.0,3403507180,60,14940,5843,14940,5843,Branchburg township
